Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3e-05,17.449063,[67 12] ; [ 8 12],[59.84848485 19.15151515] ; [15.15151515  4.84848485],1
n6,1,0.016577,5.740609,[70 10] ; [13  7],[66.4 13.6] ; [16.6  3.4],0
a6,1,0.063712,3.438031,[46 34] ; [16  4],[49.6 30.4] ; [12.4  7.6],0
s5,1,0.075365,3.162123,[29 49] ; [ 3 16],[25.73195876 52.26804124] ; [ 6.26804124 12.73195876],0
p6,1,0.139807,2.180084,[25 54] ; [ 3 17],[22.34343434 56.65656566] ; [ 5.65656566 14.34343434],0
d2,1,0.147501,2.097902,[20 60] ; [ 2 18],[17.6 62.4] ; [ 4.4 15.6],0
a5,1,0.158484,1.988636,[42 38] ; [14  6],[44.8 35.2] ; [11.2  8.8],0
p5,1,0.228089,1.452741,[12 67] ; [ 1 19],[10.37373737 68.62626263] ; [ 2.62626263 17.37373737],0
r4,1,0.234281,1.414677,[68 12] ; [19  1],[69.6 10.4] ; [17.4  2.6],0
d3,1,0.275234,1.190476,[22 58] ; [ 8 12],[24. 56.] ; [ 6. 14.],0
a7,1,0.307434,1.041667,[46 34] ; [14  6],[48. 32.] ; [12.  8.],0
n1,1,0.34509,0.891429,[ 9 12] ; [1 4],[ 8.07692308 12.92307692] ; [1.92307692 3.07692308],0
u2,1,0.395766,0.721154,[22 18] ; [4 6],[20.8 19.2] ; [5.2 4.8],0
p11,1,0.405587,0.6917,[63 17] ; [14  6],[61.6 18.4] ; [15.4  4.6],0
p7,1,0.406795,0.688149,[47 31] ; [10 10],[45.36734694 32.63265306] ; [11.63265306  8.36734694],0
s7,1,0.413149,0.669721,[42 34] ; [ 9 11],[40.375 35.625] ; [10.625  9.375],0
p4,1,0.422875,0.642312,[44 36] ; [ 9 11],[42.4 37.6] ; [10.6  9.4],0
r1,1,0.432245,0.616783,[60 18] ; [17  3],[61.28571429 16.71428571] ; [15.71428571  4.28571429],0
b5,1,0.47824,0.502874,[45 35] ; [13  7],[46.4 33.6] ; [11.6  8.4],0
d5,1,0.483577,0.490785,[43 37] ; [ 9 11],[41.6 38.4] ; [10.4  9.6],0
p10,1,0.493642,0.468577,[63 14] ; [15  5],[61.91752577 15.08247423] ; [16.08247423  3.91752577],0
v2,1,0.516493,0.42089,[31 43] ; [10 10],[32.27659574 41.72340426] ; [ 8.72340426 11.27659574],0
a2,1,0.556602,0.345622,[ 5 75] ; [ 2 18],[ 5.6 74.4] ; [ 1.4 18.6],0
d1,1,0.557734,0.343643,[ 2 78] ; [ 1 19],[ 2.4 77.6] ; [ 0.6 19.4],0
r2,1,0.57145,0.320263,[72  7] ; [19  1],[72.61616162  6.38383838] ; [18.38383838  1.61616162],0
a4,1,0.577962,0.309541,[16 62] ; [ 3 17],[15.12244898 62.87755102] ; [ 3.87755102 16.12244898],0
s4,1,0.584341,0.299269,[19 60] ; [ 6 14],[19.94949495 59.05050505] ; [ 5.05050505 14.94949495],0
a8,1,0.588643,0.292468,[12 62] ; [ 2 16],[11.26086957 62.73913043] ; [ 2.73913043 15.26086957],0
s8,1,0.617075,0.25,[39 41] ; [11  9],[40. 40.] ; [10. 10.],0
b2,1,0.638318,0.220949,[10 37] ; [ 2 11],[ 9.4 37.6] ; [ 2.6 10.4],0
b3,1,0.638318,0.220949,[10 37] ; [ 2 11],[ 9.4 37.6] ; [ 2.6 10.4],0
v3,1,0.670134,0.181446,[27 50] ; [ 6 14],[26.19587629 50.80412371] ; [ 6.80412371 13.19587629],0
p12,1,0.685906,0.163554,[ 6 73] ; [ 1 19],[ 5.58585859 73.41414141] ; [ 1.41414141 18.58585859],0
p3,1,0.687013,0.162338,[36 44] ; [ 8 12],[35.2 44.8] ; [ 8.8 11.2],0
s3,1,0.711495,0.136788,[49 27] ; [12  8],[48.29166667 27.70833333] ; [12.70833333  7.29166667],0
v1,1,0.715737,0.132614,[36 41] ; [ 8 11],[35.29166667 41.70833333] ; [ 8.70833333 10.29166667],0
p8,1,0.722686,0.125933,[36 43] ; [10 10],[36.70707071 42.29292929] ; [ 9.29292929 10.70707071],0
p1,1,0.758289,0.094697,[10 70] ; [ 2 18],[ 9.6 70.4] ; [ 2.4 17.6],0
b4,1,0.761902,0.091799,[45 35] ; [12  8],[45.6 34.4] ; [11.4  8.6],0
p9,1,0.773127,0.08311,[65 14] ; [17  3],[65.43434343 13.56565657] ; [16.56565657  3.43434343],0
u3,1,0.77572,0.081169,[22 18] ; [6 4],[22.4 17.6] ; [5.6 4.4],0
v4,1,0.8239,0.04952,[74  5] ; [19  1],[74.21212121  4.78787879] ; [18.78787879  1.21212121],0
b1,1,0.836774,0.042445,[30 50] ; [ 8 12],[30.4 49.6] ; [ 7.6 12.4],0
s2,1,0.837748,0.041933,[41 37] ; [10 10],[40.59183673 37.40816327] ; [10.40816327  9.59183673],0
n3,1,0.855816,0.033016,[16  5] ; [4 1],[16.15384615  4.84615385] ; [3.84615385 1.15384615],0
a3,1,0.959667,0.002557,[40 39] ; [10 10],[39.8989899 39.1010101] ; [10.1010101  9.8989899],0
p2,1,1.0,0.0,[60 20] ; [15  5],[60. 20.] ; [15.  5.],0
