Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,42.947031,[260  35] ; [20 22],[245.10385757  49.89614243] ; [34.89614243  7.10385757],1
n4,1,0.0,25.949667,[252  42] ; [23 20],[239.91097923  54.08902077] ; [35.08902077  7.91097923],1
p10,1,5.8e-05,16.154124,[260  31] ; [28 14],[251.67567568  39.32432432] ; [36.32432432  5.67567568],1
r4,1,0.000284,13.174999,[279  16] ; [34  9],[273.18047337  21.81952663] ; [39.81952663  3.18047337],1
p4,1,0.001507,10.070019,[208  86] ; [20 23],[198.90801187  95.09198813] ; [29.09198813 13.90801187],0
p11,1,0.002204,9.371144,[244  51] ; [27 16],[236.52366864  58.47633136] ; [34.47633136  8.52366864],0
r2,1,0.004086,8.24515,[284   8] ; [37  5],[280.63473054  11.36526946] ; [40.36526946  1.63473054],0
p7,1,0.006037,7.53911,[203  81] ; [20 20],[195.4691358  88.5308642] ; [27.5308642 12.4691358],0
u1,1,0.010177,6.60369,[ 72 223] ; [ 3 40],[ 65.45857988 229.54142012] ; [ 9.54142012 33.45857988],0
b1,1,0.023816,5.107974,[105 190] ; [23 20],[111.71597633 183.28402367] ; [16.28402367 26.71597633],0
p2,1,0.028655,4.788208,[255  38] ; [32 11],[250.27083333  42.72916667] ; [36.72916667  6.27083333],0
v3,1,0.029469,4.74,[150 139] ; [13 26],[143.61890244 145.38109756] ; [19.38109756 19.61890244],0
a5,1,0.037111,4.345312,[234  61] ; [28 15],[228.66863905  66.33136095] ; [33.33136095  9.66863905],0
p8,1,0.041348,4.161697,[172 117] ; [18 24],[165.89123867 123.10876133] ; [24.10876133 17.89123867],0
r3,1,0.041547,4.153545,[286   9] ; [38  4],[283.62017804  11.37982196] ; [40.37982196  1.62017804],0
a7,1,0.047514,3.927076,[220  74] ; [26 17],[214.61127596  79.38872404] ; [31.38872404 11.61127596],0
a4,1,0.063986,3.430922,[146 146] ; [15 28],[140.33432836 151.66567164] ; [20.66567164 22.33432836],0
p6,1,0.076078,3.146765,[137 152] ; [13 27],[131.76291793 157.23708207] ; [18.23708207 21.76291793],0
u3,1,0.081017,3.04438,[44 27] ; [9 1],[46.45679012 24.54320988] ; [6.54320988 3.45679012],0
p3,1,0.084299,2.98,[171 123] ; [19 24],[165.75667656 128.24332344] ; [24.24332344 18.75667656],0
p5,1,0.092123,2.836879,[ 51 243] ; [ 3 39],[ 47.25 246.75] ; [ 6.75 35.25],0
s5,1,0.097983,2.738065,[138 150] ; [14 27],[133.05775076 154.94224924] ; [18.94224924 22.05775076],0
d5,1,0.111572,2.531808,[253  41] ; [33 10],[249.5074184  44.4925816] ; [36.4925816  6.5074184],0
p9,1,0.112972,2.512142,[267  26] ; [35  7],[264.13731343  28.86268657] ; [37.86268657  4.13731343],0
d3,1,0.127584,2.321663,[218  77] ; [27 16],[213.83136095  81.16863905] ; [31.16863905 11.83136095],0
b4,1,0.134403,2.240899,[186 109] ; [22 21],[181.53846154 113.46153846] ; [26.46153846 16.53846154],0
d2,1,0.136153,2.220909,[152 142] ; [17 26],[147.43620178 146.56379822] ; [21.56379822 21.43620178],0
s2,1,0.209573,1.574374,[198  94] ; [25 18],[194.3761194  97.6238806] ; [28.6238806 14.3761194],0
s8,1,0.249225,1.327643,[177 116] ; [22 21],[173.5327381 119.4672619] ; [25.4672619 17.5327381],0
d1,1,0.294912,1.097059,[189 106] ; [24 19],[185.90236686 109.09763314] ; [27.09763314 15.90236686],0
a8,1,0.335631,0.927048,[ 43 222] ; [ 4 35],[ 40.97039474 224.02960526] ; [ 6.02960526 32.97039474],0
r1,1,0.347707,0.881806,[249  45] ; [34  9],[246.89020772  47.10979228] ; [36.10979228  6.89020772],0
v2,1,0.373112,0.793275,[197  90] ; [24 15],[194.56134969  92.43865031] ; [26.43865031 12.56134969],0
p12,1,0.396125,0.720057,[ 33 260] ; [ 3 40],[ 31.39285714 261.60714286] ; [ 4.60714286 38.39285714],0
s7,1,0.425961,0.63381,[181 100] ; [25 18],[178.66049383 102.33950617] ; [27.33950617 15.66049383],0
v4,1,0.466581,0.530061,[286   8] ; [40  2],[285.25   8.75] ; [40.75  1.25],0
a2,1,0.475518,0.509125,[ 84 211] ; [10 33],[ 82.04142012 212.95857988] ; [11.95857988 31.04142012],0
s4,1,0.494203,0.467363,[ 53 238] ; [ 6 37],[ 51.40419162 239.59580838] ; [ 7.59580838 35.40419162],0
a6,1,0.584393,0.299187,[197  97] ; [27 16],[195.41839763  98.58160237] ; [28.58160237 14.41839763],0
s3,1,0.61539,0.252401,[197  92] ; [27 15],[195.57703927  93.42296073] ; [28.42296073 13.57703927],0
a1,1,0.679567,0.170614,[ 16 279] ; [ 3 40],[ 16.58284024 278.41715976] ; [ 2.41715976 40.58284024],0
n3,1,0.802708,0.062422,[34 16] ; [11  6],[33.58208955 16.41791045] ; [11.41791045  5.58208955],0
p1,1,0.803108,0.062164,[ 31 263] ; [ 4 39],[ 30.53412463 263.46587537] ; [ 4.46587537 38.53412463],0
d4,1,0.901382,0.015355,[255  39] ; [37  6],[254.74183976  39.25816024] ; [37.25816024  5.74183976],0
b3,1,0.959337,0.002599,[ 76 115] ; [11 17],[ 75.87671233 115.12328767] ; [11.12328767 16.87671233],0
b2,1,0.959337,0.002599,[ 76 115] ; [11 17],[ 75.87671233 115.12328767] ; [11.12328767 16.87671233],0
b5,1,0.962095,0.002259,[191 104] ; [28 15],[191.13905325 103.86094675] ; [27.86094675 15.13905325],0
a3,1,0.966175,0.001798,[224  69] ; [33 10],[224.11011905  68.88988095] ; [32.88988095 10.11011905],0
n1,1,1.0,0.0,[24 27] ; [8 9],[24. 27.] ; [8. 9.],0
n2,1,1.0,0.0,[42  9] ; [14  3],[42.  9.] ; [14.  3.],0
