Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,70.223214,[105  51] ; [15 89],[72. 84.] ; [48. 56.],1
p6,1,0.0,27.754504,[72 84] ; [15 88],[ 52.4015444 103.5984556] ; [34.5984556 68.4015444],1
p8,1,5e-06,20.874945,[94 62] ; [31 69],[76.171875 79.828125] ; [48.828125 51.171875],1
p7,1,0.000107,15.013146,[111  43] ; [48 52],[96.4015748 57.5984252] ; [62.5984252 37.4015748],1
p2,1,0.000761,11.33314,[137  19] ; [74 30],[126.6  29.4] ; [84.4 19.6],1
p5,1,0.007397,7.173894,[ 22 134] ; [ 4 99],[ 15.66023166 140.33976834] ; [10.33976834 92.66023166],0
a5,1,0.010744,6.507227,[119  37] ; [64 40],[109.8  46.2] ; [73.2 30.8],0
u2,1,0.044538,4.036065,[33 18] ; [14 19],[28.53571429 22.46428571] ; [18.46428571 14.53571429],0
p1,1,0.053861,3.716991,[ 14 142] ; [  3 100],[ 10.23938224 145.76061776] ; [ 6.76061776 96.23938224],0
n4,1,0.060755,3.516655,[120  36] ; [69 35],[113.4  42.6] ; [75.6 28.4],0
d1,1,0.066934,3.356643,[93 63] ; [50 54],[85.8 70.2] ; [57.2 46.8],0
d2,1,0.070025,3.282429,[80 76] ; [41 62],[72.88030888 83.11969112] ; [48.11969112 54.88030888],0
s2,1,0.125886,2.342512,[104  52] ; [59 44],[98.17760618 57.82239382] ; [64.82239382 38.17760618],0
s8,1,0.155798,2.014548,[80 76] ; [44 60],[74.4 81.6] ; [49.6 54.4],0
n5,1,0.178508,1.810001,[113  42] ; [67 36],[108.13953488  46.86046512] ; [71.86046512 31.13953488],0
d3,1,0.189822,1.719002,[112  44] ; [66 37],[107.21235521  48.78764479] ; [70.78764479 32.21235521],0
b5,1,0.202509,1.624188,[82 74] ; [63 41],[87. 69.] ; [58. 46.],0
s7,1,0.208747,1.580093,[88 60] ; [53 50],[83.13944223 64.86055777] ; [57.86055777 45.13944223],0
p9,1,0.228348,1.451119,[131  25] ; [78 22],[127.359375  28.640625] ; [81.640625 18.359375],0
s5,1,0.240315,1.378744,[66 86] ; [36 64],[61.52380952 90.47619048] ; [40.47619048 59.52380952],0
r1,1,0.242721,1.364722,[127  28] ; [79 25],[123.28185328  31.71814672] ; [82.71814672 21.28185328],0
s3,1,0.269443,1.21958,[114  42] ; [68 34],[110.04651163  45.95348837] ; [71.95348837 30.04651163],0
a4,1,0.302071,1.065028,[67 89] ; [38 66],[63. 93.] ; [42. 62.],0
a8,1,0.347545,0.8824,[ 16 132] ; [14 80],[ 18.34710744 129.65289256] ; [11.65289256 82.34710744],0
p11,1,0.354331,0.857887,[119  37] ; [74 30],[115.8  40.2] ; [77.2 26.8],0
d5,1,0.357677,0.846032,[127  29] ; [79 24],[124.07722008  31.92277992] ; [81.92277992 21.07722008],0
r4,1,0.361272,0.833466,[142  14] ; [91 13],[139.8  16.2] ; [93.2 10.8],0
a1,1,0.369524,0.805265,[ 10 146] ; [  4 100],[  8.4 147.6] ; [ 5.6 98.4],0
p10,1,0.414984,0.664477,[124  31] ; [78 25],[121.35658915  33.64341085] ; [80.64341085 22.35658915],0
v3,1,0.418685,0.654003,[ 40 112] ; [31 69],[ 42.82539683 109.17460317] ; [28.17460317 71.82539683],0
p12,1,0.425746,0.6344,[ 15 141] ; [ 7 96],[ 13.25096525 142.74903475] ; [ 8.74903475 94.25096525],0
r3,1,0.465391,0.532897,[149   6] ; [97  6],[147.79069767   7.20930233] ; [98.20930233  4.79069767],0
n6,1,0.47359,0.513586,[128  28] ; [88 15],[130.1003861  25.8996139] ; [85.8996139 17.1003861],0
b2,1,0.478241,0.502871,[26 62] ; [13 41],[24.16901408 63.83098592] ; [14.83098592 39.16901408],0
b3,1,0.478241,0.502871,[26 62] ; [13 41],[24.16901408 63.83098592] ; [14.83098592 39.16901408],0
s4,1,0.564739,0.331564,[ 41 112] ; [31 72],[ 43.03125 109.96875] ; [28.96875 74.03125],0
a2,1,0.622217,0.242764,[ 32 124] ; [24 80],[ 33.6 122.4] ; [22.4 81.6],0
a6,1,0.625882,0.237686,[103  53] ; [71 32],[104.8030888  51.1969112] ; [69.1969112 33.8030888],0
r2,1,0.639959,0.218795,[143  11] ; [94  9],[142.0155642  11.9844358] ; [94.9844358  8.0155642],0
a7,1,0.653519,0.201492,[110  46] ; [76 28],[111.6  44.4] ; [74.4 29.6],0
d4,1,0.675573,0.175153,[126  30] ; [81 22],[124.67953668  31.32046332] ; [82.32046332 20.67953668],0
n2,1,0.693257,0.155582,[29 13] ; [22  8],[29.75 12.25] ; [21.25  8.75],0
b1,1,0.71614,0.132221,[62 94] ; [39 65],[60.6 95.4] ; [40.4 63.6],0
v4,1,0.7369,0.11287,[147   9] ; [96  7],[146.36293436   9.63706564] ; [96.63706564  6.36293436],0
b4,1,0.757878,0.095029,[90 66] ; [62 42],[91.2 64.8] ; [60.8 43.2],0
s1,1,0.763678,0.090393,[  9 147] ; [ 5 97],[  8.46511628 147.53488372] ; [ 5.53488372 96.46511628],0
u3,1,0.764552,0.089706,[29 20] ; [19 15],[28.3373494 20.6626506] ; [19.6626506 14.3373494],0
u4,1,0.771975,0.083979,[  1 155] ; [  1 103],[  1.2 154.8] ; [  0.8 103.2],0
n1,1,0.834284,0.043769,[15 27] ; [10 20],[14.58333333 27.41666667] ; [10.41666667 19.58333333],0
u1,1,0.842229,0.039618,[ 27 129] ; [19 85],[ 27.6 128.4] ; [18.4 85.6],0
n3,1,0.858802,0.031648,[30 12] ; [22  8],[30.33333333 11.66666667] ; [21.66666667  8.33333333],0
v2,1,0.898973,0.016119,[65 88] ; [42 55],[65.484 87.516] ; [41.516 55.484],0
a3,1,0.914292,0.011583,[104  52] ; [70 34],[104.4  51.6] ; [69.6 34.4],0
