Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.006743,7.340074,[9 7] ; [ 2 15],[ 5.33333333 10.66666667] ; [ 5.66666667 11.33333333],0
d4,1,0.019293,5.474724,[15  1] ; [10  7],[12.12121212  3.87878788] ; [12.87878788  4.12121212],0
d5,1,0.041292,4.163997,[13  3] ; [8 9],[10.18181818  5.81818182] ; [10.81818182  6.18181818],0
d3,1,0.041292,4.163997,[13  3] ; [8 9],[10.18181818  5.81818182] ; [10.81818182  6.18181818],0
p3,1,0.041292,4.163997,[ 3 13] ; [9 8],[ 5.81818182 10.18181818] ; [ 6.18181818 10.81818182],0
v1,1,0.054538,3.696168,[9 7] ; [ 4 13],[6.3030303 9.6969697] ; [ 6.6969697 10.3030303],0
a7,1,0.054619,3.693677,[11  5] ; [ 6 11],[8.24242424 7.75757576] ; [8.75757576 8.24242424],0
p8,1,0.111872,2.527574,[ 5 11] ; [10  7],[7.27272727 8.72727273] ; [7.72727273 9.27272727],0
b4,1,0.111872,2.527574,[11  5] ; [ 7 10],[8.72727273 7.27272727] ; [9.27272727 7.72727273],0
d2,1,0.11415,2.495798,[8 8] ; [ 4 13],[ 5.81818182 10.18181818] ; [ 6.18181818 10.81818182],0
a3,1,0.118086,2.442528,[10  6] ; [ 6 11],[7.75757576 8.24242424] ; [8.24242424 8.75757576],0
n4,1,0.161214,1.962804,[13  3] ; [10  7],[11.15151515  4.84848485] ; [11.84848485  5.15151515],0
s5,1,0.161214,1.962804,[ 3 13] ; [ 7 10],[ 4.84848485 11.15151515] ; [ 5.15151515 11.84848485],0
n5,1,0.188004,1.733193,[12  4] ; [9 8],[10.18181818  5.81818182] ; [10.81818182  6.18181818],0
b5,1,0.188004,1.733193,[12  4] ; [9 8],[10.18181818  5.81818182] ; [10.81818182  6.18181818],0
p6,1,0.200618,1.637868,[ 6 10] ; [ 3 14],[ 4.36363636 11.63636364] ; [ 4.63636364 12.36363636],0
u2,1,0.210209,1.569986,[4 2] ; [10  1],[4.94117647 1.05882353] ; [9.05882353 1.94117647],0
p7,1,0.226398,1.463348,[8 8] ; [12  5],[9.6969697 6.3030303] ; [10.3030303  6.6969697],0
a5,1,0.226942,1.459926,[7 9] ; [11  6],[8.72727273 7.27272727] ; [9.27272727 7.72727273],0
b1,1,0.226942,1.459926,[7 9] ; [11  6],[8.72727273 7.27272727] ; [9.27272727 7.72727273],0
r3,1,0.234965,1.410553,[14  2] ; [12  5],[12.60606061  3.39393939] ; [13.39393939  3.60606061],0
