Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,7.8e-05,15.608442,[ 2 12] ; [54 23],[8.61538462 5.38461538] ; [47.38461538 29.61538462],1
s3,1,0.000253,13.388178,[ 3 11] ; [55 21],[9.02222222 4.97777778] ; [48.97777778 27.02222222],1
r4,1,0.001437,10.158009,[10  4] ; [74  3],[12.92307692  1.07692308] ; [71.07692308  5.92307692],0
n4,1,0.004492,8.073384,[10  4] ; [73  4],[12.76923077  1.23076923] ; [70.23076923  6.76923077],0
p6,1,0.005315,7.768905,[ 4 10] ; [51 24],[8.65168539 5.34831461] ; [46.34831461 28.65168539],0
s7,1,0.022104,5.237571,[7 7] ; [57 15],[10.41860465  3.58139535] ; [53.58139535 18.41860465],0
b5,1,0.078183,3.102273,[ 3 11] ; [36 41],[6. 8.] ; [33. 44.],0
n5,1,0.11591,2.471729,[11  3] ; [71  6],[12.61538462  1.38461538] ; [69.38461538  7.61538462],0
r3,1,0.116587,2.462579,[12  2] ; [74  3],[13.23076923  0.76923077] ; [72.76923077  4.23076923],0
s8,1,0.118306,2.43961,[6 8] ; [50 27],[8.61538462 5.38461538] ; [47.38461538 29.61538462],0
p8,1,0.137631,2.204246,[9 5] ; [63 14],[11.07692308  2.92307692] ; [60.92307692 16.07692308],0
v2,1,0.143114,2.144152,[10  3] ; [42 34],[7.59550562 5.40449438] ; [44.40449438 31.59550562],0
v1,1,0.204417,1.610534,[11  2] ; [51 25],[9.05617978 3.94382022] ; [52.94382022 23.05617978],0
a5,1,0.303696,1.057894,[12  2] ; [56 21],[10.46153846  3.53846154] ; [57.53846154 19.46153846],0
u1,1,0.305829,1.048604,[ 1 13] ; [14 63],[ 2.30769231 11.69230769] ; [12.69230769 64.30769231],0
b4,1,0.323043,0.976585,[6 8] ; [44 33],[7.69230769 6.30769231] ; [42.30769231 34.69230769],0
p4,1,0.332224,0.940211,[11  3] ; [67  9],[12.13333333  1.86666667] ; [65.86666667 10.13333333],0
a8,1,0.34497,0.891874,[ 1 12] ; [13 58],[ 2.16666667 10.83333333] ; [11.83333333 59.16666667],0
b2,1,0.349003,0.877079,[7 4] ; [26 28],[5.58461538 5.41538462] ; [27.41538462 26.58461538],0
b3,1,0.349003,0.877079,[7 4] ; [26 28],[5.58461538 5.41538462] ; [27.41538462 26.58461538],0
d1,1,0.36065,0.835629,[10  4] ; [45 32],[8.46153846 5.53846154] ; [46.53846154 30.46153846],0
p11,1,0.406371,0.689394,[13  1] ; [65 12],[12.  2.] ; [66. 11.],0
a6,1,0.408293,0.683766,[10  4] ; [46 31],[8.61538462 5.38461538] ; [47.38461538 29.61538462],0
s5,1,0.409237,0.681018,[8 6] ; [50 23],[9.33333333 4.66666667] ; [48.66666667 24.33333333],0
v3,1,0.441558,0.59223,[9 4] ; [44 32],[7.74157303 5.25842697] ; [45.25842697 30.74157303],0
u3,1,0.493563,0.46875,[3 1] ; [9 7],[2.4 1.6] ; [9.6 6.4],0
a3,1,0.517206,0.419462,[10  4] ; [61 16],[10.92307692  3.07692308] ; [60.07692308 16.92307692],0
n1,1,0.527089,0.4,[1 2] ; [8 7],[1.5 1.5] ; [7.5 7.5],0
p2,1,0.537211,0.380733,[13  1] ; [67 10],[12.30769231  1.69230769] ; [67.69230769  9.30769231],0
d2,1,0.591668,0.287747,[8 6] ; [38 39],[7.07692308 6.92307692] ; [38.92307692 38.07692308],0
p12,1,0.617183,0.249846,[ 3 10] ; [23 54],[3.75555556 9.24444444] ; [22.24444444 54.75555556],0
p7,1,0.632885,0.228169,[10  4] ; [58 17],[10.69662921  3.30337079] ; [57.30337079 17.69662921],0
u2,1,0.648077,0.208333,[2 2] ; [10  6],[2.4 1.6] ; [9.6 6.4],0
r2,1,0.680848,0.169173,[12  2] ; [68  8],[12.44444444  1.55555556] ; [67.55555556  8.44444444],0
n3,1,0.737369,0.112453,[2 1] ; [9 7],[1.73684211 1.26315789] ; [9.26315789 6.73684211],0
b1,1,0.74901,0.102365,[5 9] ; [31 46],[5.53846154 8.46153846] ; [30.46153846 46.53846154],0
r1,1,0.774336,0.082201,[11  3] ; [63 14],[11.38461538  2.61538462] ; [62.61538462 14.38461538],0
d4,1,0.809598,0.058054,[12  2] ; [64 13],[11.69230769  2.30769231] ; [64.30769231 12.69230769],0
d3,1,0.887496,0.020015,[9 5] ; [51 26],[9.23076923 4.76923077] ; [50.76923077 26.23076923],0
a2,1,0.901404,0.015348,[ 2 12] ; [12 65],[ 2.15384615 11.84615385] ; [11.84615385 65.15384615],0
p1,1,0.92205,0.009575,[ 4 10] ; [23 54],[4.15384615 9.84615385] ; [22.84615385 54.15384615],0
a7,1,0.92205,0.009575,[10  4] ; [54 23],[9.84615385 4.15384615] ; [54.15384615 22.84615385],0
a4,1,0.92778,0.008215,[6 8] ; [32 45],[5.84615385 8.15384615] ; [32.15384615 44.84615385],0
d5,1,0.956958,0.002913,[11  3] ; [60 17],[10.92307692  3.07692308] ; [60.07692308 16.92307692],0
p3,1,0.956958,0.002913,[11  3] ; [60 17],[10.92307692  3.07692308] ; [60.07692308 16.92307692],0
