Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.0,34.407467,[189  44] ; [43 46],[167.8757764  65.1242236] ; [64.1242236 24.8757764],1
p2,1,0.0,27.350068,[185  47] ; [43 43],[166.33962264  65.66037736] ; [61.66037736 24.33962264],1
v4,1,0.0,26.431142,[216  16] ; [63 25],[202.275  29.725] ; [76.725 11.275],1
r3,1,0.0,26.379867,[214  17] ; [63 26],[199.959375  31.040625] ; [77.040625 11.959375],1
n5,1,3e-06,22.046965,[168  64] ; [39 49],[150.075  81.925] ; [56.925 31.075],1
r4,1,7e-06,20.169157,[192  41] ; [52 37],[176.55900621  56.44099379] ; [67.44099379 21.55900621],1
p10,1,1e-05,19.586704,[168  62] ; [40 46],[151.39240506  78.60759494] ; [56.60759494 29.39240506],1
p9,1,1.7e-05,18.521514,[174  53] ; [45 42],[158.32165605  68.67834395] ; [60.67834395 26.32165605],1
n4,1,3.5e-05,17.110598,[176  57] ; [46 43],[160.63975155  72.36024845] ; [61.36024845 27.63975155],1
b1,1,0.000314,12.985993,[ 82 151] ; [51 38],[ 96.23913043 136.76086957] ; [36.76086957 52.23913043],1
d1,1,0.000694,11.504635,[133 100] ; [32 57],[119.39440994 113.60559006] ; [45.60559006 43.39440994],1
p4,1,0.000997,10.833109,[112 119] ; [24 62],[ 99.10410095 131.89589905] ; [36.89589905 49.10410095],1
p8,1,0.001133,10.597319,[111 119] ; [24 62],[ 98.25949367 131.74050633] ; [36.74050633 49.25949367],0
p3,1,0.001852,9.690554,[ 98 134] ; [20 66],[ 86.08805031 145.91194969] ; [31.91194969 54.08805031],0
s1,1,0.002052,9.502036,[  3 229] ; [ 7 80],[  7.27272727 224.72727273] ; [ 2.72727273 84.27272727],0
s8,1,0.003407,8.575646,[ 51 182] ; [ 7 82],[ 41.9689441 191.0310559] ; [16.0310559 72.9689441],0
p6,1,0.003815,8.369834,[ 63 166] ; [10 74],[ 53.40894569 175.59105431] ; [19.59105431 64.40894569],0
p7,1,0.004471,8.082068,[131  99] ; [34 53],[119.71608833 110.28391167] ; [45.28391167 41.71608833],0
v2,1,0.008301,6.967267,[121 104] ; [31 53],[110.67961165 114.32038835] ; [41.32038835 42.67961165],0
s7,1,0.008302,6.967221,[ 54 168] ; [ 8 70],[ 45.88 176.12] ; [16.12 61.88],0
a1,1,0.011607,6.369927,[  6 227] ; [ 8 81],[ 10.13043478 222.86956522] ; [ 3.86956522 85.13043478],0
r2,1,0.014247,6.007323,[208  21] ; [72 17],[201.63522013  27.36477987] ; [78.36477987 10.63522013],0
b2,1,0.048616,3.888558,[64 77] ; [14 34],[58.19047619 82.80952381] ; [19.80952381 28.19047619],0
b3,1,0.048616,3.888558,[64 77] ; [14 34],[58.19047619 82.80952381] ; [19.80952381 28.19047619],0
v1,1,0.066229,3.374099,[101 127] ; [29 59],[ 93.79746835 134.20253165] ; [36.20253165 51.79746835],0
u1,1,0.074565,3.179546,[ 29 204] ; [ 5 84],[ 24.60248447 208.39751553] ; [ 9.39751553 79.60248447],0
d4,1,0.077756,3.111192,[178  54] ; [59 29],[171.825  60.175] ; [65.175 22.825],0
s5,1,0.08404,2.984985,[ 32 197] ; [ 6 81],[ 27.53797468 201.46202532] ; [10.46202532 76.53797468],0
v3,1,0.098582,2.728337,[ 81 143] ; [22 62],[ 74.90909091 149.09090909] ; [28.09090909 55.90909091],0
d3,1,0.104924,2.629064,[145  88] ; [46 42],[138.63862928  94.36137072] ; [52.36137072 35.63862928],0
n2,1,0.122727,2.382172,[44 17] ; [18 14],[40.66666667 20.33333333] ; [21.33333333 10.66666667],0
d2,1,0.171469,1.870054,[110 120] ; [35 54],[104.54545455 125.45454545] ; [40.45454545 48.54545455],0
a8,1,0.175385,1.836306,[ 26 182] ; [ 6 79],[ 22.71672355 185.28327645] ; [ 9.28327645 75.71672355],0
a5,1,0.199945,1.642778,[154  79] ; [52 37],[149.0621118  83.9378882] ; [56.9378882 32.0621118],0
r1,1,0.219159,1.509869,[165  67] ; [57 32],[160.44859813  71.55140187] ; [61.55140187 27.44859813],0
n3,1,0.243012,1.363034,[44 17] ; [18 12],[41.56043956 19.43956044] ; [20.43956044  9.56043956],0
p12,1,0.274986,1.191707,[  8 224] ; [ 1 85],[  6.56603774 225.43396226] ; [ 2.43396226 83.56603774],0
s3,1,0.315076,1.009276,[ 56 174] ; [26 61],[ 59.49526814 170.50473186] ; [22.50473186 64.49526814],0
a2,1,0.32568,0.966001,[ 45 188] ; [13 76],[ 41.9689441 191.0310559] ; [16.0310559 72.9689441],0
d5,1,0.343365,0.897826,[172  61] ; [61 28],[168.59937888  64.40062112] ; [64.40062112 24.59937888],0
p5,1,0.35207,0.865984,[ 14 216] ; [ 3 84],[ 12.33438486 217.66561514] ; [ 4.66561514 82.33438486],0
n1,1,0.402237,0.701629,[19 42] ; [12 18],[20.78021978 40.21978022] ; [10.21978022 19.78021978],0
u4,1,0.478141,0.503101,[  1 232] ; [ 1 88],[  1.44720497 231.55279503] ; [ 0.55279503 88.44720497],0
a6,1,0.495127,0.465365,[156  77] ; [56 33],[153.40372671  79.59627329] ; [58.59627329 30.40372671],0
u2,1,0.548948,0.359205,[34 44] ; [15 15],[35.38888889 42.61111111] ; [13.61111111 16.38888889],0
a7,1,0.587426,0.294382,[156  76] ; [57 32],[153.94392523  78.05607477] ; [59.05607477 29.94392523],0
b4,1,0.638057,0.221292,[132 101] ; [53 36],[133.86645963  99.13354037] ; [51.13354037 37.86645963],0
p1,1,0.654867,0.199819,[ 20 212] ; [ 9 79],[ 21.025 210.975] ; [ 7.975 80.025],0
b5,1,0.711413,0.13687,[131 102] ; [48 41],[129.52484472 103.47515528] ; [49.47515528 39.52484472],0
s2,1,0.76456,0.089699,[ 40 191] ; [14 74],[ 39.10344828 191.89655172] ; [14.89655172 73.10344828],0
a4,1,0.91889,0.01037,[ 95 137] ; [37 52],[ 95.40186916 136.59813084] ; [36.59813084 52.40186916],0
a3,1,0.948816,0.004121,[154  77] ; [59 29],[154.24137931  76.75862069] ; [58.75862069 29.24137931],0
u3,1,0.977814,0.000773,[34 45] ; [13 17],[34.06422018 44.93577982] ; [12.93577982 17.06422018],0
