Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,122.660479,[ 47 143] ; [290 107],[109.08006814  80.91993186] ; [227.91993186 169.08006814],1
s2,1,0.0,111.032015,[ 40 149] ; [271 130],[99.62542373 89.37457627] ; [211.37457627 189.62542373],1
s7,1,0.0,67.659859,[ 47 136] ; [245 147],[92.93217391 90.06782609] ; [199.06782609 192.93217391],1
s8,1,0.0,61.632287,[ 46 146] ; [234 167],[ 90.65767285 101.34232715] ; [189.34232715 211.65767285],1
s5,1,0.0,50.360678,[ 27 159] ; [175 217],[ 65.00346021 120.99653979] ; [136.99653979 255.00346021],1
p6,1,9e-06,19.64,[ 47 141] ; [174 221],[ 71.26586621 116.73413379] ; [149.73413379 245.26586621],1
p4,1,2e-05,18.207242,[97 93] ; [278 124],[120.35472973  69.64527027] ; [254.64527027 147.35472973],1
s4,1,6.3e-05,16.02148,[ 13 179] ; [ 77 319],[ 29.3877551 162.6122449] ; [ 60.6122449 335.3877551],1
p12,1,0.000128,14.664213,[  5 184] ; [ 50 351],[ 17.61864407 171.38135593] ; [ 37.38135593 363.61864407],1
n5,1,0.000324,12.925797,[128  62] ; [324  77],[145.31302876  44.68697124] ; [306.68697124  94.31302876],1
p9,1,0.000467,12.244873,[157  33] ; [368  31],[169.35483871  20.64516129] ; [355.64516129  43.35483871],1
p10,1,0.001156,10.559099,[152  38] ; [359  41],[164.55932203  25.44067797] ; [346.44067797  53.55932203],0
p7,1,0.001949,9.597059,[111  79] ; [276 111],[127.43500867  62.56499133] ; [259.56499133 127.43500867],0
a2,1,0.004373,8.122136,[ 34 158] ; [115 288],[ 48.08067227 143.91932773] ; [100.91932773 302.08067227],0
p3,1,0.004731,7.979656,[ 82 109] ; [223 180],[98.07239057 92.92760943] ; [206.92760943 196.07239057],0
p8,1,0.006144,7.507705,[92 99] ; [237 157],[107.41709402  83.58290598] ; [221.58290598 172.41709402],0
u1,1,0.007905,7.0548,[ 26 166] ; [ 92 311],[ 38.07731092 153.92268908] ; [ 79.92268908 323.07731092],0
v1,1,0.010218,6.596519,[92 95] ; [236 154],[106.30155979  80.69844021] ; [221.69844021 168.30155979],0
p5,1,0.013406,6.114694,[ 14 176] ; [ 58 342],[ 23.18644068 166.81355932] ; [ 48.81355932 351.18644068],0
v4,1,0.014073,6.028943,[177  15] ; [388  13],[182.93423272   9.06576728] ; [382.06576728  18.93423272],0
r4,1,0.024967,5.026157,[168  24] ; [375  28],[175.22016807  16.77983193] ; [367.77983193  35.22016807],0
p2,1,0.033021,4.544714,[156  34] ; [355  46],[164.28087986  25.71912014] ; [346.71912014  54.28087986],0
n6,1,0.041705,4.147131,[158  33] ; [356  45],[165.83445946  25.16554054] ; [348.16554054  52.83445946],0
b5,1,0.04462,4.032948,[102  90] ; [249 154],[113.26386555  78.73613445] ; [237.73613445 165.26386555],0
a5,1,0.047147,3.940136,[140  52] ; [323  80],[149.40504202  42.59495798] ; [313.59495798  89.40504202],0
n4,1,0.051068,3.806058,[144  48] ; [330  73],[152.95462185  39.04537815] ; [321.04537815  81.95462185],0
u4,1,0.086409,2.940027,[  2 190] ; [ 14 389],[  5.16302521 186.83697479] ; [ 10.83697479 392.16302521],0
a1,1,0.092637,2.827935,[  6 186] ; [ 26 377],[ 10.32605042 181.67394958] ; [ 21.67394958 381.32605042],0
r3,1,0.125387,2.348713,[184   8] ; [394   8],[186.82828283   5.17171717] ; [391.17171717  10.82828283],0
a3,1,0.127014,2.328624,[138  54] ; [312  90],[145.45454545  46.54545455] ; [304.54545455  97.45454545],0
d5,1,0.150287,2.06934,[162  30] ; [357  46],[167.47563025  24.52436975] ; [351.52436975  51.47563025],0
d1,1,0.166338,1.915641,[127  65] ; [289 114],[134.23865546  57.76134454] ; [281.76134454 121.23865546],0
n2,1,0.179488,1.801862,[28 14] ; [57 16],[31.04347826 10.95652174] ; [53.95652174 19.04347826],0
a4,1,0.187188,1.739609,[ 83 109] ; [197 205],[ 90.50505051 101.49494949] ; [189.49494949 212.50505051],0
u3,1,0.264694,1.244039,[31 23] ; [60 30],[34.125 19.875] ; [56.875 33.125],0
n1,1,0.288792,1.125245,[12 30] ; [28 45],[14.60869565 27.39130435] ; [25.39130435 47.60869565],0
v3,1,0.311833,1.022898,[ 69 114] ; [164 225],[ 74.54370629 108.45629371] ; [158.45629371 230.54370629],0
r1,1,0.315511,1.007463,[152  40] ; [332  70],[156.44444444  35.55555556] ; [327.55555556  74.44444444],0
u2,1,0.326279,0.963612,[31 22] ; [60 30],[33.72727273 19.27272727] ; [57.27272727 32.72727273],0
d2,1,0.357058,0.848215,[93 98] ; [212 190],[98.23777403 92.76222597] ; [206.76222597 195.23777403],0
s1,1,0.378117,0.776813,[  3 187] ; [ 11 387],[  4.52380952 185.47619048] ; [  9.47619048 388.52380952],0
a8,1,0.419415,0.651953,[ 23 155] ; [ 57 310],[ 26.12844037 151.87155963] ; [ 53.87155963 313.12844037],0
d3,1,0.429962,0.622927,[145  47] ; [316  87],[148.75966387  43.24033613] ; [312.24033613  90.75966387],0
a7,1,0.476929,0.505878,[139  53] ; [302 100],[142.54545455  49.45454545] ; [298.45454545 103.54545455],0
b1,1,0.596278,0.280645,[ 70 122] ; [138 265],[ 67.11932773 124.88067227] ; [140.88067227 262.11932773],0
r2,1,0.618621,0.24781,[178  12] ; [375  21],[179.3003413  10.6996587] ; [373.6996587  22.3003413],0
b4,1,0.651358,0.204193,[113  79] ; [245 158],[115.52268908  76.47731092] ; [242.47731092 160.52268908],0
b2,1,0.688986,0.160185,[50 67] ; [105 154],[48.23138298 68.76861702] ; [106.76861702 152.23138298],0
b3,1,0.688986,0.160185,[50 67] ; [105 154],[48.23138298 68.76861702] ; [106.76861702 152.23138298],0
p1,1,0.761381,0.092214,[ 13 178] ; [ 30 370],[ 13.89678511 177.10321489] ; [ 29.10321489 370.89678511],0
v2,1,0.761691,0.091967,[110  76] ; [234 153],[111.66492147  74.33507853] ; [232.33507853 154.66492147],0
a6,1,0.782531,0.076188,[134  58] ; [285 117],[135.43434343  56.56565657] ; [283.56565657 118.43434343],0
n3,1,0.848103,0.036688,[30 13] ; [49 23],[29.53913043 13.46086957] ; [49.46086957 22.53913043],0
