Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000127,14.685517,[15  6] ; [101   4],[19.33333333  1.66666667] ; [96.66666667  8.33333333],1
r4,1,0.000248,13.430329,[13  8] ; [98  9],[18.2109375  2.7890625] ; [92.7890625 14.2109375],1
s2,1,0.000409,12.491557,[ 8 13] ; [82 25],[14.765625  6.234375] ; [75.234375 31.765625],1
s3,1,0.001217,10.464194,[ 9 12] ; [83 24],[15.09375  5.90625] ; [76.90625 30.09375],0
p4,1,0.002531,9.118172,[ 7 14] ; [73 34],[13.125  7.875] ; [66.875 40.125],0
d1,1,0.002596,9.071801,[ 9 12] ; [81 26],[14.765625  6.234375] ; [75.234375 31.765625],0
d5,1,0.003062,8.770261,[14  7] ; [97 10],[18.2109375  2.7890625] ; [92.7890625 14.2109375],0
s5,1,0.003175,8.704237,[ 4 14] ; [61 41],[9.75 8.25] ; [55.25 46.75],0
s8,1,0.00685,7.311879,[ 5 16] ; [60 47],[10.6640625 10.3359375] ; [54.3359375 52.6640625],0
s7,1,0.008396,6.947023,[ 7 13] ; [69 35],[12.25806452  7.74193548] ; [63.74193548 40.25806452],0
r1,1,0.00884,6.854769,[11 10] ; [85 22],[15.75  5.25] ; [80.25 26.75],0
p7,1,0.013505,6.101697,[ 8 12] ; [71 32],[12.84552846  7.15447154] ; [66.15447154 36.84552846],0
n6,1,0.013905,6.050204,[13  8] ; [90 16],[17.03149606  3.96850394] ; [85.96850394 20.03149606],0
v4,1,0.022847,5.180065,[18  3] ; [104   3],[20.015625  0.984375] ; [101.984375   5.015625],0
p8,1,0.025334,5.000943,[ 6 15] ; [57 46],[10.66935484 10.33064516] ; [52.33064516 50.66935484],0
a2,1,0.038002,4.304914,[ 1 20] ; [27 80],[ 4.59375 16.40625] ; [23.40625 83.59375],0
d2,1,0.046828,3.951573,[ 7 14] ; [61 46],[11.15625  9.84375] ; [56.84375 50.15625],0
n2,1,0.065755,3.385931,[2 3] ; [23  6],[3.67647059 1.32352941] ; [21.32352941  7.67647059],0
r2,1,0.067069,3.353344,[16  3] ; [102   5],[17.79365079  1.20634921] ; [100.20634921   6.79365079],0
n5,1,0.136662,2.215145,[11 10] ; [74 33],[13.9453125  7.0546875] ; [71.0546875 35.9453125],0
a5,1,0.158258,1.990789,[13  8] ; [82 25],[15.5859375  5.4140625] ; [79.4140625 27.5859375],0
p10,1,0.173014,1.856632,[15  6] ; [89 17],[17.19685039  3.80314961] ; [86.80314961 19.19685039],0
b4,1,0.230246,1.439342,[10 11] ; [66 41],[12.46875  8.53125] ; [63.53125 43.46875],0
u2,1,0.234965,1.410553,[5 2] ; [12 14],[3.60606061 3.39393939] ; [13.39393939 12.60606061],0
a6,1,0.25705,1.284574,[11 10] ; [70 37],[13.2890625  7.7109375] ; [67.7109375 39.2890625],0
p3,1,0.266574,1.234294,[ 9 12] ; [60 47],[11.3203125  9.6796875] ; [57.6796875 49.3203125],0
a4,1,0.299623,1.075873,[ 8 13] ; [54 53],[10.171875 10.828125] ; [51.828125 55.171875],0
p6,1,0.338432,0.916364,[ 8 13] ; [52 53],[10. 11.] ; [50. 55.],0
p11,1,0.356343,0.850742,[13  8] ; [77 30],[14.765625  6.234375] ; [75.234375 31.765625],0
p2,1,0.358271,0.843944,[15  6] ; [86 21],[16.5703125  4.4296875] ; [84.4296875 22.5703125],0
a3,1,0.386859,0.748792,[14  7] ; [81 26],[15.5859375  5.4140625] ; [79.4140625 27.5859375],0
v1,1,0.400383,0.707176,[ 8 13] ; [51 55],[ 9.75590551 11.24409449] ; [49.24409449 56.75590551],0
u1,1,0.402932,0.699558,[ 3 18] ; [24 83],[ 4.4296875 16.5703125] ; [22.5703125 84.4296875],0
p9,1,0.494525,0.466667,[17  4] ; [91 14],[18.  3.] ; [90. 15.],0
u3,1,0.547045,0.362637,[4 3] ; [18  8],[4.66666667 2.33333333] ; [17.33333333  8.66666667],0
n3,1,0.573687,0.316552,[3 2] ; [21  8],[3.52941176 1.47058824] ; [20.47058824  8.52941176],0
n4,1,0.57915,0.30761,[12  9] ; [68 39],[13.125  7.875] ; [66.875 40.125],0
b5,1,0.57915,0.30761,[12  9] ; [68 39],[13.125  7.875] ; [66.875 40.125],0
a7,1,0.689186,0.159968,[14  7] ; [76 31],[14.765625  6.234375] ; [75.234375 31.765625],0
n1,1,0.692278,0.156631,[2 3] ; [ 9 20],[1.61764706 3.38235294] ; [ 9.38235294 19.61764706],0
d3,1,0.699861,0.148617,[18  3] ; [88 19],[17.390625  3.609375] ; [88.609375 18.390625],0
v2,1,0.71891,0.12954,[10 11] ; [54 50],[10.752 10.248] ; [53.248 50.752],0
b1,1,0.7577,0.095173,[ 9 12] ; [42 65],[ 8.3671875 12.6328125] ; [42.6328125 64.3671875],0
v3,1,0.775618,0.081244,[ 6 15] ; [33 71],[ 6.552 14.448] ; [32.448 71.552],0
a1,1,0.824814,0.048999,[ 1 20] ; [  4 103],[ 0.8203125 20.1796875] ; [  4.1796875 102.8203125],0
b2,1,0.833653,0.044108,[ 4 10] ; [17 37],[4.32352941 9.67647059] ; [16.67647059 37.32352941],0
b3,1,0.833653,0.044108,[ 4 10] ; [17 37],[4.32352941 9.67647059] ; [16.67647059 37.32352941],0
a8,1,0.845315,0.038064,[ 1 19] ; [ 4 95],[ 0.84033613 19.15966387] ; [ 4.15966387 94.84033613],0
s1,1,0.992927,7.9e-05,[ 1 20] ; [  5 101],[ 0.99212598 20.00787402] ; [  5.00787402 100.99212598],0
