Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.957209,[26 14] ; [11 50],[14.65346535 25.34653465] ; [22.34653465 38.65346535],1
s8,1,9e-06,19.735553,[24 16] ; [11 52],[13.59223301 26.40776699] ; [21.40776699 41.59223301],1
s5,1,8.5e-05,15.454724,[16 23] ; [ 5 56],[ 8.19 30.81] ; [12.81 48.19],1
p10,1,0.000584,11.825847,[37  2] ; [39 21],[29.93939394  9.06060606] ; [46.06060606 13.93939394],1
s6,1,0.00099,10.846375,[30  9] ; [27 35],[22.00990099 16.99009901] ; [34.99009901 27.00990099],1
p2,1,0.001764,9.78044,[38  2] ; [43 19],[31.76470588  8.23529412] ; [49.23529412 12.76470588],0
a5,1,0.004249,8.174105,[31  9] ; [31 32],[24.0776699 15.9223301] ; [37.9223301 25.0776699],0
s3,1,0.006145,7.507295,[25 14] ; [22 39],[18.33 20.67] ; [28.67 32.33],0
n6,1,0.009682,6.692565,[37  3] ; [45 18],[31.84466019  8.15533981] ; [50.15533981 12.84466019],0
p6,1,0.011589,6.372759,[18 22] ; [13 48],[12.27722772 27.72277228] ; [18.72277228 42.27722772],0
r4,1,0.028348,4.806791,[38  2] ; [50 13],[34.17475728  5.82524272] ; [53.82524272  9.17475728],0
p5,1,0.035139,4.438406,[ 6 34] ; [ 2 58],[ 3.2 36.8] ; [ 4.8 55.2],0
p9,1,0.045315,4.006885,[36  4] ; [45 16],[32.07920792  7.92079208] ; [48.92079208 12.07920792],0
p8,1,0.049357,3.863175,[25 15] ; [25 34],[20.2020202 19.7979798] ; [29.7979798 29.2020202],0
p7,1,0.054216,3.706039,[29 11] ; [32 28],[24.4 15.6] ; [36.6 23.4],0
p4,1,0.102876,2.660376,[25 15] ; [29 34],[20.97087379 19.02912621] ; [33.02912621 29.97087379],0
v4,1,0.130341,2.288434,[38  2] ; [53  9],[35.68627451  4.31372549] ; [55.31372549  6.68627451],0
a8,1,0.148926,2.083219,[ 6 31] ; [ 4 54],[ 3.89473684 33.10526316] ; [ 6.10526316 51.89473684],0
d1,1,0.149471,2.077641,[ 4 36] ; [ 2 61],[ 2.33009709 37.66990291] ; [ 3.66990291 59.33009709],0
d3,1,0.161879,1.956584,[17 23] ; [18 44],[13.7254902 26.2745098] ; [21.2745098 40.7254902],0
r1,1,0.199198,1.648242,[31  8] ; [42 20],[28.18811881 10.81188119] ; [44.81188119 17.18811881],0
a6,1,0.268522,1.224284,[29 11] ; [39 24],[26.40776699 13.59223301] ; [41.59223301 21.40776699],0
n2,1,0.26939,1.21985,[9 1] ; [10  4],[7.91666667 2.08333333] ; [11.08333333  2.91666667],0
a3,1,0.276962,1.181935,[26 14] ; [33 28],[23.36633663 16.63366337] ; [35.63366337 25.36633663],0
r2,1,0.284431,1.145797,[38  2] ; [56  7],[36.50485437  3.49514563] ; [57.49514563  5.50485437],0
s4,1,0.301756,1.066417,[ 9 31] ; [ 9 53],[ 7.05882353 32.94117647] ; [10.94117647 51.05882353],0
