Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,85.313438,[13 68] ; [128  36],[46.61632653 34.38367347] ; [94.38367347 69.61632653],1
d5,1,0.0,65.103059,[48 33] ; [160   3],[69.04918033 11.95081967] ; [138.95081967  24.04918033],1
d3,1,0.0,62.517869,[32 49] ; [144  20],[58.1877551 22.8122449] ; [117.8122449  46.1877551],1
d4,1,0.0,47.305791,[55 26] ; [160   3],[71.37295082  9.62704918] ; [143.62704918  19.37295082],1
a2,1,0.0,33.148512,[ 5 76] ; [69 95],[24.46530612 56.53469388] ; [ 49.53469388 114.46530612],1
a4,1,0.0,30.063842,[21 60] ; [103  60],[41.16393443 39.83606557] ; [82.83606557 80.16393443],1
u1,1,0.0,29.758272,[ 4 77] ; [ 62 102],[21.82040816 59.17959184] ; [ 44.17959184 119.82040816],1
a5,1,0.000118,14.821188,[56 25] ; [146  18],[66.78367347 14.21632653] ; [135.21632653  28.78367347],1
a3,1,0.000674,11.558401,[61 20] ; [148  14],[69.66666667 11.33333333] ; [139.33333333  22.66666667],1
r2,1,0.000837,11.158392,[73  7] ; [162   1],[77.36625514  2.63374486] ; [157.63374486   5.36625514],1
r4,1,0.001697,9.851836,[70 11] ; [159   5],[75.71020408  5.28979592] ; [153.28979592  10.71020408],0
a7,1,0.009865,6.659166,[46 35] ; [120  44],[54.88163265 26.11836735] ; [111.11836735  52.88163265],0
p9,1,0.010027,6.630014,[71 10] ; [157   6],[75.68852459  5.31147541] ; [152.31147541  10.68852459],0
n6,1,0.015455,5.8639,[69 12] ; [153   9],[74.  7.] ; [148.  14.],0
s8,1,0.015784,5.8268,[49 32] ; [123  40],[57.09836066 23.90163934] ; [114.90163934  48.09836066],0
s6,1,0.024543,5.055869,[61 19] ; [141  20],[67.05394191 12.94605809] ; [134.94605809  26.05394191],0
r1,1,0.027579,4.854176,[61 20] ; [142  22],[67.11428571 13.88571429] ; [135.88571429  28.11428571],0
n4,1,0.044912,4.021952,[65 16] ; [146  17],[70.04508197 10.95491803] ; [140.95491803  22.04508197],0
s5,1,0.045373,4.004727,[30 47] ; [82 73],[37.17241379 39.82758621] ; [74.82758621 80.17241379],0
p4,1,0.0476,3.924053,[62 19] ; [142  22],[67.44489796 13.55510204] ; [136.55510204  27.44489796],0
p12,1,0.05259,3.756907,[ 6 74] ; [ 27 136],[10.86419753 69.13580247] ; [ 22.13580247 140.86419753],0
p10,1,0.090304,2.868951,[68 12] ; [150  13],[71.76954733  8.23045267] ; [146.23045267  16.76954733],0
p2,1,0.098401,2.731262,[76  4] ; [145  19],[72.45901639  7.54098361] ; [148.54098361  15.45901639],0
a6,1,0.114998,2.48416,[49 32] ; [115  48],[54.44262295 26.55737705] ; [109.55737705  53.44262295],0
n5,1,0.121796,2.394067,[63 17] ; [141  22],[67.16049383 12.83950617] ; [136.83950617  26.16049383],0
p6,1,0.123954,2.366633,[39 39] ; [98 64],[44.525 33.475] ; [92.475 69.525],0
s2,1,0.124109,2.36468,[53 28] ; [122  41],[58.0942623 22.9057377] ; [116.9057377  46.0942623],0
a1,1,0.161384,1.961207,[ 3 78] ; [ 14 150],[ 5.62040816 75.37959184] ; [ 11.37959184 152.62040816],0
v4,1,0.169398,1.888262,[77  4] ; [161   3],[78.68571429  2.31428571] ; [159.31428571   4.68571429],0
b5,1,0.174387,1.84482,[41 40] ; [98 66],[45.95510204 35.04489796] ; [93.04489796 70.95510204],0
b3,1,0.217247,1.522462,[28 25] ; [53 71],[24.25423729 28.74576271] ; [56.74576271 67.25423729],0
b2,1,0.217247,1.522462,[28 25] ; [53 71],[24.25423729 28.74576271] ; [56.74576271 67.25423729],0
s3,1,0.245973,1.346033,[56 25] ; [124  39],[59.75409836 21.24590164] ; [120.24590164  42.75409836],0
v1,1,0.284486,1.145536,[47 33] ; [104  54],[50.75630252 29.24369748] ; [100.24369748  57.75630252],0
p8,1,0.35064,0.871141,[50 30] ; [111  51],[53.2231405 26.7768595] ; [107.7768595  54.2231405],0
n2,1,0.460848,0.543835,[10  4] ; [22  5],[10.92682927  3.07317073] ; [21.07317073  5.92682927],0
a8,1,0.497235,0.460834,[10 68] ; [ 24 124],[11.73451327 66.26548673] ; [ 22.26548673 125.73451327],0
v2,1,0.505356,0.44367,[46 31] ; [104  58],[48.32635983 28.67364017] ; [101.67364017  60.32635983],0
u3,1,0.517482,0.418909,[13  7] ; [12  4],[13.88888889  6.11111111] ; [11.11111111  4.88888889],0
b1,1,0.530488,0.393456,[37 44] ; [68 96],[34.71428571 46.28571429] ; [70.28571429 93.71428571],0
v3,1,0.544851,0.366623,[39 40] ; [83 72],[41.18803419 37.81196581] ; [80.81196581 74.18803419],0
p1,1,0.55387,0.35043,[10 70] ; [ 25 138],[11.52263374 68.47736626] ; [ 23.47736626 139.52263374],0
n1,1,0.571042,0.320943,[7 7] ; [16 11],[7.85365854 6.14634146] ; [15.14634146 11.85365854],0
n3,1,0.574103,0.315865,[11  3] ; [19  8],[10.24390244  3.75609756] ; [19.75609756  7.24390244],0
