Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.023157,5.15667,[90 16] ; [51 21],[83.96629213 22.03370787] ; [57.03370787 14.96629213],0
a4,1,0.049581,3.855586,[43 63] ; [41 33],[49.46666667 56.53333333] ; [34.53333333 39.46666667],0
p10,1,0.054927,3.68431,[92 14] ; [56 18],[87.15555556 18.84444444] ; [60.84444444 13.15555556],0
p12,1,0.074851,3.173308,[10 96] ; [ 2 72],[ 7.06666667 98.93333333] ; [ 4.93333333 69.06666667],0
p9,1,0.082488,3.015186,[94 12] ; [57 15],[89.92134831 16.07865169] ; [61.07865169 10.92134831],0
n6,1,0.099896,2.70721,[96 10] ; [60 13],[92.37988827 13.62011173] ; [63.62011173  9.37988827],0
v3,1,0.12877,2.30727,[35 67] ; [17 55],[30.48275862 71.51724138] ; [21.51724138 50.48275862],0
n2,1,0.13062,2.285123,[22 12] ; [16  3],[24.37735849  9.62264151] ; [13.62264151  5.37735849],0
d1,1,0.173656,1.851096,[68 38] ; [40 34],[63.6 42.4] ; [44.4 29.6],0
p8,1,0.200401,1.639452,[56 50] ; [31 41],[51.80898876 54.19101124] ; [35.19101124 36.80898876],0
v4,1,0.20094,1.635532,[103   3] ; [68  5],[101.26256983   4.73743017] ; [69.73743017  3.26256983],0
u1,1,0.228697,1.448948,[25 81] ; [12 62],[21.78888889 84.21111111] ; [15.21111111 58.78888889],0
n4,1,0.249142,1.328106,[83 23] ; [63 11],[85.97777778 20.02222222] ; [60.02222222 13.97777778],0
p2,1,0.27086,1.212386,[85 21] ; [64 10],[87.74444444 18.25555556] ; [61.25555556 12.74444444],0
v2,1,0.276559,1.18392,[48 55] ; [28 45],[44.47727273 58.52272727] ; [31.52272727 41.47727273],0
s2,1,0.306368,1.04627,[75 31] ; [47 27],[71.84444444 34.15555556] ; [50.15555556 23.84444444],0
r4,1,0.341771,0.903778,[94 12] ; [62 12],[91.86666667 14.13333333] ; [64.13333333  9.86666667],0
b4,1,0.342718,0.900239,[54 52] ; [43 31],[57.12222222 48.87777778] ; [39.87777778 34.12222222],0
r3,1,0.346646,0.885698,[98  8] ; [70  3],[99.48603352  6.51396648] ; [68.51396648  4.48603352],0
n5,1,0.353204,0.861913,[82 24] ; [52 21],[79.35195531 26.64804469] ; [54.64804469 18.35195531],0
s3,1,0.353204,0.861913,[82 24] ; [52 21],[79.35195531 26.64804469] ; [54.64804469 18.35195531],0
u2,1,0.419526,0.651644,[14 10] ; [10  4],[15.15789474  8.84210526] ; [8.84210526 5.15789474],0
d4,1,0.43897,0.598974,[89 17] ; [58 15],[87.05027933 18.94972067] ; [59.94972067 13.05027933],0
p5,1,0.440862,0.594037,[14 92] ; [ 7 67],[12.36666667 93.63333333] ; [ 8.63333333 65.36666667],0
a6,1,0.477234,0.505178,[68 38] ; [43 30],[65.73184358 40.26815642] ; [45.26815642 27.73184358],0
d3,1,0.504776,0.444881,[69 37] ; [51 22],[71.06145251 34.93854749] ; [48.93854749 24.06145251],0
a7,1,0.508161,0.437853,[71 35] ; [53 21],[73.02222222 32.97777778] ; [50.97777778 23.02222222],0
p11,1,0.551144,0.355271,[79 27] ; [58 16],[80.67777778 25.32222222] ; [56.32222222 17.67777778],0
b3,1,0.623358,0.241176,[27 42] ; [17 32],[25.72881356 43.27118644] ; [18.27118644 30.72881356],0
b2,1,0.623358,0.241176,[27 42] ; [17 32],[25.72881356 43.27118644] ; [18.27118644 30.72881356],0
b5,1,0.630223,0.231758,[52 54] ; [39 35],[53.58888889 52.41111111] ; [37.41111111 36.58888889],0
r2,1,0.630792,0.230988,[99  6] ; [70  3],[99.69101124  5.30898876] ; [69.30898876  3.69101124],0
b1,1,0.702704,0.145675,[46 60] ; [30 44],[44.75555556 61.24444444] ; [31.24444444 42.75555556],0
