Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.40079,[17 49] ; [43 19],[30.9375 35.0625] ; [29.0625 32.9375],1
v1,1,0.000299,13.074237,[26 38] ; [45 17],[36.06349206 27.93650794] ; [34.93650794 27.06349206],1
n3,1,0.022353,5.218067,[14 12] ; [11  1],[17.10526316  8.89473684] ; [7.89473684 4.10526316],0
s4,1,0.030147,4.700864,[22 43] ; [11 53],[16.62790698 48.37209302] ; [16.37209302 47.62790698],0
s8,1,0.042594,4.111442,[42 24] ; [51 13],[47.21538462 18.78461538] ; [45.78461538 18.21538462],0
r4,1,0.046876,3.949849,[50 16] ; [57  7],[54.32307692 11.67692308] ; [52.67692308 11.32307692],0
p7,1,0.05741,3.610678,[40 26] ; [48 15],[45.02325581 20.97674419] ; [42.97674419 20.02325581],0
r2,1,0.060914,3.512328,[58  8] ; [60  2],[60.84375  5.15625] ; [57.15625  4.84375],0
a3,1,0.061468,3.497331,[52 14] ; [58  6],[55.84615385 10.15384615] ; [54.15384615  9.84615385],0
n4,1,0.067653,3.339056,[55 11] ; [59  4],[58.3255814  7.6744186] ; [55.6744186  7.3255814],0
p3,1,0.06907,3.30498,[34 32] ; [43 21],[39.09230769 26.90769231] ; [37.90769231 26.09230769],0
d5,1,0.077063,3.125769,[49 16] ; [56  8],[52.90697674 12.09302326] ; [52.09302326 11.90697674],0
p1,1,0.078025,3.105559,[ 9 57] ; [ 3 61],[ 6.09230769 59.90769231] ; [ 5.90769231 58.09230769],0
a5,1,0.079367,3.077812,[46 20] ; [53 11],[50.26153846 15.73846154] ; [48.73846154 15.26153846],0
d4,1,0.086964,2.929691,[48 17] ; [55  9],[51.89922481 13.10077519] ; [51.10077519 12.89922481],0
s2,1,0.152684,2.04523,[43 23] ; [49 15],[46.70769231 19.29230769] ; [45.29230769 18.70769231],0
p9,1,0.156018,2.012402,[54 12] ; [57  6],[56.79069767  9.20930233] ; [54.20930233  8.79069767],0
d3,1,0.15868,1.986759,[36 30] ; [27 37],[31.98461538 34.01538462] ; [31.01538462 32.98461538],0
u4,1,0.16048,1.969697,[ 1 65] ; [ 4 60],[ 2.53846154 63.46153846] ; [ 2.46153846 61.53846154],0
s1,1,0.182438,1.777652,[ 4 62] ; [ 1 63],[ 2.53846154 63.46153846] ; [ 2.46153846 61.53846154],0
p8,1,0.209115,1.577544,[31 35] ; [36 26],[34.546875 31.453125] ; [32.453125 29.546875],0
d2,1,0.215923,1.531263,[31 35] ; [37 27],[34.52307692 31.47692308] ; [33.47692308 30.52307692],0
a8,1,0.275173,1.190776,[ 7 57] ; [11 51],[ 9.14285714 54.85714286] ; [ 8.85714286 53.14285714],0
a1,1,0.278147,1.176121,[ 3 63] ; [ 6 58],[ 4.56923077 61.43076923] ; [ 4.43076923 59.56923077],0
p2,1,0.285532,1.140569,[52 14] ; [55  9],[54.32307692 11.67692308] ; [52.67692308 11.32307692],0
b4,1,0.296589,1.08947,[28 38] ; [33 31],[30.96923077 35.03076923] ; [30.03076923 33.96923077],0
p5,1,0.349611,0.874869,[12 53] ; [ 8 56],[10.07751938 54.92248062] ; [ 9.92248062 54.07751938],0
r1,1,0.351844,0.866797,[48 18] ; [51 13],[50.26153846 15.73846154] ; [48.73846154 15.26153846],0
s3,1,0.365243,0.819784,[47 19] ; [50 14],[49.24615385 16.75384615] ; [47.75384615 16.24615385],0
n1,1,0.367123,0.813378,[17  9] ; [6 6],[15.73684211 10.26315789] ; [7.26315789 4.73684211],0
b1,1,0.38181,0.764866,[36 30] ; [30 34],[33.50769231 32.49230769] ; [32.49230769 31.50769231],0
s6,1,0.436356,0.605847,[51 14] ; [52 10],[52.71653543 12.28346457] ; [50.28346457 11.71653543],0
s5,1,0.450854,0.568503,[28 38] ; [29 30],[30.096 35.904] ; [26.904 32.096],0
v4,1,0.543637,0.36884,[59  6] ; [59  4],[59.921875  5.078125] ; [58.078125  4.921875],0
n6,1,0.561851,0.336509,[57  8] ; [53 10],[55.859375  9.140625] ; [54.140625  8.859375],0
p10,1,0.570581,0.321711,[53 13] ; [53 10],[54.23255814 11.76744186] ; [51.76744186 11.23255814],0
u1,1,0.582235,0.302636,[ 7 59] ; [ 5 59],[ 6.09230769 59.90769231] ; [ 5.90769231 58.09230769],0
d1,1,0.592675,0.286187,[33 33] ; [35 29],[34.52307692 31.47692308] ; [33.47692308 30.52307692],0
a6,1,0.670482,0.181038,[24 42] ; [21 43],[22.84615385 43.15384615] ; [22.15384615 41.84615385],0
a4,1,0.72569,0.123106,[34 32] ; [31 33],[33. 33.] ; [32. 32.],0
u3,1,0.768571,0.08658,[8 6] ; [3 3],[7.7 6.3] ; [3.3 2.7],0
a2,1,0.832735,0.044604,[ 8 58] ; [ 7 57],[ 7.61538462 58.38461538] ; [ 7.38461538 56.61538462],0
b2,1,0.837944,0.04183,[22 23] ; [26 25],[22.5 22.5] ; [25.5 25.5],0
b3,1,0.837944,0.04183,[22 23] ; [26 25],[22.5 22.5] ; [25.5 25.5],0
p11,1,0.89106,0.018759,[53 13] ; [52 12],[53.30769231 12.69230769] ; [51.69230769 12.30769231],0
p4,1,0.893227,0.018016,[42 24] ; [40 24],[41.63076923 24.36923077] ; [40.36923077 23.63076923],0
n5,1,0.909893,0.012808,[56 10] ; [53 10],[55.76744186 10.23255814] ; [53.23255814  9.76744186],0
