Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,50.932387,[85 48] ; [ 33 117],[55.45583039 77.54416961] ; [62.54416961 87.45583039],1
s2,1,0.0,48.4396,[93 40] ; [ 42 106],[63.89679715 69.10320285] ; [71.10320285 76.89679715],1
s3,1,0.0,40.604617,[102  30] ; [59 90],[75.62989324 56.37010676] ; [85.37010676 63.62989324],1
s6,1,0.0,33.455117,[112  19] ; [77 68],[89.70652174 41.29347826] ; [99.29347826 45.70652174],1
p5,1,8e-05,15.548362,[ 26 105] ; [  7 143],[ 15.38434164 115.61565836] ; [ 17.61565836 132.38434164],1
p6,1,0.000247,13.432776,[63 69] ; [ 40 110],[48.21276596 83.78723404] ; [54.78723404 95.21276596],1
p10,1,0.000255,13.376197,[112  21] ; [97 52],[98.57092199 34.42907801] ; [110.42907801  38.57092199],1
a3,1,0.000445,12.331064,[103  29] ; [87 62],[89.25266904 42.74733096] ; [100.74733096  48.25266904],1
p4,1,0.000464,12.254599,[90 43] ; [70 79],[75.46099291 57.53900709] ; [84.53900709 64.46099291],1
p9,1,0.000467,12.241879,[114  19] ; [102  48],[101.51236749  31.48763251] ; [114.48763251  35.51236749],1
p3,1,0.000534,11.991754,[71 61] ; [ 50 100],[56.63829787 75.36170213] ; [64.36170213 85.63829787],1
n6,1,0.000535,11.99055,[119  13] ; [112  39],[107.74558304  24.25441696] ; [123.25441696  27.74558304],1
d3,1,0.000898,11.027513,[103  29] ; [90 61],[90.02120141 41.97879859] ; [102.97879859  48.02120141],1
n4,1,0.001792,9.751737,[114  19] ; [106  45],[103.02816901  29.97183099] ; [116.97183099  34.02816901],0
s5,1,0.002745,8.969666,[55 74] ; [ 37 108],[43.31386861 85.68613139] ; [48.68613139 96.31386861],0
a6,1,0.006847,7.312679,[75 57] ; [109  42],[85.82332155 46.17667845] ; [98.17667845 52.82332155],0
s4,1,0.007391,7.175371,[35 97] ; [ 20 126],[ 26.11510791 105.88489209] ; [ 28.88489209 117.11510791],0
n5,1,0.00805,7.022372,[108  25] ; [101  49],[98.22261484 34.77738516] ; [110.77738516  39.22261484],0
p8,1,0.010553,6.539004,[77 56] ; [64 86],[66.26501767 66.73498233] ; [74.73498233 75.26501767],0
p12,1,0.015185,5.894919,[ 11 122] ; [  3 147],[  6.5795053 126.4204947] ; [  7.4204947 142.5795053],0
u1,1,0.017008,5.695594,[ 30 103] ; [ 18 133],[ 22.47887324 110.52112676] ; [ 25.52112676 125.47887324],0
p7,1,0.022897,5.176302,[86 44] ; [78 70],[76.69064748 53.30935252] ; [87.30935252 60.69064748],0
a4,1,0.065797,3.384876,[69 64] ; [61 88],[61.31205674 71.68794326] ; [68.68794326 80.31205674],0
n1,1,0.077349,3.119751,[17 13] ; [17 30],[13.24675325 16.75324675] ; [20.75324675 26.24675325],0
p2,1,0.078368,3.098432,[113  20] ; [115  35],[107.15194346  25.84805654] ; [120.84805654  29.15194346],0
a2,1,0.086316,2.941778,[38 95] ; [ 30 121],[ 31.84507042 101.15492958] ; [ 36.15492958 114.84507042],0
d1,1,0.086575,2.936931,[83 50] ; [79 72],[75.86619718 57.13380282] ; [86.13380282 64.86619718],0
n3,1,0.101259,2.685605,[16 14] ; [33 13],[19.34210526 10.65789474] ; [29.65789474 16.34210526],0
v3,1,0.103445,2.651612,[30 99] ; [ 23 125],[ 24.68231047 104.31768953] ; [ 28.31768953 119.68231047],0
r3,1,0.117692,2.447776,[127   6] ; [137  14],[123.63380282   9.36619718] ; [140.36619718  10.63380282],0
s1,1,0.147491,2.09801,[ 12 120] ; [  7 141],[  8.95714286 123.04285714] ; [ 10.04285714 137.95714286],0
a7,1,0.170065,1.882374,[85 48] ; [108  43],[90.38380282 42.61619718] ; [102.61619718  48.38380282],0
p1,1,0.172454,1.861485,[ 15 118] ; [ 10 140],[ 11.74911661 121.25088339] ; [ 13.25088339 136.74911661],0
b4,1,0.195164,1.678198,[70 63] ; [91 60],[75.39788732 57.60211268] ; [85.60211268 65.39788732],0
b5,1,0.208307,1.583156,[73 60] ; [94 57],[78.20774648 54.79225352] ; [88.79225352 62.20774648],0
b2,1,0.208587,1.581204,[36 52] ; [29 62],[31.95530726 56.04469274] ; [33.04469274 57.95530726],0
b3,1,0.208587,1.581204,[36 52] ; [29 62],[31.95530726 56.04469274] ; [33.04469274 57.95530726],0
u4,1,0.255511,1.29292,[  3 130] ; [  1 150],[  1.87323944 131.12676056] ; [  2.12676056 148.87323944],0
u2,1,0.393804,0.727163,[19 11] ; [34 29],[17.09677419 12.90322581] ; [35.90322581 27.09677419],0
v4,1,0.400489,0.706856,[127   5] ; [142   9],[125.46996466   6.53003534] ; [143.53003534   7.46996466],0
d5,1,0.402042,0.702209,[106  25] ; [116  35],[103.12765957  27.87234043] ; [118.87234043  32.12765957],0
v1,1,0.444553,0.584503,[57 73] ; [59 91],[53.85714286 76.14285714] ; [62.14285714 87.85714286],0
b1,1,0.465108,0.533574,[63 70] ; [65 86],[59.94366197 73.05633803] ; [68.05633803 82.94366197],0
r4,1,0.525442,0.403199,[125   8] ; [139  12],[123.63380282   9.36619718] ; [140.36619718  10.63380282],0
d4,1,0.526915,0.400338,[108  23] ; [120  31],[105.91489362  25.08510638] ; [122.08510638  28.91489362],0
d2,1,0.561462,0.33718,[64 68] ; [68 83],[61.56890459 70.43109541] ; [70.43109541 80.56890459],0
a1,1,0.600989,0.273507,[  6 127] ; [  5 146],[  5.15140845 127.84859155] ; [  5.84859155 145.15140845],0
a8,1,0.632264,0.229003,[ 17 104] ; [ 17 124],[ 15.70229008 105.29770992] ; [ 18.29770992 122.70229008],0
a5,1,0.727362,0.121548,[95 38] ; [105  46],[93.66197183 39.33802817] ; [106.33802817  44.66197183],0
p11,1,0.746769,0.104266,[100  33] ; [111  40],[98.81338028 34.18661972] ; [112.18661972  38.81338028],0
u3,1,0.747866,0.103333,[21  9] ; [42 21],[20.32258065  9.67741935] ; [42.67741935 20.32258065],0
r2,1,0.750264,0.10131,[127   6] ; [142   8],[126.4204947   6.5795053] ; [142.5795053   7.4204947],0
n2,1,0.805631,0.060549,[21  9] ; [33 16],[20.50632911  9.49367089] ; [33.49367089 15.50632911],0
