Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,44.991596,[247  11] ; [51 23],[231.57831325  26.42168675] ; [66.42168675  7.57831325],1
p10,1,0.0,39.633596,[215  43] ; [34 38],[194.67272727  63.32727273] ; [54.32727273 17.67272727],1
r4,1,0.0,35.076617,[240  21] ; [48 26],[224.38208955  36.61791045] ; [63.61791045 10.38208955],1
v4,1,0.0,32.466271,[246  14] ; [53 21],[232.75449102  27.24550898] ; [66.24550898  7.75449102],1
p9,1,0.0,32.333827,[217  40] ; [38 34],[199.19452888  57.80547112] ; [55.80547112 16.19452888],1
p7,1,0.0,30.597198,[166  92] ; [20 52],[145.41818182 112.58181818] ; [40.58181818 31.41818182],1
p8,1,1e-06,24.325934,[138 117] ; [16 58],[119.36170213 135.63829787] ; [34.63829787 39.36170213],1
p4,1,1e-06,23.502694,[156 104] ; [20 52],[137.8313253 122.1686747] ; [38.1686747 33.8313253],1
p11,1,1e-06,23.424495,[220  41] ; [43 31],[204.90447761  56.09552239] ; [58.09552239 15.90447761],1
d5,1,4e-06,21.284755,[220  41] ; [44 30],[205.68358209  55.31641791] ; [58.31641791 15.68358209],1
v1,1,1.8e-05,18.413563,[143 109] ; [21 53],[126.77300613 125.22699387] ; [37.22699387 36.77300613],1
a1,1,6.5e-05,15.943322,[  6 255] ; [10 64],[ 12.46567164 248.53432836] ; [ 3.53432836 70.46567164],1
r1,1,0.000141,14.491235,[206  52] ; [43 31],[193.5  64.5] ; [55.5 18.5],1
p6,1,0.000312,12.994967,[ 84 173] ; [ 8 64],[ 71.8662614 185.1337386] ; [20.1337386 51.8662614],1
s6,1,0.001233,10.440511,[138 116] ; [24 49],[125.83486239 128.16513761] ; [36.16513761 36.83486239],0
b5,1,0.003477,8.53875,[169  92] ; [34 40],[158.15820896 102.84179104] ; [44.84179104 29.15820896],0
d3,1,0.003807,8.373428,[175  86] ; [36 38],[164.39104478  96.60895522] ; [46.60895522 27.39104478],0
r2,1,0.004377,8.120467,[241  16] ; [59 12],[235.06097561  21.93902439] ; [64.93902439  6.06097561],0
d4,1,0.005162,7.821628,[209  51] ; [48 26],[200.05988024  59.94011976] ; [56.94011976 17.05988024],0
n6,1,0.007948,7.045062,[224  37] ; [53 20],[216.45808383  44.54191617] ; [60.54191617 12.45808383],0
a7,1,0.009423,6.740834,[197  62] ; [45 29],[188.22222222  70.77777778] ; [53.77777778 20.22222222],0
