Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,32.471564,[15 33] ; [61 13],[29.90163934 18.09836066] ; [46.09836066 27.90163934],1
b5,1,0.002547,9.106772,[36 13] ; [34 40],[27.88617886 21.11382114] ; [42.11382114 31.88617886],0
n6,1,0.008023,7.028313,[24 25] ; [53 20],[30.92622951 18.07377049] ; [46.07377049 26.92622951],0
n1,1,0.010059,6.624441,[ 4 16] ; [15 11],[ 8.26086957 11.73913043] ; [10.73913043 15.26086957],0
p3,1,0.018512,5.547063,[ 7 41] ; [25 49],[12.59016393 35.40983607] ; [19.40983607 54.59016393],0
a8,1,0.023226,5.151515,[ 1 48] ; [10 60],[ 4.52941176 44.47058824] ; [ 6.47058824 63.52941176],0
p11,1,0.035781,4.407495,[19 30] ; [43 31],[24.69918699 24.30081301] ; [37.30081301 36.69918699],0
d1,1,0.042661,4.108765,[13 36] ; [33 41],[18.32520325 30.67479675] ; [27.67479675 46.32520325],0
s1,1,0.047208,3.93795,[ 7 42] ; [ 3 69],[ 4.04958678 44.95041322] ; [ 5.95041322 66.04958678],0
a4,1,0.051375,3.795995,[12 37] ; [30 42],[17.00826446 31.99173554] ; [24.99173554 47.00826446],0
u3,1,0.053926,3.714989,[15 10] ; [11 21],[11.40350877 13.59649123] ; [14.59649123 17.40350877],0
b2,1,0.064602,3.415115,[ 4 17] ; [21 29],[ 7.3943662 13.6056338] ; [17.6056338 32.3943662],0
b3,1,0.064602,3.415115,[ 4 17] ; [21 29],[ 7.3943662 13.6056338] ; [17.6056338 32.3943662],0
r3,1,0.115622,2.475642,[40  9] ; [51 23],[36.25203252 12.74796748] ; [54.74796748 19.25203252],0
s2,1,0.157761,1.995554,[15 34] ; [14 58],[11.74380165 37.25619835] ; [17.25619835 54.74380165],0
a1,1,0.191796,1.70377,[ 3 46] ; [10 64],[ 5.17886179 43.82113821] ; [ 7.82113821 66.17886179],0
s8,1,0.204007,1.613453,[ 3 45] ; [10 64],[ 5.1147541 42.8852459] ; [ 7.8852459 66.1147541],0
v4,1,0.205608,1.602088,[40  9] ; [53 21],[37.04878049 11.95121951] ; [55.95121951 18.04878049],0
n2,1,0.278237,1.175683,[11  9] ; [19  8],[12.76595745  7.23404255] ; [17.23404255  9.76595745],0
a7,1,0.283071,1.152286,[25 24] ; [45 29],[27.88617886 21.11382114] ; [42.11382114 31.88617886],0
a3,1,0.310414,1.028912,[24 25] ; [42 30],[26.72727273 22.27272727] ; [39.27272727 32.72727273],0
a6,1,0.319611,0.990536,[24 25] ; [43 31],[26.69105691 22.30894309] ; [40.30894309 33.69105691],0
a5,1,0.319611,0.990536,[24 25] ; [43 31],[26.69105691 22.30894309] ; [40.30894309 33.69105691],0
b4,1,0.319611,0.990536,[24 25] ; [43 31],[26.69105691 22.30894309] ; [40.30894309 33.69105691],0
p9,1,0.332497,0.93915,[21 27] ; [38 34],[23.6 24.4] ; [35.4 36.6],0
p8,1,0.344446,0.893814,[14 34] ; [16 58],[11.80327869 36.19672131] ; [18.19672131 55.80327869],0
b1,1,0.351159,0.869263,[19 30] ; [35 39],[21.51219512 27.48780488] ; [32.48780488 41.51219512],0
a2,1,0.360366,0.836616,[ 4 45] ; [10 64],[ 5.57723577 43.42276423] ; [ 8.42276423 65.57723577],0
p1,1,0.372374,0.795728,[ 3 46] ; [ 8 66],[ 4.38211382 44.61788618] ; [ 6.61788618 67.38211382],0
u1,1,0.375327,0.785951,[ 2 47] ; [ 6 68],[ 3.18699187 45.81300813] ; [ 4.81300813 69.18699187],0
d2,1,0.439818,0.596757,[17 32] ; [30 42],[19.03305785 29.96694215] ; [27.96694215 44.03305785],0
d4,1,0.446802,0.578753,[35 14] ; [48 26],[33.06504065 15.93495935] ; [49.93495935 24.06504065],0
s6,1,0.450823,0.568583,[19 29] ; [24 49],[17.05785124 30.94214876] ; [25.94214876 47.05785124],0
u2,1,0.484936,0.487742,[12 13] ; [12 19],[10.71428571 14.28571429] ; [13.28571429 17.71428571],0
s3,1,0.485159,0.487245,[16 33] ; [19 52],[14.29166667 34.70833333] ; [20.70833333 50.29166667],0
s4,1,0.506259,0.441791,[ 9 40] ; [10 62],[ 7.69421488 41.30578512] ; [11.30578512 60.69421488],0
d3,1,0.528307,0.397646,[21 28] ; [36 38],[22.70731707 26.29268293] ; [34.29268293 39.70731707],0
p6,1,0.573138,0.31746,[ 7 41] ; [ 8 64],[ 6. 42.] ; [ 9. 63.],0
v3,1,0.600417,0.274367,[13 35] ; [16 54],[11.79661017 36.20338983] ; [17.20338983 52.79661017],0
r2,1,0.625567,0.238121,[39 10] ; [59 12],[40.01666667  8.98333333] ; [57.98333333 13.01666667],0
d5,1,0.631994,0.229366,[27 22] ; [44 30],[28.28455285 20.71544715] ; [42.71544715 31.28455285],0
p10,1,0.70842,0.13986,[21 27] ; [34 38],[22. 26.] ; [33. 39.],0
n3,1,0.735785,0.113866,[11  9] ; [15 10],[11.55555556  8.44444444] ; [14.44444444 10.55555556],0
p12,1,0.738632,0.111333,[ 2 47] ; [ 4 70],[ 2.3902439 46.6097561] ; [ 3.6097561 70.3902439],0
p5,1,0.75725,0.09554,[ 2 46] ; [ 4 70],[ 2.36065574 45.63934426] ; [ 3.63934426 70.36065574],0
v1,1,0.7898,0.07106,[15 34] ; [21 53],[14.34146341 34.65853659] ; [21.65853659 52.34146341],0
v2,1,0.791366,0.06998,[19 29] ; [29 40],[19.69230769 28.30769231] ; [28.30769231 40.69230769],0
p7,1,0.868623,0.02736,[14 34] ; [20 52],[13.6 34.4] ; [20.4 51.6],0
r1,1,0.915511,0.011255,[28 21] ; [43 31],[28.28455285 20.71544715] ; [42.71544715 31.28455285],0
p4,1,0.933483,0.006966,[13 35] ; [20 52],[13.2 34.8] ; [19.8 52.2],0
s5,1,0.958692,0.002683,[ 8 39] ; [12 57],[ 8.10344828 38.89655172] ; [11.89655172 57.10344828],0
