Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,32.518771,[21 29] ; [95 16],[36.02484472 13.97515528] ; [79.97515528 31.02484472],1
s8,1,0.0,25.645343,[15 35] ; [81 31],[29.62962963 20.37037037] ; [66.37037037 45.62962963],1
s3,1,4e-06,21.074988,[22 28] ; [89 22],[34.47204969 15.52795031] ; [76.52795031 34.47204969],1
s6,1,0.000619,11.716994,[35 13] ; [104   8],[41.7  6.3] ; [97.3 14.7],1
n4,1,0.001937,9.608105,[34 16] ; [98 13],[40.99378882  9.00621118] ; [91.00621118 19.99378882],0
a3,1,0.007896,7.056926,[35 15] ; [97 14],[40.99378882  9.00621118] ; [91.00621118 19.99378882],0
p6,1,0.012796,6.197092,[21 28] ; [71 40],[28.175 20.825] ; [63.825 47.175],0
p4,1,0.015944,5.80903,[36 14] ; [98 14],[41.35802469  8.64197531] ; [92.64197531 19.35802469],0
u2,1,0.025347,5.0,[6 9] ; [12  3],[9. 6.] ; [9. 6.],0
a2,1,0.039053,4.258543,[ 9 41] ; [38 74],[14.50617284 35.49382716] ; [32.49382716 79.50617284],0
n5,1,0.040508,4.196459,[36 14] ; [95 16],[40.68322981  9.31677019] ; [90.31677019 20.68322981],0
r3,1,0.053032,3.742912,[46  4] ; [110   2],[48.14814815  1.85185185] ; [107.85185185   4.14814815],0
v3,1,0.066639,3.363921,[19 31] ; [59 51],[24.375 25.625] ; [53.625 56.375],0
p7,1,0.066684,3.362811,[36 13] ; [95 16],[40.11875  8.88125] ; [90.88125 20.11875],0
n1,1,0.088471,2.901982,[1 3] ; [16  7],[2.51851852 1.48148148] ; [14.48148148  8.51851852],0
b5,1,0.116152,2.468454,[21 29] ; [62 50],[25.61728395 24.38271605] ; [57.38271605 54.61728395],0
s4,1,0.129744,2.295565,[ 8 40] ; [31 80],[11.77358491 36.22641509] ; [27.22641509 83.77358491],0
p12,1,0.1396,2.182357,[ 3 46] ; [16 96],[ 5.7826087 43.2173913] ; [13.2173913 98.7826087],0
u1,1,0.139745,2.180769,[10 40] ; [35 77],[13.88888889 36.11111111] ; [31.11111111 80.88888889],0
n2,1,0.14549,2.118913,[3 1] ; [22  1],[3.7037037 0.2962963] ; [21.2962963  1.7037037],0
d2,1,0.195981,1.672071,[24 26] ; [66 46],[27.77777778 22.22222222] ; [62.22222222 49.77777778],0
r4,1,0.229465,1.444174,[46  4] ; [108   4],[47.5308642  2.4691358] ; [106.4691358   5.5308642],0
r1,1,0.250511,1.32045,[40  9] ; [99 13],[42.30434783  6.69565217] ; [96.69565217 15.30434783],0
n6,1,0.255509,1.292929,[43  7] ; [101   9],[45.  5.] ; [99. 11.],0
d3,1,0.295127,1.096085,[35 15] ; [87 25],[37.65432099 12.34567901] ; [84.34567901 27.65432099],0
r2,1,0.301116,1.069245,[47  3] ; [109   3],[48.14814815  1.85185185] ; [107.85185185   4.14814815],0
p2,1,0.330597,0.946557,[43  7] ; [102  10],[44.75308642  5.24691358] ; [100.24691358  11.75308642],0
p1,1,0.336957,0.921974,[ 6 44] ; [20 91],[ 8.07453416 41.92546584] ; [17.92546584 93.07453416],0
p8,1,0.349971,0.873563,[33 17] ; [82 30],[35.49382716 14.50617284] ; [79.50617284 32.49382716],0
d1,1,0.349971,0.873563,[33 17] ; [82 30],[35.49382716 14.50617284] ; [79.50617284 32.49382716],0
a5,1,0.354189,0.858392,[41  9] ; [98 14],[42.90123457  7.09876543] ; [96.09876543 15.90123457],0
a7,1,0.39121,0.735177,[30 20] ; [75 37],[32.40740741 17.59259259] ; [72.59259259 39.40740741],0
a6,1,0.392472,0.731269,[35 15] ; [70 41],[32.60869565 17.39130435] ; [72.39130435 38.60869565],0
v2,1,0.402225,0.701666,[29 20] ; [74 38],[31.34782609 17.65217391] ; [71.65217391 40.34782609],0
u3,1,0.408961,0.681818,[10  5] ; [12  3],[11.  4.] ; [11.  4.],0
d5,1,0.454701,0.558907,[42  8] ; [98 13],[43.47826087  6.52173913] ; [96.52173913 14.47826087],0
a4,1,0.527599,0.399015,[25 25] ; [62 50],[26.85185185 23.14814815] ; [60.14814815 51.85185185],0
v1,1,0.585866,0.296846,[30 18] ; [75 37],[31.5 16.5] ; [73.5 38.5],0
b4,1,0.614293,0.25397,[32 18] ; [67 45],[30.55555556 19.44444444] ; [68.44444444 43.55555556],0
p11,1,0.634926,0.22544,[43  7] ; [93 19],[41.97530864  8.02469136] ; [94.02469136 17.97530864],0
a1,1,0.647659,0.208864,[ 3 47] ; [  9 103],[ 3.7037037 46.2962963] ; [  8.2962963 103.7037037],0
v4,1,0.653272,0.2018,[48  2] ; [109   3],[48.45679012  1.54320988] ; [108.54320988   3.45679012],0
a8,1,0.680884,0.169133,[ 5 44] ; [13 91],[ 5.76470588 43.23529412] ; [12.23529412 91.76470588],0
p9,1,0.682552,0.167267,[46  4] ; [105   7],[46.60493827  3.39506173] ; [104.39506173   7.60493827],0
n3,1,0.701671,0.146739,[3 1] ; [15  8],[2.66666667 1.33333333] ; [15.33333333  7.66666667],0
b3,1,0.732001,0.117282,[13 15] ; [32 43],[12.23300971 15.76699029] ; [32.76699029 42.23300971],0
b2,1,0.732001,0.117282,[13 15] ; [32 43],[12.23300971 15.76699029] ; [32.76699029 42.23300971],0
p5,1,0.735709,0.113934,[13 37] ; [32 80],[13.88888889 36.11111111] ; [31.11111111 80.88888889],0
b1,1,0.827468,0.047502,[21 29] ; [45 67],[20.37037037 29.62962963] ; [45.62962963 66.37037037],0
d4,1,0.833474,0.044204,[46  4] ; [101  10],[45.65217391  4.34782609] ; [101.34782609   9.65217391],0
p10,1,0.845941,0.037752,[46  4] ; [102  10],[45.67901235  4.32098765] ; [102.32098765   9.67901235],0
s1,1,0.910648,0.012593,[ 2 48] ; [  4 106],[ 1.875 48.125] ; [  4.125 105.875],0
