Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,35.26979,[60 12] ; [60 87],[39.45205479 32.54794521] ; [80.54794521 66.45205479],1
p12,1,2e-05,18.15301,[12 63] ; [  2 146],[ 4.70852018 70.29147982] ; [  9.29147982 138.70852018],1
v1,1,0.002302,9.291559,[51 23] ; [69 77],[40.36363636 33.63636364] ; [79.63636364 66.36363636],0
r4,1,0.002895,8.872336,[73  2] ; [124  24],[66.25560538  8.74439462] ; [130.74439462  17.25560538],0
r1,1,0.011227,6.428959,[65 10] ; [105  42],[57.43243243 17.56756757] ; [112.56756757  34.43243243],0
a2,1,0.015575,5.850278,[20 55] ; [ 20 128],[13.4529148 61.5470852] ; [ 26.5470852 121.4529148],0
u1,1,0.03421,4.484192,[16 59] ; [ 16 132],[10.76233184 64.23766816] ; [ 21.23766816 126.76233184],0
n4,1,0.070641,3.268066,[62 13] ; [106  42],[56.50224215 18.49775785] ; [111.49775785  36.50224215],0
s4,1,0.071853,3.24018,[ 6 67] ; [ 25 120],[10.38073394 62.61926606] ; [ 20.61926606 124.38073394],0
p5,1,0.075316,3.163191,[12 63] ; [ 12 135],[ 8.10810811 66.89189189] ; [ 15.89189189 131.10810811],0
n5,1,0.078222,3.101462,[59 16] ; [99 48],[53.37837838 21.62162162] ; [104.62162162  42.37837838],0
d2,1,0.085695,2.953437,[39 35] ; [60 88],[33. 41.] ; [66. 82.],0
a3,1,0.087134,2.92654,[50 25] ; [81 67],[44.05829596 30.94170404] ; [86.94170404 61.05829596],0
s3,1,0.108885,2.570326,[34 39] ; [52 95],[28.53636364 44.46363636] ; [57.46363636 89.53636364],0
d1,1,0.129206,2.302017,[49 26] ; [81 67],[43.72197309 31.27802691] ; [86.27802691 61.72197309],0
r3,1,0.151274,2.059352,[73  2] ; [137  11],[70.62780269  4.37219731] ; [139.37219731   8.62780269],0
p3,1,0.151634,2.055737,[51 24] ; [86 62],[46.07623318 28.92376682] ; [90.92376682 57.07623318],0
p8,1,0.221496,1.494653,[51 24] ; [87 59],[46.83257919 28.16742081] ; [91.16742081 54.83257919],0
b3,1,0.22488,1.472956,[20 30] ; [25 59],[16.79104478 33.20895522] ; [28.20895522 55.79104478],0
b2,1,0.22488,1.472956,[20 30] ; [25 59],[16.79104478 33.20895522] ; [28.20895522 55.79104478],0
s6,1,0.257349,1.282964,[39 35] ; [88 57],[42.91324201 31.08675799] ; [84.08675799 60.91324201],0
s1,1,0.264485,1.245127,[ 1 74] ; [  6 140],[ 2.37556561 72.62443439] ; [  4.62443439 141.37556561],0
s2,1,0.281108,1.161726,[28 46] ; [ 45 102],[24.44343891 49.55656109] ; [48.55656109 98.44343891],0
b4,1,0.298444,1.081132,[48 27] ; [84 64],[44.39461883 30.60538117] ; [87.60538117 60.39461883],0
a5,1,0.309547,1.032608,[58 17] ; [105  43],[54.8206278 20.1793722] ; [108.1793722  39.8206278],0
r2,1,0.316264,1.004332,[69  5] ; [130  16],[66.93636364  7.06363636] ; [132.06363636  13.93636364],0
n6,1,0.353399,0.861215,[64 11] ; [118  29],[61.48648649 13.51351351] ; [120.51351351  26.48648649],0
v4,1,0.358963,0.841518,[71  4] ; [135  13],[69.28251121  5.71748879] ; [136.71748879  11.28251121],0
s5,1,0.39184,0.733223,[21 53] ; [ 33 110],[18.41474654 55.58525346] ; [ 35.58525346 107.41474654],0
b1,1,0.397015,0.717349,[28 47] ; [64 84],[30.94170404 44.05829596] ; [61.05829596 86.94170404],0
p7,1,0.400052,0.70817,[54 21] ; [97 49],[51.24434389 23.75565611] ; [99.75565611 46.24434389],0
p2,1,0.464425,0.535208,[66  9] ; [124  23],[64.18918919 10.81081081] ; [125.81081081  21.18918919],0
p9,1,0.478756,0.501695,[61 13] ; [116  32],[59. 15.] ; [118.  30.],0
a6,1,0.501885,0.450948,[53 22] ; [98 50],[50.78475336 24.21524664] ; [100.21524664  47.78475336],0
d5,1,0.512667,0.42862,[63 12] ; [119  29],[61.21076233 13.78923767] ; [120.78923767  27.21076233],0
p1,1,0.649229,0.206873,[ 8 67] ; [ 13 135],[ 7.06278027 67.93721973] ; [ 13.93721973 134.06278027],0
n2,1,0.649273,0.206818,[7 2] ; [21  9],[6.46153846 2.53846154] ; [21.53846154  8.46153846],0
d3,1,0.656231,0.198134,[50 25] ; [103  45],[51.4573991 23.5426009] ; [101.5426009  46.4573991],0
n3,1,0.703273,0.145089,[7 2] ; [25  5],[7.38461538 1.61538462] ; [24.61538462  5.38461538],0
p10,1,0.741474,0.108835,[60 15] ; [114  32],[59.04977376 15.95022624] ; [114.95022624  31.04977376],0
p6,1,0.785436,0.074116,[29 45] ; [60 86],[29.93636364 44.06363636] ; [59.06363636 86.93636364],0
a1,1,0.813574,0.05561,[ 3 72] ; [  5 143],[ 2.69058296 72.30941704] ; [  5.30941704 142.69058296],0
a8,1,0.815196,0.054629,[ 7 59] ; [ 13 123],[ 6.53465347 59.46534653] ; [ 13.46534653 122.53465347],0
d4,1,0.85295,0.034357,[59 16] ; [118  30],[59.52914798 15.47085202] ; [117.47085202  30.52914798],0
p11,1,0.867116,0.027997,[62 13] ; [121  27],[61.5470852 13.4529148] ; [121.4529148  26.5470852],0
u3,1,0.886943,0.020213,[14 10] ; [39 26],[14.29213483  9.70786517] ; [38.70786517 26.29213483],0
a7,1,0.911361,0.012393,[56 18] ; [113  35],[56.33333333 17.66666667] ; [112.66666667  35.33333333],0
b5,1,0.911858,0.012254,[43 32] ; [86 62],[43.38565022 31.61434978] ; [85.61434978 62.38565022],0
a4,1,0.944307,0.00488,[32 43] ; [62 85],[31.75675676 43.24324324] ; [62.24324324 84.75675676],0
n1,1,0.951653,0.003676,[3 6] ; [10 21],[2.925 6.075] ; [10.075 20.925],0
s8,1,0.95356,0.003391,[18 57] ; [ 35 113],[17.82511211 57.17488789] ; [ 35.17488789 112.82511211],0
u2,1,0.979118,0.000685,[12 13] ; [31 34],[11.94444444 13.05555556] ; [31.05555556 33.94444444],0
