Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,38.123704,[129 144] ; [83 17],[155.16353887 117.83646113] ; [56.83646113 43.16353887],1
p4,1,0.0,36.378417,[111 163] ; [77 25],[137. 137.] ; [51. 51.],1
p8,1,0.0,34.155292,[106 168] ; [74 28],[131.17021277 142.82978723] ; [48.82978723 53.17021277],1
p3,1,3.9e-05,16.924338,[ 95 181] ; [59 43],[112.44444444 163.55555556] ; [41.55555556 60.44444444],1
p1,1,0.004662,8.005949,[ 14 260] ; [14 88],[ 20.40425532 253.59574468] ; [ 7.59574468 94.40425532],0
r4,1,0.00471,7.987535,[233  44] ; [97  5],[241.18733509  35.81266491] ; [88.81266491 13.18733509],0
p2,1,0.005475,7.715412,[209  65] ; [91 11],[218.61702128  55.38297872] ; [81.38297872 20.61702128],0
s8,1,0.007208,7.220487,[ 43 234] ; [28 73],[ 52.02910053 224.97089947] ; [18.97089947 82.02910053],0
p9,1,0.007452,7.160612,[209  63] ; [91 11],[218.18181818  53.81818182] ; [81.81818182 20.18181818],0
n4,1,0.018687,5.530614,[191  85] ; [83 19],[200.06349206  75.93650794] ; [73.93650794 28.06349206],0
d1,1,0.038777,4.270618,[138 139] ; [63 39],[146.90501319 130.09498681] ; [54.09498681 47.90501319],0
p10,1,0.041551,4.153408,[205  68] ; [85 15],[212.25201072  60.74798928] ; [77.74798928 22.25201072],0
a4,1,0.042366,4.120523,[ 99 176] ; [48 53],[107.51329787 167.48670213] ; [39.48670213 61.51329787],0
p11,1,0.043321,4.082834,[216  61] ; [89 13],[222.91556728  54.08443272] ; [82.08443272 19.91556728],0
v1,1,0.043424,4.078805,[122 148] ; [57 43],[130.62162162 139.37837838] ; [48.37837838 51.62162162],0
s6,1,0.050409,3.827791,[132 141] ; [57 38],[140.20923913 132.79076087] ; [48.79076087 46.20923913],0
u1,1,0.080023,3.06444,[ 28 249] ; [17 85],[ 32.88918206 244.11081794] ; [12.11081794 89.88918206],0
p12,1,0.087112,2.926954,[ 12 264] ; [ 9 92],[ 15.37400531 260.62599469] ; [ 5.62599469 95.37400531],0
a5,1,0.088266,2.905712,[175 102] ; [74 28],[181.98680739  95.01319261] ; [67.01319261 34.98680739],0
p5,1,0.09666,2.759808,[ 16 259] ; [11 91],[ 19.69496021 255.30503979] ; [ 7.30503979 94.69496021],0
d5,1,0.097373,2.74806,[208  69] ; [84 17],[213.97883598  63.02116402] ; [78.02116402 22.97883598],0
r3,1,0.100887,2.691472,[254  21] ; [98  3],[257.44680851  17.55319149] ; [94.55319149  6.44680851],0
s2,1,0.10275,2.662334,[ 72 201] ; [35 65],[ 78.31367292 194.68632708] ; [28.68632708 71.31367292],0
a1,1,0.11144,2.533678,[  7 270] ; [ 6 96],[  9.50131926 267.49868074] ; [ 3.49868074 98.50131926],0
u4,1,0.116442,2.464532,[  1 276] ; [ 2 99],[  2.1984127 274.8015873] ; [  0.8015873 100.1984127],0
a7,1,0.13974,2.18082,[194  82] ; [78 22],[199.65957447  76.34042553] ; [72.34042553 27.65957447],0
d2,1,0.149178,2.080631,[109 165] ; [49 53],[115.13829787 158.86170213] ; [42.86170213 59.13829787],0
d4,1,0.193146,1.693458,[213  63] ; [85 17],[217.58730159  58.41269841] ; [80.41269841 21.58730159],0
a2,1,0.195617,1.674797,[ 44 233] ; [22 80],[ 48.23746702 228.76253298] ; [17.76253298 84.23746702],0
r2,1,0.198566,1.652889,[248  25] ; [94  5],[250.98387097  22.01612903] ; [91.01612903  7.98387097],0
n5,1,0.199164,1.648494,[194  81] ; [78 23],[198.93617021  76.06382979] ; [73.06382979 27.93617021],0
r1,1,0.200464,1.638993,[197  78] ; [79 22],[201.86170213  73.13829787] ; [74.13829787 26.86170213],0
s5,1,0.227301,1.457669,[ 60 207] ; [28 70],[ 64.37260274 202.62739726] ; [23.62739726 74.37260274],0
b3,1,0.23853,1.38926,[44 98] ; [23 35],[47.57 94.43] ; [19.43 38.57],0
b2,1,0.23853,1.38926,[44 98] ; [23 35],[47.57 94.43] ; [19.43 38.57],0
b1,1,0.247953,1.334798,[ 91 186] ; [40 62],[ 95.74406332 181.25593668] ; [35.25593668 66.74406332],0
d3,1,0.297827,1.083899,[176 101] ; [70 31],[180.26984127  96.73015873] ; [65.73015873 35.26984127],0
v4,1,0.343829,0.896101,[257  18] ; [97  4],[258.90957447  16.09042553] ; [95.09042553  5.90957447],0
u2,1,0.356596,0.849846,[54 61] ; [15 24],[51.52597403 63.47402597] ; [17.47402597 21.52597403],0
n1,1,0.382882,0.761427,[23 47] ; [ 4 14],[21.47727273 48.52272727] ; [ 5.52272727 12.47727273],0
s3,1,0.431034,0.620036,[ 95 175] ; [40 61],[ 98.24797844 171.75202156] ; [36.75202156 64.24797844],0
a3,1,0.489034,0.478651,[159 116] ; [63 39],[161.93633952 113.06366048] ; [60.06366048 41.93633952],0
b5,1,0.562256,0.335813,[172 105] ; [60 42],[169.56200528 107.43799472] ; [62.43799472 39.56200528],0
