Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,4.5e-05,16.635735,[141   5] ; [26  8],[135.45555556  10.54444444] ; [31.54444444  2.45555556],1
p9,1,0.000178,14.055353,[122  24] ; [19 16],[113.73480663  32.26519337] ; [27.26519337  7.73480663],1
p11,1,0.001362,10.256891,[118  29] ; [19 16],[110.65384615  36.34615385] ; [26.34615385  8.65384615],0
v4,1,0.002231,9.348877,[138   9] ; [27  8],[133.26923077  13.73076923] ; [31.73076923  3.26923077],0
p10,1,0.003114,8.739385,[118  28] ; [20 15],[111.31491713  34.68508287] ; [26.68508287  8.31491713],0
p8,1,0.003277,8.646693,[71 76] ; [ 7 27],[63.3480663 83.6519337] ; [14.6519337 19.3480663],0
r4,1,0.003491,8.531322,[135  12] ; [26  9],[130.03846154  16.96153846] ; [30.96153846  4.03846154],0
d5,1,0.003862,8.347595,[115  32] ; [19 16],[108.23076923  38.76923077] ; [25.76923077  9.23076923],0
r3,1,0.004567,8.043246,[143   4] ; [30  5],[139.73076923   7.26923077] ; [33.26923077  1.73076923],0
n6,1,0.011164,6.439062,[114  32] ; [20 15],[108.08839779  37.91160221] ; [25.91160221  9.08839779],0
s1,1,0.018283,5.568847,[  2 142] ; [ 3 31],[  4.04494382 139.95505618] ; [ 0.95505618 33.04494382],0
a6,1,0.018289,5.568261,[106  41] ; [18 17],[100.15384615  46.84615385] ; [23.84615385 11.15384615],0
a1,1,0.023921,5.100383,[  4 143] ; [ 4 31],[  6.46153846 140.53846154] ; [ 1.53846154 33.46153846],0
s6,1,0.032128,4.591656,[105  39] ; [19 16],[99.75418994 44.24581006] ; [24.24581006 10.75418994],0
d1,1,0.032246,4.585378,[80 67] ; [12 23],[74.30769231 72.69230769] ; [17.69230769 17.30769231],0
p7,1,0.034593,4.465164,[90 54] ; [14 19],[84.61016949 59.38983051] ; [19.38983051 13.61016949],0
v3,1,0.043285,4.084232,[51 92] ; [ 6 28],[46.05084746 96.94915254] ; [10.94915254 23.05084746],0
n1,1,0.047394,3.931353,[ 8 23] ; [6 4],[10.58536585 20.41463415] ; [3.41463415 6.58536585],0
a2,1,0.047477,3.92842,[ 29 118] ; [ 2 33],[ 25.03846154 121.96153846] ; [ 5.96153846 29.03846154],0
d3,1,0.055619,3.663433,[97 50] ; [17 18],[92.07692308 54.92307692] ; [21.92307692 13.07692308],0
p6,1,0.060125,3.533935,[ 46 100] ; [ 5 28],[ 41.59776536 104.40223464] ; [ 9.40223464 23.59776536],0
p4,1,0.061861,3.486778,[78 69] ; [12 22],[73.09392265 73.90607735] ; [16.90607735 17.09392265],0
n3,1,0.090624,2.86326,[28  5] ; [6 4],[26.09302326  6.90697674] ; [7.90697674 2.09302326],0
a7,1,0.093144,2.819172,[112  34] ; [22 13],[108.08839779  37.91160221] ; [25.91160221  9.08839779],0
n4,1,0.105677,2.617706,[101  46] ; [19 16],[96.92307692 50.07692308] ; [23.07692308 11.92307692],0
r1,1,0.118395,2.438424,[110  35] ; [22 13],[106.33333333  38.66666667] ; [25.66666667  9.33333333],0
s8,1,0.127674,2.320566,[ 44 103] ; [ 6 29],[ 40.38461538 106.61538462] ; [ 9.61538462 25.38461538],0
b4,1,0.148102,2.091693,[95 52] ; [18 17],[91.26923077 55.73076923] ; [21.73076923 13.26923077],0
b3,1,0.228775,1.448463,[27 49] ; [ 4 15],[24.8 51.2] ; [ 6.2 12.8],0
b2,1,0.228775,1.448463,[27 49] ; [ 4 15],[24.8 51.2] ; [ 6.2 12.8],0
u1,1,0.230125,1.440087,[ 19 128] ; [ 2 33],[ 16.96153846 130.03846154] ; [ 4.03846154 30.96153846],0
p1,1,0.275435,1.189478,[  6 140] ; [ 3 32],[  7.25966851 138.74033149] ; [ 1.74033149 33.25966851],0
a5,1,0.289778,1.120653,[94 53] ; [19 16],[91.26923077 55.73076923] ; [21.73076923 13.26923077],0
a8,1,0.300564,1.07169,[ 12 129] ; [ 5 30],[ 13.61931818 127.38068182] ; [ 3.38068182 31.61931818],0
d4,1,0.378454,0.775719,[119  28] ; [26  9],[117.11538462  29.88461538] ; [27.88461538  7.11538462],0
d2,1,0.447185,0.577778,[65 82] ; [13 22],[63. 84.] ; [15. 20.],0
u3,1,0.527737,0.398746,[34 27] ; [7 8],[32.90789474 28.09210526] ; [8.09210526 6.90789474],0
p5,1,0.545447,0.365537,[  8 139] ; [ 1 33],[  7.30939227 139.69060773] ; [ 1.69060773 32.30939227],0
s2,1,0.586595,0.295693,[85 62] ; [22 13],[86.42307692 60.57692308] ; [20.57692308 14.42307692],0
p12,1,0.618333,0.248218,[ 12 134] ; [ 2 33],[ 11.29281768 134.70718232] ; [ 2.70718232 32.29281768],0
s4,1,0.714775,0.133554,[ 25 119] ; [ 7 28],[ 25.74301676 118.25698324] ; [ 6.25698324 28.74301676],0
s5,1,0.725284,0.123486,[ 37 103] ; [10 24],[ 37.81609195 102.18390805] ; [ 9.18390805 24.81609195],0
v2,1,0.755607,0.096879,[63 71] ; [17 17],[63.80952381 70.19047619] ; [16.19047619 17.80952381],0
u2,1,0.816765,0.053689,[31 31] ; [7 8],[30.5974026 31.4025974] ; [7.4025974 7.5974026],0
b5,1,0.858386,0.031837,[90 57] ; [22 13],[90.46153846 56.53846154] ; [21.53846154 13.46153846],0
v1,1,0.88322,0.021576,[65 73] ; [16 19],[64.61271676 73.38728324] ; [16.38728324 18.61271676],0
n2,1,0.899628,0.015909,[25  7] ; [8 2],[25.14285714  6.85714286] ; [7.85714286 2.14285714],0
p3,1,0.915174,0.011345,[62 85] ; [14 20],[61.72375691 85.27624309] ; [14.27624309 19.72375691],0
b1,1,0.96411,0.002025,[54 93] ; [13 22],[54.11538462 92.88461538] ; [12.88461538 22.11538462],0
a3,1,0.966449,0.001769,[84 62] ; [20 15],[83.88950276 62.11049724] ; [20.11049724 14.88950276],0
n5,1,0.97316,0.001132,[99 48] ; [23 11],[99.08287293 47.91712707] ; [22.91712707 11.08287293],0
a4,1,0.996504,1.9e-05,[50 96] ; [12 23],[50.01104972 95.98895028] ; [11.98895028 23.01104972],0
