Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-06,22.656826,[16 16] ; [122  18],[25.6744186  6.3255814] ; [112.3255814  27.6744186],1
s2,1,5e-05,16.455068,[13 18] ; [111  31],[22.21965318  8.78034682] ; [101.78034682  40.21965318],1
n5,1,0.00258,9.083231,[22 10] ; [127  15],[27.40229885  4.59770115] ; [121.59770115  20.40229885],0
s3,1,0.003965,8.299776,[16 15] ; [108  32],[22.47953216  8.52046784] ; [101.52046784  38.47953216],0
s5,1,0.008788,6.865323,[ 8 21] ; [75 63],[14.41317365 14.58682635] ; [68.58682635 69.41317365],0
b4,1,0.014275,6.003786,[25  7] ; [78 65],[18.83428571 13.16571429] ; [84.16571429 58.83428571],0
n6,1,0.014339,5.995921,[26  6] ; [133   8],[29.41040462  2.58959538] ; [129.58959538  11.41040462],0
n4,1,0.026673,4.911839,[25  7] ; [131  12],[28.52571429  3.47428571] ; [127.47428571  15.52571429],0
a7,1,0.050614,3.820989,[25  6] ; [89 54],[20.31034483 10.68965517] ; [93.68965517 49.31034483],0
n3,1,0.059329,3.556034,[1 3] ; [21  8],[2.66666667 1.33333333] ; [19.33333333  9.66666667],0
p5,1,0.096464,2.763057,[ 3 29] ; [ 32 111],[ 6.4 25.6] ; [ 28.6 114.4],0
p1,1,0.100361,2.699803,[ 1 31] ; [ 19 123],[ 3.67816092 28.32183908] ; [ 16.32183908 125.67816092],0
v2,1,0.145042,2.123636,[29  3] ; [113  29],[26.11494253  5.88505747] ; [115.88505747  26.11494253],0
a3,1,0.161453,1.960563,[24  8] ; [121  21],[26.66666667  5.33333333] ; [118.33333333  23.66666667],0
p4,1,0.184017,1.764878,[18 14] ; [98 45],[21.21142857 10.78857143] ; [94.78857143 48.21142857],0
p6,1,0.201505,1.631436,[12 20] ; [70 70],[15.25581395 16.74418605] ; [66.74418605 73.25581395],0
b1,1,0.208371,1.582712,[10 22] ; [62 81],[13.16571429 18.83428571] ; [58.83428571 84.16571429],0
v1,1,0.26952,1.219186,[21 11] ; [106  35],[23.49132948  8.50867052] ; [103.50867052  37.49132948],0
u1,1,0.281127,1.161631,[ 5 27] ; [ 35 108],[ 7.31428571 24.68571429] ; [ 32.68571429 110.31428571],0
s1,1,0.296404,1.090303,[ 2 28] ; [  4 138],[ 1.04651163 28.95348837] ; [  4.95348837 137.04651163],0
d1,1,0.316893,1.001726,[25  7] ; [99 44],[22.67428571  9.32571429] ; [101.32571429  41.67428571],0
s4,1,0.334759,0.930399,[ 3 29] ; [ 23 120],[ 4.75428571 27.24571429] ; [ 21.24571429 121.75428571],0
p7,1,0.335052,0.929273,[21 10] ; [105  33],[23.11242604  7.88757396] ; [102.88757396  35.11242604],0
d4,1,0.348485,0.878966,[30  2] ; [125  17],[28.50574713  3.49425287] ; [126.49425287  15.50574713],0
u2,1,0.360789,0.835146,[4 4] ; [15  7],[5.06666667 2.93333333] ; [13.93333333  8.06666667],0
a8,1,0.360888,0.834799,[ 7 23] ; [ 21 108],[ 5.28301887 24.71698113] ; [ 22.71698113 106.28301887],0
p12,1,0.368042,0.810264,[ 6 26] ; [ 18 124],[ 4.4137931 27.5862069] ; [ 19.5862069 122.4137931],0
p10,1,0.41738,0.657682,[27  5] ; [127  15],[28.32183908  3.67816092] ; [125.67816092  16.32183908],0
a6,1,0.444298,0.585158,[23  9] ; [92 50],[21.14942529 10.85057471] ; [93.85057471 48.14942529],0
r1,1,0.477341,0.504933,[29  3] ; [122  20],[27.77011494  4.22988506] ; [123.22988506  18.77011494],0
p2,1,0.546273,0.364036,[29  3] ; [124  19],[27.97714286  4.02285714] ; [125.02285714  17.97714286],0
a4,1,0.568579,0.325066,[15 17] ; [75 68],[16.45714286 15.54285714] ; [73.54285714 69.45714286],0
r2,1,0.621292,0.244055,[30  2] ; [136   6],[30.52873563  1.47126437] ; [135.47126437   6.52873563],0
u4,1,0.664747,0.187809,[ 1 31] ; [  7 136],[ 1.46285714 30.53714286] ; [  6.53714286 136.46285714],0
d2,1,0.670487,0.181033,[19 13] ; [79 64],[17.92 14.08] ; [80.08 62.92],0
d5,1,0.677362,0.173111,[29  3] ; [125  17],[28.32183908  3.67816092] ; [125.67816092  16.32183908],0
p11,1,0.678336,0.172005,[28  4] ; [121  22],[27.24571429  4.75428571] ; [121.75428571  21.24571429],0
u3,1,0.770335,0.085227,[5 3] ; [15  7],[5.33333333 2.66666667] ; [14.66666667  7.33333333],0
a2,1,0.793157,0.068756,[ 8 24] ; [ 39 104],[ 8.59428571 23.40571429] ; [ 38.40571429 104.59428571],0
a5,1,0.801019,0.063519,[27  5] ; [118  25],[26.51428571  5.48571429] ; [118.48571429  24.51428571],0
