Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,88.551265,[228  62] ; [ 3 39],[201.77710843  88.22289157] ; [29.22289157 12.77710843],1
d4,1,0.0,64.0316,[268  22] ; [20 22],[251.56626506  38.43373494] ; [36.43373494  5.56626506],1
d3,1,2e-06,22.515753,[215  75] ; [16 26],[201.77710843  88.22289157] ; [29.22289157 12.77710843],1
a4,1,3e-06,22.152724,[161 129] ; [ 7 35],[146.74698795 143.25301205] ; [21.25301205 20.74698795],1
a3,1,2.6e-05,17.716836,[244  45] ; [24 18],[233.9939577  55.0060423] ; [34.0060423  7.9939577],1
d2,1,4.1e-05,16.825915,[186 104] ; [13 29],[173.8253012 116.1746988] ; [25.1746988 16.8253012],1
a5,1,7.6e-05,15.66235,[246  44] ; [25 17],[236.71686747  53.28313253] ; [34.28313253  7.71686747],1
p1,1,0.000367,12.691146,[ 20 269] ; [10 32],[ 26.19335347 262.80664653] ; [ 3.80664653 38.19335347],1
a2,1,0.001271,10.384747,[ 90 200] ; [ 3 39],[ 81.23493976 208.76506024] ; [11.76506024 30.23493976],0
u1,1,0.001523,10.050761,[ 79 211] ; [ 2 40],[ 70.75301205 219.24698795] ; [10.24698795 31.75301205],0
a7,1,0.006451,7.419804,[205  84] ; [21 21],[197.32326284  91.67673716] ; [28.67673716 13.32326284],0
p2,1,0.026161,4.945355,[251  38] ; [31 11],[246.21752266  42.78247734] ; [35.78247734  6.21752266],0
r1,1,0.039735,4.229149,[253  35] ; [32 10],[248.72727273  39.27272727] ; [36.27272727  5.72727273],0
s6,1,0.05082,3.814186,[244  41] ; [31 11],[239.67889908  45.32110092] ; [35.32110092  6.67889908],0
r2,1,0.06505,3.403705,[275  10] ; [37  4],[272.7607362  12.2392638] ; [39.2392638  1.7607362],0
s2,1,0.087338,2.922765,[207  79] ; [25 17],[202.29268293  83.70731707] ; [29.70731707 12.29268293],0
p12,1,0.166505,1.914129,[ 33 254] ; [ 8 34],[ 35.76595745 251.23404255] ; [ 5.23404255 36.76595745],0
v3,1,0.172216,1.86355,[147 131] ; [17 24],[142.92163009 135.07836991] ; [21.07836991 19.92163009],0
r3,1,0.189917,1.718264,[281   9] ; [39  3],[279.51807229  10.48192771] ; [40.48192771  1.51807229],0
a6,1,0.256128,1.289567,[191  98] ; [24 18],[187.71903323 101.28096677] ; [27.28096677 14.71903323],0
p4,1,0.274192,1.195656,[203  86] ; [26 16],[199.94259819  89.05740181] ; [29.05740181 12.94259819],0
b3,1,0.282571,1.154685,[ 86 121] ; [17 16],[ 88.8375 118.1625] ; [14.1625 18.8375],0
b2,1,0.282571,1.154685,[ 86 121] ; [17 16],[ 88.8375 118.1625] ; [14.1625 18.8375],0
a1,1,0.288355,1.127285,[ 19 271] ; [ 1 41],[ 17.46987952 272.53012048] ; [ 2.53012048 39.46987952],0
b4,1,0.310976,1.026526,[169 121] ; [21 21],[165.96385542 124.03614458] ; [24.03614458 17.96385542],0
p3,1,0.326094,0.964349,[175 115] ; [22 20],[172.07831325 117.92168675] ; [24.92168675 17.07831325],0
p7,1,0.329272,0.951757,[202  80] ; [27 15],[199.31481481  82.68518519] ; [29.68518519 12.31481481],0
v2,1,0.359965,0.838015,[181 102] ; [22 17],[178.41304348 104.58695652] ; [24.58695652 14.41304348],0
r4,1,0.362216,0.830196,[273  17] ; [38  4],[271.65662651  18.34337349] ; [39.34337349  2.65662651],0
b1,1,0.394423,0.725262,[118 172] ; [20 22],[120.54216867 169.45783133] ; [17.45783133 24.54216867],0
s1,1,0.396422,0.719154,[ 12 273] ; [ 3 39],[ 13.0733945 271.9266055] ; [ 1.9266055 40.0733945],0
s5,1,0.41625,0.660879,[121 152] ; [15 25],[118.61980831 154.38019169] ; [17.38019169 22.61980831],0
p8,1,0.446873,0.578571,[165 119] ; [27 15],[167.26380368 116.73619632] ; [24.73619632 17.26380368],0
s3,1,0.471309,0.518906,[211  73] ; [29 13],[209.0797546  74.9202454] ; [30.9202454 11.0797546],0
n2,1,0.488393,0.480065,[43 15] ; [5 3],[42.18181818 15.81818182] ; [5.81818182 2.18181818],0
a8,1,0.516573,0.420731,[ 49 211] ; [ 6 35],[ 47.50830565 212.49169435] ; [ 7.49169435 33.50830565],0
u3,1,0.517222,0.419429,[32 14] ; [11  7],[30.90625 15.09375] ; [12.09375  5.90625],0
n6,1,0.543235,0.369577,[269  20] ; [38  4],[268.04531722  20.95468278] ; [38.95468278  3.04531722],0
p10,1,0.552604,0.352673,[255  32] ; [36  6],[253.85106383  33.14893617] ; [37.14893617  4.85106383],0
u4,1,0.583248,0.301012,[ 12 278] ; [ 1 41],[ 11.35542169 278.64457831] ; [ 1.64457831 40.35542169],0
n5,1,0.595936,0.281169,[255  33] ; [36  6],[253.96363636  34.03636364] ; [37.03636364  4.96363636],0
u2,1,0.634359,0.226196,[31 15] ; [11  7],[30.1875 15.8125] ; [11.8125  6.1875],0
v4,1,0.64993,0.205988,[279  10] ; [39  2],[278.49090909  10.50909091] ; [39.50909091  1.49090909],0
v1,1,0.692278,0.156631,[179 100] ; [25 16],[177.8625 101.1375] ; [26.1375 14.8625],0
p5,1,0.699841,0.148637,[ 49 238] ; [ 8 33],[ 49.875 237.125] ; [ 7.125 33.875],0
s4,1,0.744632,0.106097,[ 49 239] ; [ 8 34],[ 49.74545455 238.25454545] ; [ 7.25454545 34.74545455],0
b5,1,0.789497,0.071269,[172 118] ; [24 18],[171.20481928 118.79518072] ; [24.79518072 17.20481928],0
p6,1,0.82241,0.050376,[141 144] ; [20 22],[140.32110092 144.67889908] ; [20.67889908 21.32110092],0
p9,1,0.856898,0.032517,[263  25] ; [38  4],[262.69090909  25.30909091] ; [38.30909091  3.69090909],0
n1,1,0.889014,0.019475,[27 30] ; [4 4],[27.18461538 29.81538462] ; [3.81538462 4.18461538],0
s7,1,0.966397,0.001775,[217  60] ; [32  9],[216.89622642  60.10377358] ; [32.10377358  8.89622642],0
n3,1,0.967612,0.001649,[41 17] ; [5 2],[41.04615385 16.95384615] ; [4.95384615 2.04615385],0
p11,1,0.985059,0.000351,[242  48] ; [35  7],[241.95783133  48.04216867] ; [35.04216867  6.95783133],0
