Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,29.848261,[169  54] ; [12 26],[154.64750958  68.35249042] ; [26.35249042 11.64750958],1
p8,1,0.0,25.485407,[152  74] ; [10 30],[137.63909774  88.36090226] ; [24.36090226 15.63909774],1
p4,1,1.1e-05,19.347131,[176  54] ; [17 23],[164.40740741  65.59259259] ; [28.59259259 11.40740741],1
p3,1,0.00498,7.886758,[152  79] ; [17 23],[144.05535055  86.94464945] ; [24.94464945 15.05535055],0
p11,1,0.050049,3.83981,[192  39] ; [28 12],[187.52767528  43.47232472] ; [32.47232472  7.52767528],0
b1,1,0.050479,3.82546,[ 89 142] ; [22 18],[ 94.61623616 136.38376384] ; [16.38376384 23.61623616],0
p6,1,0.056904,3.625384,[117 111] ; [14 26],[111.44776119 116.55223881] ; [19.55223881 20.44776119],0
p10,1,0.060379,3.526936,[205  23] ; [31  8],[201.52808989  26.47191011] ; [34.47191011  4.52808989],0
a4,1,0.084787,2.970672,[128 103] ; [28 12],[132.97416974  98.02583026] ; [23.02583026 16.97416974],0
v1,1,0.090215,2.870535,[143  79] ; [19 19],[138.32307692  83.67692308] ; [23.67692308 14.32307692],0
n4,1,0.096849,2.756685,[201  29] ; [31  9],[197.62962963  32.37037037] ; [34.37037037  5.62962963],0
s2,1,0.113298,2.507602,[175  53] ; [26 14],[171.  57.] ; [30. 10.],0
u4,1,0.134638,2.238199,[ 10 221] ; [ 4 36],[ 11.93357934 219.06642066] ; [ 2.06642066 37.93357934],0
n1,1,0.144403,2.130399,[18 25] ; [9 5],[20.36842105 22.63157895] ; [6.63157895 7.36842105],0
a3,1,0.146672,2.106527,[194  36] ; [30 10],[190.81481481  39.18518519] ; [33.18518519  6.81481481],0
b2,1,0.193736,1.688974,[71 86] ; [12 24],[67.51813472 89.48186528] ; [15.48186528 20.51813472],0
b3,1,0.193736,1.688974,[71 86] ; [12 24],[67.51813472 89.48186528] ; [15.48186528 20.51813472],0
