Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,5.4e-05,16.30619,[128  27] ; [4 8],[122.51497006  32.48502994] ; [9.48502994 2.51497006],1
s2,1,6.3e-05,16.007396,[134  21] ; [5 7],[129.01197605  25.98802395] ; [9.98802395 2.01197605],1
s7,1,0.006819,7.319942,[130  19] ; [7 5],[126.78881988  22.21118012] ; [10.21118012  1.78881988],0
b3,1,0.008076,7.01653,[42 56] ; [8 1],[45.79439252 52.20560748] ; [4.20560748 4.79439252],0
b2,1,0.008076,7.01653,[42 56] ; [8 1],[45.79439252 52.20560748] ; [4.20560748 4.79439252],0
p8,1,0.099225,2.717954,[95 59] ; [11  2],[97.74850299 56.25149701] ; [8.25149701 4.74850299],0
p9,1,0.176931,1.823216,[147   9] ; [11  2],[145.84615385  10.15384615] ; [12.15384615  0.84615385],0
b5,1,0.179352,1.802987,[90 66] ; [5 8],[87.69230769 68.30769231] ; [7.30769231 5.69230769],0
d4,1,0.195329,1.676958,[138  17] ; [10  3],[136.54761905  18.45238095] ; [11.45238095  1.54761905],0
p3,1,0.2037,1.615647,[92 64] ; [10  3],[94.15384615 61.84615385] ; [7.84615385 5.15384615],0
n4,1,0.273882,1.197202,[123  31] ; [12  1],[124.49101796  29.50898204] ; [10.50898204  2.49101796],0
v2,1,0.299464,1.07658,[95 57] ; [10  3],[96.72727273 55.27272727] ; [8.27272727 4.72727273],0
u1,1,0.315009,1.009558,[ 40 116] ; [5 8],[ 41.53846154 114.46153846] ; [3.46153846 9.53846154],0
s4,1,0.32788,0.957255,[ 43 111] ; [ 2 11],[ 41.49700599 112.50299401] ; [3.50299401 9.49700599],0
s1,1,0.366717,0.814758,[  5 148] ; [ 1 11],[  5.56363636 147.43636364] ; [ 0.43636364 11.56363636],0
b4,1,0.417111,0.658442,[90 66] ; [9 4],[91.38461538 64.61538462] ; [7.61538462 5.38461538],0
p2,1,0.45292,0.563333,[132  24] ; [12  1],[132.92307692  23.07692308] ; [11.07692308  1.92307692],0
p11,1,0.493243,0.469444,[119  37] ; [11  2],[120.  36.] ; [10.  3.],0
u3,1,0.512054,0.429868,[18  7] ; [1 1],[17.59259259  7.40740741] ; [1.40740741 0.59259259],0
p12,1,0.517238,0.419396,[ 22 134] ; [ 1 12],[ 21.23076923 134.76923077] ; [ 1.76923077 11.23076923],0
a5,1,0.517238,0.419396,[134  22] ; [12  1],[134.76923077  21.23076923] ; [11.23076923  1.76923077],0
a6,1,0.522522,0.408912,[106  49] ; [10  3],[107.02380952  47.97619048] ; [8.97619048 4.02380952],0
a2,1,0.531667,0.391204,[ 47 109] ; [5 8],[ 48. 108.] ; [4. 9.],0
p6,1,0.534933,0.385012,[81 73] ; [8 5],[82.07185629 71.92814371] ; [6.92814371 6.07185629],0
p1,1,0.547714,0.361429,[ 21 134] ; [ 1 12],[ 20.29761905 134.70238095] ; [ 1.70238095 11.29761905],0
n6,1,0.577053,0.311024,[138  16] ; [11  2],[137.4011976  16.5988024] ; [11.5988024  1.4011976],0
p7,1,0.584855,0.298451,[118  33] ; [11  2],[118.77439024  32.22560976] ; [10.22560976  2.77439024],0
v1,1,0.638325,0.22094,[109  45] ; [10  3],[109.73652695  44.26347305] ; [9.26347305 3.73652695],0
d3,1,0.646338,0.210548,[117  39] ; [9 4],[116.30769231  39.69230769] ; [9.69230769 3.30769231],0
v3,1,0.654622,0.200123,[79 74] ; [7 5],[79.74545455 73.25454545] ; [6.25454545 5.74545455],0
r1,1,0.686689,0.162693,[137  18] ; [11  2],[136.54761905  18.45238095] ; [11.45238095  1.54761905],0
d5,1,0.686689,0.162693,[137  18] ; [11  2],[136.54761905  18.45238095] ; [11.45238095  1.54761905],0
a4,1,0.689246,0.159903,[81 75] ; [6 7],[80.30769231 75.69230769] ; [6.69230769 6.30769231],0
u2,1,0.693196,0.155647,[16  9] ; [1 1],[15.74074074  9.25925926] ; [1.25925926 0.74074074],0
d2,1,0.822646,0.05024,[89 67] ; [7 6],[88.61538462 67.38461538] ; [7.38461538 5.61538462],0
b1,1,0.857911,0.032053,[68 88] ; [6 7],[68.30769231 87.69230769] ; [5.69230769 7.30769231],0
n5,1,0.897254,0.016675,[129  26] ; [11  2],[129.16666667  25.83333333] ; [10.83333333  2.16666667],0
p5,1,0.914473,0.011534,[ 34 122] ; [ 3 10],[ 34.15384615 121.84615385] ; [ 2.84615385 10.15384615],0
d1,1,0.922486,0.009468,[110  46] ; [9 4],[109.84615385  46.15384615] ; [9.15384615 3.84615385],0
p4,1,0.934089,0.00684,[109  46] ; [9 4],[108.86904762  46.13095238] ; [9.13095238 3.86904762],0
a7,1,0.961417,0.00234,[109  47] ; [9 4],[108.92307692  47.07692308] ; [9.07692308 3.92307692],0
a3,1,0.992417,9e-05,[131  24] ; [11  2],[131.01190476  23.98809524] ; [10.98809524  2.01190476],0
