Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,85.147273,[273  19] ; [41 39],[246.47311828  45.52688172] ; [67.52688172 12.47311828],1
r2,1,0.0,37.170073,[280   9] ; [58 18],[267.62191781  21.37808219] ; [70.37808219  5.62191781],1
r3,1,0.0,33.247015,[278  13] ; [59 20],[265.04594595  25.95405405] ; [71.95405405  7.04594595],1
p2,1,0.0,29.527484,[245  44] ; [44 34],[227.57765668  61.42234332] ; [61.42234332 16.57765668],1
v4,1,1e-06,24.209984,[273  16] ; [61 19],[261.58807588  27.41192412] ; [72.41192412  7.58807588],1
v2,1,0.001356,10.264481,[164 114] ; [31 49],[151.42458101 126.57541899] ; [43.57541899 36.42458101],0
p11,1,0.003563,8.493937,[226  66] ; [49 31],[215.86021505  76.13978495] ; [59.13978495 20.86021505],0
v3,1,0.005508,7.704576,[103 176] ; [16 63],[ 92.74022346 186.25977654] ; [26.25977654 52.74022346],0
a7,1,0.008719,6.879452,[228  64] ; [51 29],[219.  73.] ; [60. 20.],0
a2,1,0.012004,6.310278,[ 93 199] ; [14 66],[ 83.98924731 208.01075269] ; [23.01075269 56.98924731],0
p7,1,0.012947,6.176294,[168 118] ; [34 45],[158.27945205 127.72054795] ; [43.72054795 35.27945205],0
u1,1,0.020391,5.378086,[ 58 234] ; [ 7 73],[ 51.02150538 240.97849462] ; [13.97849462 66.02150538],0
a1,1,0.022389,5.215313,[ 13 279] ; [ 9 71],[ 17.2688172 274.7311828] ; [ 4.7311828 75.2688172],0
d3,1,0.022878,5.177745,[216  75] ; [49 31],[207.85714286  83.14285714] ; [57.14285714 22.85714286],0
p10,1,0.024681,5.046129,[224  64] ; [51 27],[216.39344262  71.60655738] ; [58.60655738 19.39344262],0
p6,1,0.043172,4.088652,[ 82 205] ; [13 63],[ 75.11019284 211.88980716] ; [19.88980716 56.11019284],0
v1,1,0.054109,3.709322,[144 144] ; [29 48],[136.50410959 151.49589041] ; [36.49589041 40.50410959],0
n4,1,0.059072,3.563237,[227  65] ; [54 26],[220.56989247  71.43010753] ; [60.43010753 19.56989247],0
d1,1,0.073189,3.210018,[182 110] ; [41 39],[175.04301075 116.95698925] ; [47.95698925 32.04301075],0
s7,1,0.077828,3.109694,[ 85 192] ; [15 59],[ 78.91737892 198.08262108] ; [21.08262108 52.91737892],0
p4,1,0.0907,2.861905,[165 125] ; [36 42],[158.39673913 131.60326087] ; [42.60326087 35.39673913],0
s6,1,0.106674,2.602818,[156 130] ; [35 44],[149.66027397 136.33972603] ; [41.33972603 37.66027397],0
s3,1,0.113694,2.502113,[119 168] ; [25 54],[112.91803279 174.08196721] ; [31.08196721 47.91803279],0
b1,1,0.139645,2.181867,[112 180] ; [38 42],[117.74193548 174.25806452] ; [32.25806452 47.74193548],0
p8,1,0.150381,2.068385,[142 145] ; [31 46],[136.40384615 150.59615385] ; [36.59615385 40.40384615],0
