Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,57.914577,[116  11] ; [15 28],[97.86470588 29.13529412] ; [33.13529412  9.86470588],1
n6,1,1e-06,23.220629,[115  12] ; [25 18],[104.58823529  22.41176471] ; [35.41176471  7.58823529],1
p10,1,3.6e-05,17.095651,[106  18] ; [23 19],[96.36144578 27.63855422] ; [32.63855422  9.36144578],1
p9,1,0.000143,14.467648,[105  19] ; [23 18],[96.19393939 27.80606061] ; [31.80606061  9.19393939],1
p11,1,0.000352,12.76898,[103  24] ; [23 20],[94.12941176 32.87058824] ; [31.87058824 11.12941176],1
p7,1,0.003814,8.370516,[83 39] ; [18 24],[75.13414634 46.86585366] ; [25.86585366 16.13414634],0
s4,1,0.004137,8.222664,[  9 116] ; [10 33],[ 14.13690476 110.86309524] ; [ 4.86309524 38.13690476],0
v4,1,0.013141,6.149967,[124   3] ; [38  5],[121.02352941   5.97647059] ; [40.97647059  2.02352941],0
p3,1,0.015983,5.804703,[68 56] ; [14 28],[61.25301205 62.74698795] ; [20.74698795 21.25301205],0
p2,1,0.022106,5.237434,[101  23] ; [27 15],[95.61445783 28.38554217] ; [32.38554217  9.61445783],0
n2,1,0.022564,5.201776,[19  4] ; [6 7],[15.97222222  7.02777778] ; [9.02777778 3.97222222],0
d2,1,0.027574,4.85452,[65 60] ; [14 29],[58.7797619 66.2202381] ; [20.2202381 22.7797619],0
p4,1,0.029237,4.753623,[75 48] ; [17 24],[69. 54.] ; [23. 18.],0
a4,1,0.02999,4.709893,[59 67] ; [12 31],[52.93491124 73.06508876] ; [18.06508876 24.93491124],0
u1,1,0.05215,3.770937,[ 25 102] ; [ 3 40],[ 20.91764706 106.08235294] ; [ 7.08235294 35.91764706],0
p6,1,0.059937,3.539138,[41 83] ; [ 7 33],[36.29268293 87.70731707] ; [11.70731707 28.29268293],0
a2,1,0.071457,3.249233,[35 92] ; [ 6 37],[30.62941176 96.37058824] ; [10.37058824 32.62941176],0
v1,1,0.097901,2.739407,[79 46] ; [21 22],[74.4047619 50.5952381] ; [25.5952381 17.4047619],0
r1,1,0.119501,2.423844,[103  24] ; [30 13],[99.35882353 27.64117647] ; [33.64117647  9.35882353],0
v2,1,0.124606,2.358449,[94 29] ; [27 15],[90.2 32.8] ; [30.8 11.2],0
d1,1,0.15524,2.019992,[72 55] ; [19 24],[67.98235294 59.01764706] ; [23.01764706 19.98235294],0
p8,1,0.191602,1.705253,[66 58] ; [17 24],[62.37575758 61.62424242] ; [20.62424242 20.37575758],0
r4,1,0.200507,1.638676,[113  14] ; [35  8],[110.56470588  16.43529412] ; [37.43529412  5.56470588],0
d5,1,0.330968,0.945105,[98 29] ; [30 13],[95.62352941 31.37647059] ; [32.37647059 10.62352941],0
p1,1,0.365728,0.818127,[ 15 111] ; [ 3 40],[ 13.42011834 112.57988166] ; [ 4.57988166 38.42011834],0
a5,1,0.378043,0.777056,[91 35] ; [28 15],[88.72189349 37.27810651] ; [30.27810651 12.72189349],0
n1,1,0.378369,0.775993,[ 6 15] ; [ 2 11],[ 4.94117647 16.05882353] ; [3.05882353 9.94117647],0
s6,1,0.384231,0.75712,[71 52] ; [21 21],[68.58181818 54.41818182] ; [23.41818182 18.58181818],0
u2,1,0.401758,0.703057,[20 19] ; [9 5],[21.33962264 17.66037736] ; [7.66037736 6.33962264],0
b4,1,0.421651,0.645708,[80 47] ; [30 13],[82.17647059 44.82352941] ; [27.82352941 15.17647059],0
s7,1,0.447302,0.57748,[37 81] ; [10 30],[35.10126582 82.89873418] ; [11.89873418 28.10126582],0
p12,1,0.451874,0.565948,[ 14 111] ; [ 3 39],[ 12.7245509 112.2754491] ; [ 4.2754491 37.7245509],0
b1,1,0.475887,0.508273,[46 81] ; [13 30],[44.07647059 82.92352941] ; [14.92352941 28.07647059],0
d3,1,0.509954,0.434161,[84 42] ; [31 12],[85.73964497 40.26035503] ; [29.26035503 13.73964497],0
s5,1,0.522049,0.409844,[32 92] ; [ 9 34],[30.44311377 93.55688623] ; [10.55688623 32.44311377],0
p5,1,0.571556,0.320086,[ 16 109] ; [ 4 38],[ 14.97005988 110.02994012] ; [ 5.02994012 36.97005988],0
a7,1,0.607309,0.264112,[94 31] ; [34  9],[95.23809524 29.76190476] ; [32.76190476 10.23809524],0
r3,1,0.646338,0.210548,[117   9] ; [39  4],[116.30769231   9.69230769] ; [39.69230769  3.30769231],0
s1,1,0.658265,0.195638,[  4 121] ; [ 2 41],[  4.46428571 120.53571429] ; [ 1.53571429 41.46428571],0
u3,1,0.690901,0.158111,[21 19] ; [6 7],[20.37735849 19.62264151] ; [6.62264151 6.37735849],0
b5,1,0.732391,0.116927,[76 51] ; [27 16],[76.94705882 50.05294118] ; [26.05294118 16.94705882],0
s3,1,0.767336,0.087534,[53 70] ; [17 25],[52.18181818 70.81818182] ; [17.81818182 24.18181818],0
a3,1,0.791738,0.069725,[87 38] ; [29 14],[86.30952381 38.69047619] ; [29.69047619 13.30952381],0
s2,1,0.802499,0.062557,[47 80] ; [15 28],[46.31764706 80.68235294] ; [15.68235294 27.31764706],0
d4,1,0.841002,0.040245,[97 28] ; [34  9],[97.4702381 27.5297619] ; [33.5297619  9.4702381],0
a6,1,0.844638,0.038402,[87 39] ; [29 14],[86.4852071 39.5147929] ; [29.5147929 13.4852071],0
r2,1,0.853763,0.033974,[120   5] ; [41  2],[119.79166667   5.20833333] ; [41.20833333  1.79166667],0
n3,1,0.896441,0.016941,[18  6] ; [10  3],[18.16216216  5.83783784] ; [9.83783784 3.16216216],0
b2,1,0.940863,0.005503,[25 52] ; [ 6 13],[24.86458333 52.13541667] ; [ 6.13541667 12.86458333],0
b3,1,0.940863,0.005503,[25 52] ; [ 6 13],[24.86458333 52.13541667] ; [ 6.13541667 12.86458333],0
