Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,45.376639,[227  80] ; [47 73],[196.99765808 110.00234192] ; [77.00234192 42.99765808],1
a6,1,0.0,42.495245,[239  69] ; [54 66],[210.85046729  97.14953271] ; [82.14953271 37.85046729],1
r4,1,0.0,31.615934,[261  48] ; [71 49],[239.13286713  69.86713287] ; [92.86713287 27.13286713],1
r3,1,0.0,29.100295,[286  21] ; [89 31],[269.61358314  37.38641686] ; [105.38641686  14.61358314],1
d5,1,0.0,27.034557,[246  62] ; [66 54],[224.52336449  83.47663551] ; [87.47663551 32.52336449],1
v4,1,3e-06,21.533258,[286  23] ; [90 28],[272.09367681  36.90632319] ; [103.90632319  14.09367681],1
d4,1,6e-06,20.499086,[247  61] ; [70 49],[228.6557377  79.3442623] ; [88.3442623 30.6557377],1
r1,1,1e-05,19.503879,[234  74] ; [65 55],[215.1682243  92.8317757] ; [83.8317757 36.1682243],1
p10,1,5e-05,16.463655,[220  85] ; [60 57],[202.36966825 102.63033175] ; [77.63033175 39.36966825],1
a2,1,5.9e-05,16.136384,[ 69 240] ; [  7 113],[ 54.74125874 254.25874126] ; [21.25874126 98.74125874],1
d1,1,0.000205,13.783452,[162 147] ; [39 81],[144.77622378 164.22377622] ; [56.22377622 63.77622378],1
p4,1,0.000372,12.666552,[155 153] ; [36 80],[138.74528302 169.25471698] ; [52.25471698 63.74528302],1
r2,1,0.000617,11.72452,[280  26] ; [93 24],[269.82978723  36.17021277] ; [103.17021277  13.82978723],1
p8,1,0.000818,11.198997,[142 162] ; [34 84],[126.78672986 177.21327014] ; [49.21327014 68.78672986],1
p3,1,0.001356,10.26445,[121 186] ; [27 91],[106.90823529 200.09176471] ; [41.09176471 76.90823529],0
s6,1,0.002708,8.994709,[136 170] ; [34 85],[122.4 183.6] ; [47.6 71.4],0
v2,1,0.0039,8.329772,[155 141] ; [42 73],[141.8783455 154.1216545] ; [55.1216545 59.8783455],0
a5,1,0.004299,8.152868,[208 101] ; [63 57],[195.1958042 113.8041958] ; [75.8041958 44.1958042],0
p2,1,0.004672,8.002179,[239  69] ; [75 42],[227.55764706  80.44235294] ; [86.44235294 30.55764706],0
p6,1,0.005387,7.744647,[ 79 226] ; [15 99],[ 68.424821 236.575179] ; [25.575179 88.424821],0
p9,1,0.005885,7.585069,[226  78] ; [71 46],[214.4608076  89.5391924] ; [82.5391924 34.4608076],0
u3,1,0.007544,7.138703,[58 51] ; [16 36],[50.09937888 58.90062112] ; [23.90062112 28.09937888],0
u1,1,0.013847,6.057601,[ 41 268] ; [  6 114],[ 33.85314685 275.14685315] ; [ 13.14685315 106.85314685],0
p7,1,0.020145,5.399328,[169 134] ; [50 66],[158.3699284 144.6300716] ; [60.6300716 55.3699284],0
s2,1,0.02388,5.103305,[ 84 224] ; [20 99],[ 75.01639344 232.98360656] ; [28.98360656 90.01639344],0
p5,1,0.025132,5.014754,[  7 301] ; [  8 111],[ 10.81967213 297.18032787] ; [  4.18032787 114.81967213],0
n6,1,0.025546,4.986479,[234  73] ; [78 41],[224.84507042  82.15492958] ; [87.15492958 31.84507042],0
p11,1,0.028874,4.775125,[224  85] ; [74 46],[214.64335664  94.35664336] ; [83.35664336 36.64335664],0
b5,1,0.088165,2.907563,[200 109] ; [67 53],[192.31468531 116.68531469] ; [74.68531469 45.31468531],0
b1,1,0.108395,2.577468,[118 191] ; [56 64],[125.32867133 183.67132867] ; [48.67132867 71.32867133],0
u2,1,0.11526,2.480582,[59 51] ; [21 31],[54.32098765 55.67901235] ; [25.67901235 26.32098765],0
