Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,36.131512,[47 36] ; [ 71 242],[24.73232323 58.26767677] ; [ 93.26767677 219.73232323],1
s3,1,0.0,25.690043,[52 30] ; [101 208],[32.08695652 49.91304348] ; [120.91304348 188.08695652],1
s6,1,2.3e-05,17.942827,[54 26] ; [128 184],[37.14285714 42.85714286] ; [144.85714286 167.14285714],1
u1,1,0.002896,8.872007,[17 66] ; [ 28 288],[ 9.36090226 73.63909774] ; [ 35.63909774 280.36090226],0
a3,1,0.003121,8.735223,[62 21] ; [178 135],[50.3030303 32.6969697] ; [189.6969697 123.3030303],0
n4,1,0.004718,7.984391,[66 17] ; [198 116],[55.19395466 27.80604534] ; [208.80604534 105.19395466],0
a8,1,0.008766,6.869873,[15 60] ; [ 27 266],[ 8.55978261 66.44021739] ; [ 33.44021739 259.55978261],0
p4,1,0.011528,6.382064,[43 40] ; [114 198],[32.98987342 50.01012658] ; [124.01012658 187.98987342],0
a2,1,0.012494,6.239439,[21 62] ; [ 44 272],[13.52130326 69.47869674] ; [ 51.47869674 264.52130326],0
s5,1,0.014637,5.95962,[25 57] ; [ 56 252],[17.03076923 64.96923077] ; [ 63.96923077 244.03076923],0
d2,1,0.017087,5.687399,[42 40] ; [115 198],[32.59240506 49.40759494] ; [124.40759494 188.59240506],0
s4,1,0.017444,5.651112,[19 64] ; [ 39 273],[12.18734177 70.81265823] ; [ 45.81265823 266.18734177],0
p2,1,0.020167,5.397346,[68 15] ; [216  97],[59.52525253 23.47474747] ; [224.47474747  88.52525253],0
a5,1,0.024463,5.061539,[62 21] ; [194 122],[53.25313283 29.74686717] ; [202.74686717 113.25313283],0
d5,1,0.027959,4.830617,[68 14] ; [224  92],[60.16080402 21.83919598] ; [231.83919598  84.16080402],0
a4,1,0.030043,4.706806,[39 44] ; [107 207],[30.52392947 52.47607053] ; [115.47607053 198.52392947],0
p3,1,0.048121,3.905763,[33 49] ; [ 91 224],[25.61209068 56.38790932] ; [ 98.38790932 216.61209068],0
r3,1,0.051596,3.788816,[77  5] ; [269  44],[71.8278481 10.1721519] ; [274.1721519  38.8278481],0
d1,1,0.118831,2.432661,[45 38] ; [141 175],[38.69172932 44.30827068] ; [147.30827068 168.69172932],0
d3,1,0.131034,2.28021,[57 25] ; [191 125],[51.09547739 30.90452261] ; [196.90452261 119.09547739],0
r2,1,0.135855,2.224295,[76  5] ; [273  37],[72.29923274  8.70076726] ; [276.70076726  33.29923274],0
r1,1,0.150746,2.064689,[63 20] ; [212 101],[57.63888889 25.36111111] ; [217.36111111  95.63888889],0
s1,1,0.161946,1.955959,[ 5 77] ; [  9 303],[ 2.91370558 79.08629442] ; [ 11.08629442 300.91370558],0
n5,1,0.17185,1.866729,[59 23] ; [200 113],[53.76708861 28.23291139] ; [205.23291139 107.76708861],0
p11,1,0.220563,1.500706,[62 21] ; [214 102],[57.41353383 25.58646617] ; [218.58646617  97.41353383],0
v2,1,0.224082,1.478039,[43 38] ; [136 163],[38.15526316 42.84473684] ; [140.84473684 158.15526316],0
p7,1,0.237521,1.395249,[40 41] ; [130 179],[35.30769231 45.69230769] ; [134.69230769 174.30769231],0
n6,1,0.284178,1.146998,[65 16] ; [234  80],[61.31392405 19.68607595] ; [237.68607595  76.31392405],0
p10,1,0.295636,1.093776,[60 23] ; [206 105],[56.03553299 26.96446701] ; [209.96446701 101.03553299],0
p8,1,0.296713,1.088907,[33 48] ; [108 205],[28.98730964 52.01269036] ; [112.01269036 200.98730964],0
a6,1,0.298348,1.081564,[50 32] ; [212 104],[53.9798995 28.0201005] ; [208.0201005 107.9798995],0
n2,1,0.31981,0.989725,[15  4] ; [62 30],[13.18018018  5.81981982] ; [63.81981982 28.18018018],0
r4,1,0.329028,0.952721,[67 16] ; [239  77],[63.65413534 19.34586466] ; [242.34586466  73.65413534],0
d4,1,0.347555,0.882365,[66 16] ; [238  77],[62.79093199 19.20906801] ; [241.20906801  73.79093199],0
p9,1,0.379445,0.772499,[60 20] ; [217  93],[56.82051282 23.17948718] ; [220.17948718  89.82051282],0
n3,1,0.406317,0.68955,[11  7] ; [66 27],[12.48648649  5.51351351] ; [64.51351351 28.48648649],0
u3,1,0.425096,0.636185,[12  9] ; [65 71],[10.29936306 10.70063694] ; [66.70063694 69.29936306],0
b1,1,0.466903,0.529296,[33 50] ; [112 204],[30.16290727 52.83709273] ; [114.83709273 201.16290727],0
v3,1,0.603255,0.270114,[25 55] ; [ 86 218],[23.125 56.875] ; [ 87.875 216.125],0
b4,1,0.63225,0.229022,[51 32] ; [185 131],[49.09273183 33.90726817] ; [186.90726817 129.09273183],0
p5,1,0.648682,0.207565,[ 5 78] ; [ 15 298],[ 4.19191919 78.80808081] ; [ 15.80808081 297.19191919],0
a1,1,0.658239,0.19567,[ 3 80] ; [ 15 301],[ 3.7443609 79.2556391] ; [ 14.2556391 301.7443609],0
v1,1,0.7004,0.148056,[34 46] ; [124 185],[32.49357326 47.50642674] ; [125.50642674 183.49357326],0
p12,1,0.72893,0.120097,[ 2 80] ; [ 10 305],[ 2.47858942 79.52141058] ; [  9.52141058 305.47858942],0
u2,1,0.733153,0.116237,[10 10] ; [62 73],[ 9.29032258 10.70967742] ; [62.70967742 72.29032258],0
n1,1,0.745052,0.105736,[ 7 12] ; [30 61],[ 6.39090909 12.60909091] ; [30.60909091 60.39090909],0
b5,1,0.826886,0.047828,[51 32] ; [190 126],[50.13283208 32.86716792] ; [190.86716792 125.13283208],0
b2,1,0.832163,0.044914,[16 39] ; [ 45 118],[15.38990826 39.61009174] ; [ 45.61009174 117.38990826],0
b3,1,0.832163,0.044914,[16 39] ; [ 45 118],[15.38990826 39.61009174] ; [ 45.61009174 117.38990826],0
a7,1,0.892265,0.018344,[58 25] ; [217  97],[57.49370277 25.50629723] ; [217.50629723  96.49370277],0
p1,1,0.903067,0.014832,[ 5 78] ; [ 20 293],[ 5.23989899 77.76010101] ; [ 19.76010101 293.23989899],0
v4,1,0.916726,0.010933,[71 10] ; [273  40],[70.72081218 10.27918782] ; [273.27918782  39.72081218],0
