Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,51.101395,[201  25] ; [19 25],[184.14814815  41.85185185] ; [35.85185185  8.14814815],1
d3,1,0.0,29.55647,[178  48] ; [17 27],[163.22222222  62.77777778] ; [31.77777778 12.22222222],1
a4,1,5e-06,20.966258,[110 116] ; [ 5 39],[ 96.25925926 129.74074074] ; [18.74074074 25.25925926],1
d2,1,8e-06,19.969894,[113 112] ; [ 6 38],[ 99.53531599 125.46468401] ; [19.46468401 24.53531599],1
a2,1,0.007223,7.216627,[ 57 169] ; [ 3 41],[ 50.22222222 175.77777778] ; [ 9.77777778 34.22222222],0
a3,1,0.007606,7.124022,[164  62] ; [23 21],[156.52592593  69.47407407] ; [30.47407407 13.52592593],0
a5,1,0.010346,6.574368,[171  55] ; [25 19],[164.05925926  61.94074074] ; [31.94074074 12.05925926],0
b2,1,0.132939,2.25784,[44 79] ; [ 4 17],[41. 82.] ; [ 7. 14.],0
b3,1,0.132939,2.25784,[44 79] ; [ 4 17],[41. 82.] ; [ 7. 14.],0
p6,1,0.164293,1.934259,[ 61 156] ; [17 27],[ 64.85057471 152.14942529] ; [13.14942529 30.85057471],0
n3,1,0.169581,1.886646,[35 13] ; [11  1],[36.8 11.2] ; [9.2 2.8],0
s2,1,0.193599,1.690012,[ 79 146] ; [11 33],[ 75.27881041 149.72118959] ; [14.72118959 29.27881041],0
a8,1,0.197722,1.65912,[ 23 179] ; [ 2 40],[ 20.69672131 181.30327869] ; [ 4.30327869 37.69672131],0
p3,1,0.226495,1.462741,[ 99 123] ; [24 20],[102.65413534 119.34586466] ; [20.34586466 23.65413534],0
a6,1,0.238583,1.388946,[159  67] ; [27 17],[155.68888889  70.31111111] ; [30.31111111 13.68888889],0
a7,1,0.239777,1.381906,[173  53] ; [30 14],[169.91851852  56.08148148] ; [33.08148148 10.91851852],0
b5,1,0.302697,1.062274,[132  94] ; [22 22],[128.9037037  97.0962963] ; [25.0962963 18.9037037],0
s4,1,0.321339,0.98349,[ 33 191] ; [ 4 40],[ 30.92537313 193.07462687] ; [ 6.07462687 37.92537313],0
b1,1,0.323958,0.972902,[ 75 151] ; [18 26],[ 77.84444444 148.15555556] ; [15.15555556 28.84444444],0
p5,1,0.340858,0.907203,[ 16 208] ; [ 5 39],[ 17.55223881 206.44776119] ; [ 3.44776119 40.55223881],0
u3,1,0.344798,0.89251,[31 31] ; [ 8 13],[29.13253012 32.86746988] ; [ 9.86746988 11.13253012],0
r4,1,0.345101,0.891391,[197  29] ; [36  8],[195.02962963  30.97037037] ; [37.97037037  6.02962963],0
