Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.0,28.178551,[  1 114] ; [3 6],[  3.70967742 111.29032258] ; [0.29032258 8.70967742],1
s8,1,0.0,26.460747,[18 95] ; [8 1],[24.08196721 88.91803279] ; [1.91803279 7.08196721],1
s2,1,0.000321,12.941025,[34 80] ; [8 1],[38.92682927 75.07317073] ; [3.07317073 5.92682927],1
p5,1,0.001851,9.691597,[  6 108] ; [3 6],[  8.34146341 105.65853659] ; [0.65853659 8.34146341],0
s7,1,0.001891,9.65234,[29 76] ; [7 2],[33.15789474 71.84210526] ; [2.84210526 6.15789474],0
s3,1,0.007708,7.100017,[48 64] ; [8 1],[51.83471074 60.16528926] ; [4.16528926 4.83471074],0
b3,1,0.009947,6.644444,[23 46] ; [7 2],[26.53846154 42.46153846] ; [3.46153846 5.53846154],0
b2,1,0.009947,6.644444,[23 46] ; [7 2],[26.53846154 42.46153846] ; [3.46153846 5.53846154],0
d2,1,0.01147,6.390964,[51 62] ; [8 1],[54.64754098 58.35245902] ; [4.35245902 4.64754098],0
u1,1,0.011784,6.343153,[ 15 100] ; [4 5],[17.62096774 97.37903226] ; [1.37903226 7.62096774],0
a2,1,0.02253,5.204372,[25 90] ; [5 4],[27.82258065 87.17741935] ; [2.17741935 6.82258065],0
p6,1,0.026971,4.892685,[17 94] ; [4 5],[19.425 91.575] ; [1.575 7.425],0
a4,1,0.030833,4.662261,[46 67] ; [7 2],[49.09016393 63.90983607] ; [3.90983607 5.09016393],0
p8,1,0.030891,4.65899,[26 87] ; [5 4],[28.71311475 84.28688525] ; [2.28688525 6.71311475],0
v1,1,0.035519,4.420047,[37 77] ; [5 2],[39.57024793 74.42975207] ; [2.42975207 4.57024793],0
v3,1,0.038082,4.301371,[29 78] ; [4 2],[31.24778761 75.75221239] ; [1.75221239 4.24778761],0
n6,1,0.04203,4.134001,[61 52] ; [8 1],[63.90983607 49.09016393] ; [5.09016393 3.90983607],0
v2,1,0.045108,4.014611,[38 74] ; [5 2],[40.47058824 71.52941176] ; [2.52941176 4.47058824],0
s6,1,0.046154,3.975969,[49 64] ; [7 2],[51.86885246 61.13114754] ; [4.13114754 4.86885246],0
n5,1,0.047,3.945388,[62 51] ; [8 1],[64.83606557 48.16393443] ; [5.16393443 3.83606557],0
p3,1,0.05164,3.787382,[39 75] ; [6 3],[41.70731707 72.29268293] ; [3.29268293 5.70731707],0
p4,1,0.06802,3.330178,[41 73] ; [6 3],[43.56097561 70.43902439] ; [3.43902439 5.56097561],0
r1,1,0.071617,3.245558,[66 47] ; [8 1],[68.54098361 44.45901639] ; [5.45901639 3.54098361],0
n4,1,0.071617,3.245558,[66 47] ; [8 1],[68.54098361 44.45901639] ; [5.45901639 3.54098361],0
a3,1,0.076029,3.147815,[66 46] ; [8 1],[68.49586777 43.50413223] ; [5.50413223 3.49586777],0
d5,1,0.197403,1.661484,[78 36] ; [8 1],[79.70731707 34.29268293] ; [6.29268293 2.70731707],0
a6,1,0.20586,1.600302,[64 50] ; [7 2],[65.80487805 48.19512195] ; [5.19512195 3.80487805],0
a5,1,0.270475,1.214335,[68 47] ; [7 2],[69.55645161 45.44354839] ; [5.44354839 3.55645161],0
v4,1,0.329202,0.952036,[84 29] ; [8 1],[85.21311475 27.78688525] ; [6.78688525 2.21311475],0
s5,1,0.354709,0.856538,[17 94] ; [2 5],[17.87288136 93.12711864] ; [1.12711864 5.87288136],0
p7,1,0.426429,0.632531,[41 73] ; [4 4],[42.04918033 71.95081967] ; [2.95081967 5.04918033],0
n1,1,0.447942,0.575855,[23 29] ; [2 1],[23.63636364 28.36363636] ; [1.36363636 1.63636364],0
n3,1,0.486132,0.485076,[27 23] ; [1 2],[26.41509434 23.58490566] ; [1.58490566 1.41509434],0
n2,1,0.510878,0.432267,[28 25] ; [1 2],[27.44642857 25.55357143] ; [1.55357143 1.44642857],0
b4,1,0.548968,0.359169,[63 52] ; [4 5],[62.13709677 52.86290323] ; [4.86290323 4.13709677],0
d3,1,0.572662,0.318249,[65 49] ; [6 3],[65.80487805 48.19512195] ; [5.19512195 3.80487805],0
s4,1,0.621478,0.243796,[20 94] ; [1 8],[19.46341463 94.53658537] ; [1.53658537 7.46341463],0
p2,1,0.654981,0.199678,[55 60] ; [5 4],[55.64516129 59.35483871] ; [4.35483871 4.64516129],0
a7,1,0.716192,0.132171,[69 45] ; [6 3],[69.51219512 44.48780488] ; [5.48780488 3.51219512],0
p1,1,0.806116,0.060241,[ 10 105] ; [1 8],[ 10.2016129 104.7983871] ; [0.7983871 8.2016129],0
b5,1,0.848077,0.0367,[73 42] ; [6 3],[73.26612903 41.73387097] ; [5.73387097 3.26612903],0
a1,1,0.879925,0.02282,[ 11 104] ; [1 8],[ 11.12903226 103.87096774] ; [0.87096774 8.12903226],0
s1,1,0.88684,0.020251,[ 11 103] ; [1 8],[ 11.12195122 102.87804878] ; [0.87804878 8.12195122],0
a8,1,0.952501,0.003548,[11 94] ; [1 8],[11.05263158 93.94736842] ; [0.94736842 8.05263158],0
