Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,49.430204,[164  11] ; [11 14],[153.125  21.875] ; [21.875  3.125],1
d1,1,0.0,42.26956,[134  41] ; [ 3 22],[119.875  55.125] ; [17.125  7.875],1
a4,1,0.000197,13.859408,[100  75] ; [ 4 20],[91.45728643 83.54271357] ; [12.54271357 11.45728643],1
d3,1,0.000327,12.908993,[141  34] ; [12 13],[133.875  41.125] ; [19.125  5.875],1
p1,1,0.000461,12.268741,[ 18 156] ; [ 9 16],[ 23.6080402 150.3919598] ; [ 3.3919598 21.6080402],1
d2,1,0.00157,9.994688,[101  74] ; [ 6 19],[93.625 81.375] ; [13.375 11.625],0
p9,1,0.006713,7.348243,[165   9] ; [20  5],[161.75879397  12.24120603] ; [23.24120603  1.75879397],0
a5,1,0.009826,6.666228,[144  31] ; [15 10],[139.125  35.875] ; [19.875  5.125],0
a2,1,0.01337,6.119475,[ 56 119] ; [ 2 23],[ 50.75 124.25] ; [ 7.25 17.75],0
p5,1,0.040142,4.211864,[ 32 143] ; [ 9 16],[ 35.875 139.125] ; [ 5.125 19.875],0
p10,1,0.04617,3.975398,[160  14] ; [19  5],[157.3030303  16.6969697] ; [21.6969697  2.3030303],0
p2,1,0.097627,2.743891,[159  16] ; [20  5],[156.625  18.375] ; [22.375  2.625],0
r3,1,0.117182,2.45459,[171   4] ; [23  2],[169.75   5.25] ; [24.25  0.75],0
p4,1,0.117515,2.450137,[148  27] ; [18  7],[145.25  29.75] ; [20.75  4.25],0
s5,1,0.126579,2.333962,[83 83] ; [ 8 16],[79.50526316 86.49473684] ; [11.49473684 12.50526316],0
b1,1,0.12947,2.298851,[ 70 105] ; [14 11],[ 73.5 101.5] ; [10.5 14.5],0
a3,1,0.142223,2.153736,[134  39] ; [16  9],[131.06060606  41.93939394] ; [18.93939394  6.06060606],0
n4,1,0.188206,1.731602,[152  23] ; [24  1],[154.  21.] ; [22.  3.],0
v4,1,0.190594,1.713017,[170   5] ; [23  2],[168.875   6.125] ; [24.125  0.875],0
s8,1,0.209269,1.576475,[113  61] ; [13 12],[110.17085427  63.82914573] ; [15.82914573  9.17085427],0
s4,1,0.213523,1.547376,[ 31 142] ; [ 2 23],[ 28.83333333 144.16666667] ; [ 4.16666667 20.83333333],0
s6,1,0.233178,1.421373,[133  36] ; [17  8],[130.67010309  38.32989691] ; [19.32989691  5.67010309],0
p3,1,0.234396,1.413983,[119  56] ; [14 11],[116.375  58.625] ; [16.625  8.375],0
s2,1,0.247623,1.336667,[109  66] ; [12 12],[106.40703518  68.59296482] ; [14.59296482  9.40703518],0
p12,1,0.271223,1.21055,[ 21 153] ; [ 5 20],[ 22.73366834 151.26633166] ; [ 3.26633166 21.73366834],0
r1,1,0.323759,0.973699,[148  27] ; [23  2],[149.625  25.375] ; [21.375  3.625],0
n5,1,0.350565,0.871412,[148  26] ; [23  2],[149.51758794  24.48241206] ; [21.48241206  3.51758794],0
u2,1,0.3998,0.708927,[21 20] ; [6 3],[22.14 18.86] ; [4.86 4.14],0
v2,1,0.40483,0.693933,[124  48] ; [20  5],[125.72588832  46.27411168] ; [18.27411168  6.72588832],0
p8,1,0.570187,0.32237,[127  46] ; [17  8],[125.81818182  47.18181818] ; [18.18181818  6.81818182],0
b5,1,0.656005,0.198413,[111  64] ; [17  8],[112.  63.] ; [16.  9.],0
n3,1,0.657327,0.196787,[19 10] ; [1 1],[18.70967742 10.29032258] ; [1.29032258 0.70967742],0
s3,1,0.677945,0.172448,[101  73] ; [15  9],[101.93939394  72.06060606] ; [14.06060606  9.93939394],0
s7,1,0.678838,0.171436,[109  58] ; [14  9],[108.11052632  58.88947368] ; [14.88947368  8.11052632],0
p7,1,0.72109,0.127451,[149  23] ; [21  4],[148.42639594  23.57360406] ; [21.57360406  3.42639594],0
r4,1,0.725071,0.123686,[165  10] ; [24  1],[165.375   9.625] ; [23.625  1.375],0
b2,1,0.737009,0.112773,[54 64] ; [9 9],[54.66176471 63.33823529] ; [8.33823529 9.66176471],0
b3,1,0.737009,0.112773,[54 64] ; [9 9],[54.66176471 63.33823529] ; [8.33823529 9.66176471],0
v3,1,0.745327,0.1055,[87 82] ; [12 13],[86.24226804 82.75773196] ; [12.75773196 12.24226804],0
u3,1,0.750092,0.101453,[25 16] ; [6 3],[25.42 15.58] ; [5.58 3.42],0
n6,1,0.778237,0.079308,[157  17] ; [23  2],[157.38693467  16.61306533] ; [22.61306533  2.38693467],0
a6,1,0.850272,0.035635,[115  59] ; [17  8],[115.41708543  58.58291457] ; [16.58291457  8.41708543],0
s1,1,0.853965,0.033879,[  6 169] ; [ 1 23],[  6.15577889 168.84422111] ; [ 0.84422111 23.15577889],0
a8,1,0.878424,0.023399,[ 25 130] ; [ 4 19],[ 25.25280899 129.74719101] ; [ 3.74719101 19.25280899],0
a7,1,0.910682,0.012584,[134  40] ; [19  6],[133.77889447  40.22110553] ; [19.22110553  5.77889447],0
b4,1,0.910771,0.012559,[114  61] ; [16  9],[113.75  61.25] ; [16.25  8.75],0
u4,1,1.0,0.0,[  7 168] ; [ 1 24],[  7. 168.] ; [ 1. 24.],0
p11,1,1.0,0.0,[147  28] ; [21  4],[147.  28.] ; [21.  4.],0
