Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.7e-05,18.467635,[38 27] ; [ 1 20],[29.47674419 35.52325581] ; [ 9.52325581 11.47674419],1
d3,1,0.000976,10.872103,[45 20] ; [ 6 15],[38.54651163 26.45348837] ; [12.45348837  8.54651163],1
p11,1,0.002266,9.320933,[53 12] ; [10 11],[47.61627907 17.38372093] ; [15.38372093  5.61627907],0
d4,1,0.002367,9.240537,[55 10] ; [11 10],[49.88372093 15.11627907] ; [16.11627907  4.88372093],0
p6,1,0.004081,8.247283,[27 34] ; [ 2 19],[21.57317073 39.42682927] ; [ 7.42682927 13.57317073],0
p3,1,0.0109,6.481481,[41 22] ; [ 7 14],[36. 27.] ; [12.  9.],0
a5,1,0.01183,6.336125,[42 23] ; [ 7 14],[37.03488372 27.96511628] ; [11.96511628  9.03488372],0
p2,1,0.016113,5.790479,[53 11] ; [12  9],[48.94117647 15.05882353] ; [16.05882353  4.94117647],0
a4,1,0.030237,4.695774,[26 39] ; [ 3 18],[21.91860465 43.08139535] ; [ 7.08139535 13.91860465],0
r4,1,0.041887,4.139762,[44 21] ; [ 9 12],[40.05813953 24.94186047] ; [12.94186047  8.05813953],0
b4,1,0.04441,4.040887,[41 24] ; [ 8 13],[37.03488372 27.96511628] ; [11.96511628  9.03488372],0
a6,1,0.06009,3.534887,[37 28] ; [ 7 14],[33.25581395 31.74418605] ; [10.74418605 10.25581395],0
d2,1,0.062013,3.482717,[27 38] ; [ 4 17],[23.43023256 41.56976744] ; [ 7.56976744 13.43023256],0
s8,1,0.062013,3.482717,[27 38] ; [ 4 17],[23.43023256 41.56976744] ; [ 7.56976744 13.43023256],0
r3,1,0.062125,3.479725,[57  8] ; [14  6],[54.29411765 10.70588235] ; [16.70588235  3.29411765],0
n6,1,0.064093,3.428163,[53 12] ; [13  8],[49.88372093 15.11627907] ; [16.11627907  4.88372093],0
v4,1,0.066166,3.375662,[59  6] ; [15  5],[56.58823529  8.41176471] ; [17.41176471  2.58823529],0
v2,1,0.089681,2.880097,[43 20] ; [10 11],[39.75 23.25] ; [13.25  7.75],0
a7,1,0.09803,2.737305,[44 21] ; [10 11],[40.81395349 24.18604651] ; [13.18604651  7.81395349],0
v3,1,0.099029,2.721104,[31 32] ; [ 6 15],[27.75 35.25] ; [ 9.25 11.75],0
s6,1,0.106623,2.603571,[43 17] ; [11 10],[40. 20.] ; [14.  7.],0
s7,1,0.113906,2.499177,[29 33] ; [ 5 14],[26.02469136 35.97530864] ; [ 7.97530864 11.02469136],0
b1,1,0.133144,2.255463,[28 37] ; [13  8],[30.98837209 34.01162791] ; [10.01162791 10.98837209],0
r2,1,0.152999,2.042096,[54 10] ; [14  6],[51.80952381 12.19047619] ; [16.19047619  3.80952381],0
s5,1,0.160083,1.973439,[21 38] ; [ 4 17],[18.4375 40.5625] ; [ 6.5625 14.4375],0
s4,1,0.218684,1.512988,[14 51] ; [ 2 19],[12.09302326 52.90697674] ; [ 3.90697674 17.09302326],0
b5,1,0.256295,1.288658,[43 22] ; [11 10],[40.81395349 24.18604651] ; [13.18604651  7.81395349],0
s3,1,0.261223,1.262265,[37 28] ; [ 9 12],[34.76744186 30.23255814] ; [11.23255814  9.76744186],0
u2,1,0.353755,0.859941,[13 10] ; [3 5],[11.87096774 11.12903226] ; [4.12903226 3.87096774],0
n5,1,0.35937,0.840092,[46 19] ; [17  4],[47.61627907 17.38372093] ; [15.38372093  5.61627907],0
n4,1,0.366834,0.814363,[47 18] ; [13  8],[45.34883721 19.65116279] ; [14.65116279  6.34883721],0
p8,1,0.376601,0.781766,[31 32] ; [ 8 13],[29.25 33.75] ; [ 9.75 11.25],0
s1,1,0.403346,0.698329,[ 3 62] ; [ 2 19],[ 3.77906977 61.22093023] ; [ 1.22093023 19.77906977],0
a1,1,0.403346,0.698329,[ 3 62] ; [ 2 19],[ 3.77906977 61.22093023] ; [ 1.22093023 19.77906977],0
p1,1,0.409964,0.678905,[ 7 58] ; [ 1 20],[ 6.04651163 58.95348837] ; [ 1.95348837 19.04651163],0
n3,1,0.466985,0.529101,[10  8] ; [5 2],[10.8  7.2] ; [4.2 2.8],0
n2,1,0.478188,0.502994,[13  5] ; [6 1],[13.68  4.32] ; [5.32 1.68],0
a3,1,0.53796,0.379335,[42 23] ; [12  9],[40.81395349 24.18604651] ; [13.18604651  7.81395349],0
p10,1,0.638092,0.221247,[51 12] ; [16  5],[50.25 12.75] ; [16.75  4.25],0
p7,1,0.66311,0.189768,[37 27] ; [11 10],[36.14117647 27.85882353] ; [11.85882353  9.14117647],0
s2,1,0.708635,0.139644,[34 31] ; [10 11],[33.25581395 31.74418605] ; [10.74418605 10.25581395],0
p4,1,0.856879,0.032526,[38 26] ; [12  9],[37.64705882 26.35294118] ; [12.35294118  8.64705882],0
u3,1,0.86316,0.029705,[12 11] ; [5 4],[12.21875 10.78125] ; [4.78125 4.21875],0
p5,1,0.902725,0.014938,[10 55] ; [ 3 18],[ 9.8255814 55.1744186] ; [ 3.1744186 17.8255814],0
p9,1,0.902725,0.014938,[55 10] ; [18  3],[55.1744186  9.8255814] ; [17.8255814  3.1744186],0
b3,1,0.915235,0.011329,[14 26] ; [4 8],[13.84615385 26.15384615] ; [4.15384615 7.84615385],0
b2,1,0.915235,0.011329,[14 26] ; [4 8],[13.84615385 26.15384615] ; [4.15384615 7.84615385],0
n1,1,0.94277,0.005154,[ 8 10] ; [3 4],[ 7.92 10.08] ; [3.08 3.92],0
a8,1,1.0,0.0,[ 3 57] ; [ 1 19],[ 3. 57.] ; [ 1. 19.],0
