Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,35.365383,[21 85] ; [89 68],[44.33460076 61.66539924] ; [65.66539924 91.33460076],1
v1,1,0.0,29.010579,[48 57] ; [124  35],[68.40909091 36.59090909] ; [103.59090909  55.40909091],1
b5,1,0.008814,6.860071,[53 53] ; [107  55],[63.28358209 42.71641791] ; [96.71641791 65.28358209],0
b4,1,0.01592,5.811635,[53 53] ; [105  57],[62.49253731 43.50746269] ; [95.50746269 66.49253731],0
u1,1,0.044975,4.01959,[21 85] ; [ 50 112],[28.08208955 77.91791045] ; [ 42.91791045 119.08208955],0
s4,1,0.052346,3.764671,[27 74] ; [ 27 134],[20.81679389 80.18320611] ; [ 33.18320611 127.81679389],0
a6,1,0.063114,3.453591,[62 44] ; [112  49],[69.07865169 36.92134831] ; [104.92134831  56.07865169],0
v4,1,0.074544,3.180027,[105   1] ; [153   8],[102.42696629   3.57303371] ; [155.57303371   5.42696629],0
p9,1,0.088761,2.896695,[94 12] ; [152   9],[97.66292135  8.33707865] ; [148.33707865  12.66292135],0
a7,1,0.116183,2.468038,[71 35] ; [122  39],[76.62172285 29.37827715] ; [116.37827715  44.62172285],0
a1,1,0.124329,2.36192,[  5 101] ; [ 16 146],[ 8.30597015 97.69402985] ; [ 12.69402985 149.30597015],0
r2,1,0.147896,2.093815,[101   2] ; [152   9],[98.70833333  4.29166667] ; [154.29166667   6.70833333],0
p12,1,0.165293,1.925124,[ 8 97] ; [ 21 140],[11.44736842 93.55263158] ; [ 17.55263158 143.44736842],0
p3,1,0.167059,1.909137,[66 40] ; [114  48],[71.19402985 34.80597015] ; [108.80597015  53.19402985],0
s8,1,0.204578,1.609385,[57 48] ; [100  61],[61.97368421 43.02631579] ; [95.02631579 65.97368421],0
a2,1,0.205075,1.605857,[27 79] ; [ 53 109],[31.64179104 74.35820896] ; [ 48.35820896 113.64179104],0
n3,1,0.222483,1.48828,[15  9] ; [27  8],[17.08474576  6.91525424] ; [24.91525424 10.08474576],0
n2,1,0.226025,1.465703,[20  5] ; [23 12],[17.91666667  7.08333333] ; [25.08333333  9.91666667],0
s7,1,0.243678,1.359191,[60 42] ; [101  52],[64.4 37.6] ; [96.6 56.4],0
a8,1,0.311047,1.026224,[11 86] ; [ 23 121],[13.6846473 83.3153527] ; [ 20.3153527 123.6846473],0
a4,1,0.327851,0.957368,[64 42] ; [88 74],[60.11940299 45.88059701] ; [91.88059701 70.11940299],0
p10,1,0.332601,0.938745,[89 16] ; [143  18],[91.57894737 13.42105263] ; [140.42105263  20.57894737],0
p2,1,0.349639,0.874767,[99  7] ; [146  16],[96.90298507  9.09701493] ; [148.09701493  13.90298507],0
s5,1,0.379887,0.771067,[50 52] ; [66 86],[46.58267717 55.41732283] ; [69.41732283 82.58267717],0
a5,1,0.381047,0.76732,[81 25] ; [131  31],[83.85074627 22.14925373] ; [128.14925373  33.85074627],0
a3,1,0.383432,0.75967,[78 27] ; [127  34],[80.92105263 24.07894737] ; [124.07894737  36.92105263],0
u4,1,0.392754,0.730398,[  2 104] ; [  6 156],[  3.1641791 102.8358209] ; [  4.8358209 157.1641791],0
r1,1,0.44165,0.591991,[89 17] ; [130  32],[86.61940299 19.38059701] ; [132.38059701  29.61940299],0
s2,1,0.455748,0.556317,[61 45] ; [100  61],[63.917603 42.082397] ; [97.082397 63.917603],0
p8,1,0.467884,0.526968,[76 30] ; [108  52],[73.32330827 32.67669173] ; [110.67669173  49.32330827],0
p1,1,0.508622,0.436901,[14 92] ; [ 17 144],[12.3071161 93.6928839] ; [ 18.6928839 142.3071161],0
b1,1,0.526729,0.400698,[46 60] ; [64 98],[43.50746269 62.49253731] ; [66.49253731 95.50746269],0
r3,1,0.532128,0.390326,[102   3] ; [154   7],[101.05263158   3.94736842] ; [154.94736842   6.05263158],0
s3,1,0.535025,0.38484,[65 41] ; [92 68],[62.56390977 43.43609023] ; [94.43609023 65.56390977],0
d1,1,0.541714,0.372372,[82 24] ; [120  42],[79.89552239 26.10447761] ; [122.10447761  39.89552239],0
r4,1,0.543778,0.368582,[99  7] ; [148  14],[97.69402985  8.30597015] ; [149.30597015  12.69402985],0
u3,1,0.590028,0.290301,[18  9] ; [21 14],[16.98387097 10.01612903] ; [22.01612903 12.98387097],0
d2,1,0.594836,0.282855,[60 46] ; [97 65],[62.09701493 43.90298507] ; [94.90298507 67.09701493],0
p11,1,0.620542,0.245107,[87 19] ; [129  33],[85.43283582 20.56716418] ; [130.56716418  31.43283582],0
u2,1,0.64504,0.212211,[16 12] ; [22 13],[16.88888889 11.11111111] ; [21.11111111 13.88888889],0
n4,1,0.67933,0.170881,[89 17] ; [139  23],[90.17910448 15.82089552] ; [137.82089552  24.17910448],0
d3,1,0.717455,0.130944,[81 24] ; [128  34],[82.19101124 22.80898876] ; [126.80898876  35.19101124],0
d4,1,0.746972,0.104093,[97  9] ; [150  12],[97.69402985  8.30597015] ; [149.30597015  12.69402985],0
p5,1,0.789448,0.071303,[19 87] ; [ 27 135],[18.19402985 87.80597015] ; [ 27.80597015 134.19402985],0
n1,1,0.828302,0.047037,[11 14] ; [14 20],[10.59322034 14.40677966] ; [14.40677966 19.59322034],0
p7,1,0.834104,0.043866,[88 16] ; [133  26],[87.39163498 16.60836502] ; [133.60836502  25.39163498],0
b2,1,0.854695,0.033537,[33 40] ; [48 55],[33.59659091 39.40340909] ; [47.40340909 55.59659091],0
b3,1,0.854695,0.033537,[33 40] ; [48 55],[33.59659091 39.40340909] ; [47.40340909 55.59659091],0
n6,1,0.858524,0.031774,[94 12] ; [143  17],[94.44360902 11.55639098] ; [142.55639098  17.44360902],0
n5,1,0.932665,0.007139,[85 20] ; [131  30],[85.26315789 19.73684211] ; [130.73684211  30.26315789],0
p4,1,0.948744,0.004132,[88 18] ; [134  28],[87.80597015 18.19402985] ; [134.19402985  27.80597015],0
s6,1,0.959976,0.002518,[79 22] ; [124  34],[79.16216216 21.83783784] ; [123.83783784  34.16216216],0
s1,1,0.972312,0.001205,[  4 101] ; [  6 155],[  3.94736842 101.05263158] ; [  6.05263158 154.94736842],0
