Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,83.620274,[406  41] ; [14 23],[387.89256198  59.10743802] ; [32.10743802  4.89256198],1
r2,1,0.0,40.385197,[424  20] ; [23 11],[415.20502092  28.79497908] ; [31.79497908  2.20502092],1
r3,1,0.0,39.483375,[424  22] ; [25 12],[414.60455487  31.39544513] ; [34.39544513  2.60455487],1
p2,1,0.0,31.089441,[358  87] ; [15 22],[344.36721992 100.63278008] ; [28.63278008  8.36721992],1
p10,1,0.0,29.880901,[351  92] ; [14 22],[337.56784969 105.43215031] ; [27.43215031  8.56784969],1
r1,1,1e-06,24.62815,[366  77] ; [18 19],[354.4  88.6] ; [29.6  7.4],1
p9,1,1.5e-05,18.783059,[352  87] ; [17 18],[341.75316456  97.24683544] ; [27.24683544  7.75316456],1
s6,1,0.000154,14.318139,[282 159] ; [12 25],[271.24267782 169.75732218] ; [22.75732218 14.24267782],1
p7,1,0.000308,13.021894,[230 208] ; [ 8 29],[219.46105263 218.53894737] ; [18.53894737 18.46105263],1
n6,1,0.000576,11.852912,[366  80] ; [21 15],[358.09543568  87.90456432] ; [28.90456432  7.09543568],1
u3,1,0.001369,10.247335,[75 46] ; [1 9],[70.19847328 50.80152672] ; [5.80152672 4.19847328],0
s2,1,0.001543,10.026464,[207 236] ; [ 7 29],[197.91649269 245.08350731] ; [16.08350731 19.91649269],0
s8,1,0.001816,9.727107,[175 270] ; [ 5 32],[166.18257261 278.81742739] ; [13.81742739 23.18257261],0
p4,1,0.002783,8.944529,[222 223] ; [ 9 28],[213.26763485 231.73236515] ; [17.73236515 19.26763485],0
p8,1,0.007446,7.162014,[187 256] ; [ 7 29],[179.41962422 263.58037578] ; [14.58037578 21.41962422],0
v1,1,0.007764,7.087216,[207 224] ; [ 9 27],[199.3490364 231.6509636] ; [16.6509636 19.3490364],0
a6,1,0.008045,7.023472,[322 125] ; [19 18],[314.93181818 132.06818182] ; [26.06818182 10.93181818],0
