Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,109.584058,[526  36] ; [14 21],[508.34170854  53.65829146] ; [31.65829146  3.34170854],1
r2,1,0.0,79.655606,[538  16] ; [20 12],[527.52901024  26.47098976] ; [30.47098976  1.52901024],1
r3,1,0.0,43.001475,[540  20] ; [25 10],[531.76470588  28.23529412] ; [33.23529412  1.76470588],1
p2,1,0.0,37.265285,[490  68] ; [17 17],[477.88175676  80.11824324] ; [29.11824324  4.88175676],1
r1,1,0.0,34.34983,[474  86] ; [16 19],[461.17647059  98.82352941] ; [28.82352941  6.17647059],1
p10,1,0.0,26.999192,[471  85] ; [17 17],[459.8779661  96.1220339] ; [28.1220339  5.8779661],1
p9,1,3e-06,21.636655,[483  72] ; [19 14],[473.82653061  81.17346939] ; [28.17346939  4.82653061],1
n6,1,9e-06,19.753152,[504  57] ; [22 12],[495.94285714  65.05714286] ; [30.05714286  3.94285714],1
p11,1,4.3e-05,16.726459,[463  99] ; [19 16],[453.74204355 108.25795645] ; [28.25795645  6.74204355],1
p7,1,4.8e-05,16.517752,[370 175] ; [12 23],[358.94827586 186.05172414] ; [23.05172414 11.94827586],1
p8,1,6.3e-05,16.011224,[301 248] ; [ 7 28],[289.54109589 259.45890411] ; [18.45890411 16.54109589],1
s7,1,0.000118,14.819502,[294 242] ; [ 6 25],[283.5978836 252.4021164] ; [16.4021164 14.5978836],1
s6,1,0.00017,14.13281,[389 162] ; [13 20],[379.28424658 171.71575342] ; [22.71575342 10.28424658],1
p4,1,0.000481,12.186934,[369 188] ; [13 22],[359.41554054 197.58445946] ; [22.58445946 12.41554054],1
v1,1,0.000892,11.03867,[320 227] ; [10 24],[310.68846816 236.31153184] ; [19.31153184 14.68846816],1
s2,1,0.002124,9.439336,[299 259] ; [ 9 25],[290.31081081 267.68918919] ; [17.68918919 16.31081081],0
p3,1,0.005457,7.721276,[310 248] ; [11 24],[302.0539629 255.9460371] ; [18.9460371 16.0539629],0
b1,1,0.010686,6.516723,[215 347] ; [21 14],[222.1641541 339.8358459] ; [13.8358459 21.1641541],0
s8,1,0.014276,6.00374,[279 280] ; [10 25],[271.97138047 287.02861953] ; [17.02861953 17.97138047],0
u3,1,0.017955,5.6005,[71 50] ; [2 8],[67.42748092 53.57251908] ; [5.57251908 4.42748092],0
n5,1,0.035245,4.433269,[486  73] ; [26  9],[481.83164983  77.16835017] ; [30.16835017  4.83164983],0
u1,1,0.040686,4.189039,[132 430] ; [ 3 32],[127.08542714 434.91457286] ; [ 7.91457286 27.08542714],0
d1,1,0.04319,4.087952,[410 152] ; [20 15],[404.79061977 157.20938023] ; [25.20938023  9.79061977],0
p6,1,0.048034,3.908805,[223 326] ; [ 8 26],[217.52830189 331.47169811] ; [13.47169811 20.52830189],0
d3,1,0.054245,3.705131,[420 142] ; [21 14],[415.14572864 146.85427136] ; [25.85427136  9.14572864],0
b4,1,0.057492,3.60831,[326 236] ; [26  9],[331.36348409 230.63651591] ; [20.63651591 14.36348409],0
v3,1,0.070889,3.262309,[239 302] ; [10 25],[233.86979167 307.13020833] ; [15.13020833 19.86979167],0
a7,1,0.075673,3.155461,[413 147] ; [21 14],[408.47058824 151.52941176] ; [25.52941176  9.47058824],0
n2,1,0.08403,2.985188,[83 26] ; [7 6],[80.40983607 28.59016393] ; [9.59016393 3.40983607],0
a8,1,0.087979,2.910975,[ 80 424] ; [ 9 24],[ 83.53072626 420.46927374] ; [ 5.46927374 27.53072626],0
s5,1,0.094094,2.802895,[191 347] ; [ 7 26],[186.55691769 351.44308231] ; [11.44308231 21.55691769],0
s3,1,0.098296,2.732981,[317 238] ; [14 19],[312.42346939 242.57653061] ; [18.57653061 14.42346939],0
a2,1,0.111665,2.530499,[167 395] ; [ 6 29],[162.85762144 399.14237856] ; [10.14237856 24.85762144],0
a6,1,0.113663,2.502536,[392 169] ; [20 15],[387.80536913 173.19463087] ; [24.19463087 10.80536913],0
s4,1,0.134249,2.242669,[ 82 470] ; [ 2 33],[ 78.99148211 473.00851789] ; [ 5.00851789 29.99148211],0
d4,1,0.164611,1.931344,[506  55] ; [29  6],[503.58221477  57.41778523] ; [31.41778523  3.58221477],0
n3,1,0.261571,1.260424,[82 26] ; [8 5],[80.33057851 27.66942149] ; [9.66942149 3.33057851],0
a4,1,0.270264,1.215408,[302 259] ; [15 19],[298.88571429 262.11428571] ; [18.11428571 15.88571429],0
a3,1,0.321143,0.984285,[440 120] ; [25 10],[437.64705882 122.35294118] ; [27.35294118  7.64705882],0
a5,1,0.332852,0.93777,[455 107] ; [26  9],[452.80067002 109.19932998] ; [28.19932998  6.80067002],0
v2,1,0.340946,0.90687,[323 219] ; [18 17],[320.31542461 221.68457539] ; [20.68457539 14.31542461],0
s1,1,0.390255,0.738149,[ 17 537] ; [ 2 33],[ 17.87096774 536.12903226] ; [ 1.12903226 33.87096774],0
d2,1,0.415202,0.663856,[322 237] ; [22 12],[324.27655987 234.72344013] ; [19.72344013 14.27655987],0
a1,1,0.482011,0.494309,[ 32 530] ; [ 3 32],[ 32.9480737 529.0519263] ; [ 2.0519263 32.9480737],0
p12,1,0.57611,0.312566,[ 48 508] ; [ 2 32],[ 47.11864407 508.88135593] ; [ 2.88135593 31.11864407],0
u2,1,0.666734,0.185446,[69 52] ; [5 5],[68.35114504 52.64885496] ; [5.64885496 4.35114504],0
n1,1,0.707369,0.140919,[47 60] ; [5 8],[46.36666667 60.63333333] ; [5.63333333 7.36666667],0
b2,1,0.731001,0.118194,[137 220] ; [ 8 15],[136.22368421 220.77631579] ; [ 8.77631579 14.22368421],0
b3,1,0.731001,0.118194,[137 220] ; [ 8 15],[136.22368421 220.77631579] ; [ 8.77631579 14.22368421],0
p5,1,0.794974,0.067526,[ 71 485] ; [ 5 30],[ 71.49915398 484.50084602] ; [ 4.50084602 30.49915398],0
p1,1,0.88165,0.022165,[ 44 515] ; [ 3 32],[ 44.23063973 514.76936027] ; [ 2.76936027 32.23063973],0
u4,1,0.946697,0.00447,[ 15 547] ; [ 1 34],[ 15.06197655 546.93802345] ; [ 0.93802345 34.06197655],0
b5,1,0.970026,0.001412,[339 223] ; [21 14],[338.89447236 223.10552764] ; [21.10552764 13.89447236],0
