Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.9e-05,18.250481,[79  7] ; [2 4],[75.7173913 10.2826087] ; [5.2826087 0.7173913],1
r2,1,0.00157,9.994139,[78  7] ; [3 3],[75.65934066  9.34065934] ; [5.34065934 0.65934066],0
s7,1,0.035484,4.421716,[59 21] ; [2 4],[56.74418605 23.25581395] ; [4.25581395 1.74418605],0
v3,1,0.043386,4.080289,[49 34] ; [1 5],[46.62921348 36.37078652] ; [3.37078652 2.62921348],0
r3,1,0.0446,4.033706,[79  7] ; [4 2],[77.58695652  8.41304348] ; [5.41304348 0.58695652],0
a7,1,0.046049,3.97979,[62 24] ; [2 4],[59.82608696 26.17391304] ; [4.17391304 1.82608696],0
s2,1,0.063143,3.452839,[48 38] ; [1 5],[45.80434783 40.19565217] ; [3.19565217 2.80434783],0
p8,1,0.086332,2.941479,[68 17] ; [3 3],[66.31868132 18.68131868] ; [4.68131868 1.31868132],0
v1,1,0.090102,2.872558,[56 27] ; [2 4],[54.08988764 28.91011236] ; [3.91011236 2.08988764],0
p3,1,0.149316,2.079227,[65 20] ; [3 3],[63.51648352 21.48351648] ; [4.48351648 1.51648352],0
s3,1,0.179622,1.800746,[52 33] ; [2 4],[50.43956044 34.56043956] ; [3.56043956 2.43956044],0
b4,1,0.223669,1.480677,[50 36] ; [5 1],[51.41304348 34.58695652] ; [3.58695652 2.41304348],0
s8,1,0.232527,1.425339,[49 35] ; [2 4],[47.6 36.4] ; [3.4 2.6],0
v2,1,0.242828,1.364098,[48 35] ; [2 4],[46.62921348 36.37078652] ; [3.37078652 2.62921348],0
b5,1,0.285137,1.142444,[38 48] ; [4 2],[39.26086957 46.73913043] ; [2.73913043 3.26086957],0
n6,1,0.293705,1.102562,[79  6] ; [4 1],[78.38888889  6.61111111] ; [4.61111111 0.38888889],0
s1,1,0.38675,0.749137,[ 6 80] ; [1 5],[ 6.54347826 79.45652174] ; [0.45652174 5.54347826],0
p9,1,0.393339,0.728595,[79  6] ; [5 1],[78.46153846  6.53846154] ; [5.53846154 0.46153846],0
d3,1,0.39415,0.726101,[57 28] ; [3 3],[56.04395604 28.95604396] ; [3.95604396 2.04395604],0
s6,1,0.407797,0.685213,[67 16] ; [4 2],[66.21348315 16.78651685] ; [4.78651685 1.21348315],0
p6,1,0.420725,0.648289,[49 35] ; [2 3],[48.13483146 35.86516854] ; [2.86516854 2.13483146],0
r1,1,0.476376,0.507149,[68 18] ; [4 2],[67.30434783 18.69565217] ; [4.69565217 1.30434783],0
s5,1,0.53797,0.379315,[52 31] ; [3 3],[51.29213483 31.70786517] ; [3.70786517 2.29213483],0
p1,1,0.549575,0.358079,[24 62] ; [1 5],[23.36956522 62.63043478] ; [1.63043478 4.36956522],0
a3,1,0.586775,0.29541,[63 23] ; [5 1],[63.56521739 22.43478261] ; [4.43478261 1.56521739],0
b1,1,0.604129,0.268813,[38 48] ; [2 4],[37.39130435 48.60869565] ; [2.60869565 3.39130435],0
a6,1,0.629837,0.232282,[51 34] ; [3 3],[50.43956044 34.56043956] ; [3.56043956 2.43956044],0
a4,1,0.642379,0.215644,[37 49] ; [2 4],[36.45652174 49.54347826] ; [2.54347826 3.45652174],0
p2,1,0.64324,0.21453,[75 11] ; [4 1],[74.65934066 11.34065934] ; [4.34065934 0.65934066],0
p10,1,0.654001,0.200893,[75  9] ; [5 1],[74.66666667  9.33333333] ; [5.33333333 0.66666667],0
p12,1,0.656672,0.197591,[21 64] ; [1 5],[20.54945055 64.45054945] ; [1.45054945 4.54945055],0
a5,1,0.666907,0.185241,[65 21] ; [5 1],[65.43478261 20.56521739] ; [4.56521739 1.43478261],0
b3,1,0.667013,0.185116,[31 31] ; [2 3],[30.53731343 31.46268657] ; [2.46268657 2.53731343],0
b2,1,0.667013,0.185116,[31 31] ; [2 3],[30.53731343 31.46268657] ; [2.46268657 2.53731343],0
n5,1,0.713028,0.135272,[76 10] ; [5 1],[75.7173913 10.2826087] ; [5.2826087 0.7173913],0
p7,1,0.724254,0.124453,[64 19] ; [5 1],[64.34831461 18.65168539] ; [4.65168539 1.34831461],0
d1,1,0.738905,0.111091,[49 37] ; [3 3],[48.60869565 37.39130435] ; [3.39130435 2.60869565],0
n3,1,0.741681,0.108655,[13  8] ; [1 1],[12.7826087  8.2173913] ; [1.2173913 0.7826087],0
d5,1,0.745121,0.105677,[66 19] ; [5 1],[66.31868132 18.68131868] ; [4.68131868 1.31868132],0
p11,1,0.853649,0.034027,[74 12] ; [5 1],[73.84782609 12.15217391] ; [5.15217391 0.84782609],0
a2,1,0.961369,0.002346,[15 71] ; [1 5],[14.95652174 71.04347826] ; [1.04347826 4.95652174],0
a8,1,0.978728,0.000711,[13 67] ; [1 5],[13.02325581 66.97674419] ; [0.97674419 5.02325581],0
p4,1,1.0,0.0,[70 14] ; [5 1],[70. 14.] ; [5. 1.],0
