Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,54.830535,[268  64] ; [112 108],[228.55072464 103.44927536] ; [151.44927536  68.55072464],1
p8,1,0.0,25.677985,[250  80] ; [120  98],[222.81021898 107.18978102] ; [147.18978102  70.81021898],1
p5,1,1e-06,23.813687,[ 65 266] ; [ 11 209],[ 45.65517241 285.34482759] ; [ 30.34482759 189.65517241],1
u1,1,1.9e-05,18.29781,[ 79 253] ; [ 21 200],[ 60.03616637 271.96383363] ; [ 39.96383363 181.03616637],1
v3,1,5.2e-05,16.367282,[159 165] ; [ 67 146],[136.3575419 187.6424581] ; [ 89.6424581 123.3575419],1
p6,1,5.2e-05,16.360499,[181 146] ; [ 83 137],[157.82084095 169.17915905] ; [106.17915905 113.82084095],1
s7,1,0.000109,14.97613,[190 125] ; [ 92 121],[168.23863636 146.76136364] ; [113.76136364  99.23863636],1
p10,1,0.000726,11.422045,[294  36] ; [172  47],[280.10928962  49.89071038] ; [185.89071038  33.10928962],1
a5,1,0.001039,10.756536,[261  71] ; [146  75],[244.34719711  87.65280289] ; [162.65280289  58.34719711],0
p9,1,0.001446,10.146673,[298  32] ; [177  42],[285.51912568  44.48087432] ; [189.48087432  29.51912568],0
p12,1,0.001474,10.11094,[ 37 294] ; [  8 213],[ 26.98369565 304.01630435] ; [ 18.01630435 202.98369565],0
v1,1,0.002564,9.094161,[202 124] ; [105 110],[184.99445471 141.00554529] ; [122.00554529  92.99445471],0
a2,1,0.003815,8.369955,[ 96 236] ; [ 40 181],[ 81.64918626 250.35081374] ; [ 54.35081374 166.64918626],0
n4,1,0.00629,7.465308,[273  58] ; [160  60],[260.11433757  70.88566243] ; [172.88566243  47.11433757],0
v2,1,0.008562,6.911974,[206 117] ; [111 101],[191.38504673 131.61495327] ; [125.61495327  86.38504673],0
s5,1,0.011898,6.326065,[136 185] ; [ 69 149],[122.08719852 198.91280148] ; [ 82.91280148 135.08719852],0
d1,1,0.012828,6.192682,[211 121] ; [117 104],[196.91862568 135.08137432] ; [131.08137432  89.91862568],0
s8,1,0.01474,5.947258,[173 157] ; [ 92 128],[159. 171.] ; [106. 114.],0
p1,1,0.02023,5.391937,[ 37 293] ; [ 12 208],[ 29.4 300.6] ; [ 19.6 200.4],0
r4,1,0.020478,5.370639,[318  14] ; [201  20],[311.58770344  20.41229656] ; [207.41229656  13.58770344],0
a4,1,0.022508,5.206056,[159 172] ; [ 84 136],[145.97640653 185.02359347] ; [ 97.02359347 122.97640653],0
u3,1,0.027004,4.890525,[51 31] ; [30 38],[44.28 37.72] ; [36.72 31.28],0
b2,1,0.028543,4.794987,[ 90 124] ; [39 90],[ 80.48396501 133.51603499] ; [48.51603499 80.48396501],0
b3,1,0.028543,4.794987,[ 90 124] ; [39 90],[ 80.48396501 133.51603499] ; [48.51603499 80.48396501],0
d2,1,0.030597,4.67542,[170 162] ; [ 92 128],[157.57971014 174.42028986] ; [104.42028986 115.57971014],0
