Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,75.76282,[158  44] ; [ 85 147],[113.10138249  88.89861751] ; [129.89861751 102.10138249],1
p4,1,0.0,49.0605,[137  68] ; [ 78 156],[100.39863326 104.60136674] ; [114.60136674 119.39863326],1
p6,1,0.0,37.597994,[ 82 123] ; [ 33 200],[ 53.82420091 151.17579909] ; [ 61.17579909 171.82420091],1
p3,1,0.0,30.593779,[111  96] ; [ 65 169],[ 82.6122449 124.3877551] ; [ 93.3877551 140.6122449],1
p10,1,5e-06,20.900168,[173  32] ; [152  81],[152.11187215  52.88812785] ; [172.88812785  60.11187215],1
p2,1,5e-06,20.692276,[182  24] ; [166  69],[162.55782313  43.44217687] ; [185.44217687  49.55782313],1
p11,1,0.000237,13.511285,[176  31] ; [166  70],[159.80586907  47.19413093] ; [182.19413093  53.80586907],1
p9,1,0.000294,13.106868,[174  30] ; [165  68],[158.25171625  45.74828375] ; [180.74828375  52.25171625],1
a5,1,0.000696,11.500841,[152  55] ; [137  99],[135.04063205  71.95936795] ; [153.95936795  82.04063205],1
d1,1,0.005623,7.667363,[122  85] ; [108 128],[107.4717833  99.5282167] ; [122.5282167 113.4717833],0
r4,1,0.008421,6.941652,[192  15] ; [200  36],[183.16930023  23.83069977] ; [208.83069977  27.16930023],0
p5,1,0.011422,6.398463,[ 19 188] ; [  8 227],[ 12.64479638 194.35520362] ; [ 14.35520362 220.64479638],0
v1,1,0.016114,5.790337,[109  93] ; [ 97 132],[ 96.54756381 105.45243619] ; [109.45243619 119.54756381],0
n5,1,0.025884,4.963752,[146  59] ; [143  91],[134.95444191  70.04555809] ; [154.04555809  79.95444191],0
n4,1,0.026563,4.918986,[148  58] ; [146  90],[137.02262443  68.97737557] ; [156.97737557  79.02262443],0
d5,1,0.02709,4.885064,[169  38] ; [171  64],[159.23076923  47.76923077] ; [180.76923077  54.23076923],0
v2,1,0.031156,4.644348,[111  88] ; [100 121],[99.97380952 99.02619048] ; [111.02619048 109.97380952],0
r1,1,0.057283,3.614345,[164  42] ; [168  66],[155.43636364  50.56363636] ; [176.56363636  57.43636364],0
n6,1,0.059916,3.539704,[172  34] ; [180  56],[164.05429864  41.94570136] ; [187.94570136  48.05429864],0
s8,1,0.062713,3.464142,[ 47 160] ; [ 37 198],[ 39.33936652 167.66063348] ; [ 44.66063348 190.33936652],0
p12,1,0.066108,3.377096,[ 15 191] ; [  8 228],[ 10.71945701 195.28054299] ; [ 12.28054299 223.71945701],0
s5,1,0.080181,3.061226,[ 52 148] ; [ 43 184],[ 44.49648712 155.50351288] ; [ 50.50351288 176.49648712],0
p1,1,0.086519,2.937976,[ 19 186] ; [ 12 224],[ 14.41043084 190.58956916] ; [ 16.58956916 219.41043084],0
d2,1,0.104227,2.639648,[ 94 113] ; [ 88 145],[ 85.62272727 121.37727273] ; [ 96.37727273 136.62272727],0
a7,1,0.1234,2.373627,[157  49] ; [163  71],[149.81818182  56.18181818] ; [170.18181818  63.81818182],0
s4,1,0.140282,2.174866,[ 23 179] ; [ 38 195],[ 28.32643678 173.67356322] ; [ 32.67356322 200.32643678],0
d3,1,0.149375,2.078617,[141  66] ; [144  90],[133.7755102  73.2244898] ; [151.2244898  82.7755102],0
u2,1,0.149736,2.07494,[41 47] ; [50 37],[45.76 42.24] ; [45.24 41.76],0
v3,1,0.180485,1.793625,[ 69 130] ; [ 65 162],[ 62.59624413 136.40375587] ; [ 71.40375587 155.59624413],0
d4,1,0.202595,1.623568,[168  39] ; [179  56],[162.50904977  44.49095023] ; [184.49095023  50.50904977],0
s6,1,0.204658,1.608817,[107  92] ; [112 123],[100.41705069  98.58294931] ; [118.58294931 116.41705069],0
n1,1,0.211777,1.559237,[12 19] ; [21 58],[ 9.3 21.7] ; [23.7 55.3],0
r3,1,0.320315,0.98766,[196  11] ; [217  18],[193.41855204  13.58144796] ; [219.58144796  15.41855204],0
u3,1,0.334352,0.931968,[44 42] ; [52 37],[47.17714286 38.82285714] ; [48.82285714 40.17714286],0
a3,1,0.350843,0.870405,[119  87] ; [146  89],[123.78684807  82.21315193] ; [141.21315193  93.78684807],0
s3,1,0.359924,0.838159,[ 72 130] ; [ 93 140],[ 76.62068966 125.37931034] ; [ 88.37931034 144.62068966],0
s1,1,0.409977,0.678866,[  3 201] ; [  6 225],[  4.22068966 199.77931034] ; [  4.77931034 226.22068966],0
u1,1,0.430868,0.620484,[ 25 182] ; [ 23 213],[ 22.42889391 184.57110609] ; [ 25.57110609 210.42889391],0
r2,1,0.445495,0.582088,[192  11] ; [219  17],[190.0523918  12.9476082] ; [220.9476082  15.0523918],0
u4,1,0.487321,0.482435,[  2 205] ; [  1 235],[  1.40180587 205.59819413] ; [  1.59819413 234.40180587],0
a8,1,0.577604,0.310125,[ 20 167] ; [ 20 201],[ 18.33333333 168.66666667] ; [ 21.66666667 199.33333333],0
n2,1,0.593142,0.285464,[22 10] ; [59 21],[23.14285714  8.85714286] ; [57.85714286 22.14285714],0
s2,1,0.59715,0.279315,[ 58 147] ; [ 71 161],[ 60.51487414 144.48512586] ; [ 68.48512586 163.51487414],0
a1,1,0.639968,0.218784,[  7 200] ; [ 10 226],[  7.94356659 199.05643341] ; [  9.05643341 226.94356659],0
a2,1,0.697802,0.150769,[ 38 169] ; [ 40 196],[ 36.4469526 170.5530474] ; [ 41.5530474 194.4469526],0
b5,1,0.768285,0.086801,[130  77] ; [145  91],[128.49887133  78.50112867] ; [146.50112867  89.49887133],0
a4,1,0.825968,0.048345,[ 81 125] ; [ 90 145],[ 79.87755102 126.12244898] ; [ 91.12244898 143.87755102],0
b4,1,0.882311,0.021916,[124  83] ; [143  93],[124.76072235  82.23927765] ; [142.23927765  93.76072235],0
b1,1,0.911247,0.012425,[ 77 130] ; [ 89 147],[ 77.56659142 129.43340858] ; [ 88.43340858 147.56659142],0
b2,1,0.921759,0.009647,[37 77] ; [40 81],[37.35319149 76.64680851] ; [39.64680851 81.35319149],0
b3,1,0.921759,0.009647,[37 77] ; [40 81],[37.35319149 76.64680851] ; [39.64680851 81.35319149],0
n3,1,0.930059,0.007704,[23  8] ; [60 20],[23.18018018  7.81981982] ; [59.81981982 20.18018018],0
a6,1,0.981223,0.000554,[141  66] ; [161  75],[141.11512415  65.88487585] ; [160.88487585  75.11512415],0
