Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,53.186862,[315  29] ; [12 15],[303.20215633  40.79784367] ; [23.79784367  3.20215633],1
r2,1,0.0,38.09664,[327  15] ; [16  9],[319.63487738  22.36512262] ; [23.36512262  1.63487738],1
p2,1,0.001096,10.658745,[254  90] ; [12 15],[246.64150943  97.35849057] ; [19.35849057  7.64150943],0
r1,1,0.003272,8.649321,[264  78] ; [14 13],[257.65853659  84.34146341] ; [20.34146341  6.65853659],0
s6,1,0.00677,7.332973,[197 142] ; [ 8 18],[190.39726027 148.60273973] ; [14.60273973 11.39726027],0
v1,1,0.010028,6.629887,[151 183] ; [ 5 21],[144.73333333 189.26666667] ; [11.26666667 14.73333333],0
p9,1,0.011366,6.407229,[266  70] ; [15 11],[260.81767956  75.18232044] ; [20.18232044  5.81767956],0
p7,1,0.016062,5.796108,[166 166] ; [ 7 20],[159.98885794 172.01114206] ; [13.01114206 13.98885794],0
p10,1,0.016307,5.769497,[249  90] ; [14 13],[243.59836066  95.40163934] ; [19.40163934  7.59836066],0
a6,1,0.016332,5.76679,[230 112] ; [12 15],[224.29268293 117.70731707] ; [17.70731707  9.29268293],0
d3,1,0.02189,5.254529,[215 126] ; [11 16],[209.41847826 131.58152174] ; [16.58152174 10.41847826],0
v3,1,0.02938,4.745223,[117 213] ; [ 4 23],[111.8487395 218.1512605] ; [ 9.1512605 17.8487395],0
b4,1,0.034666,4.461547,[196 148] ; [21  6],[201.20754717 142.79245283] ; [15.79245283 11.20754717],0
a5,1,0.061804,3.488303,[227 117] ; [13 14],[222.53369272 121.46630728] ; [17.46630728  9.53369272],0
n6,1,0.080853,3.047673,[274  69] ; [17  9],[270.49593496  72.50406504] ; [20.50406504  5.49593496],0
n5,1,0.099987,2.705753,[219 123] ; [13 14],[215.02439024 126.97560976] ; [16.97560976 10.02439024],0
a2,1,0.113958,2.498452,[ 68 276] ; [ 2 25],[ 64.90566038 279.09433962] ; [ 5.09433962 21.90566038],0
n2,1,0.123983,2.366267,[79 25] ; [6 5],[76.86956522 27.13043478] ; [8.13043478 2.86956522],0
p3,1,0.135349,2.230055,[ 81 262] ; [ 3 24],[ 77.87027027 265.12972973] ; [ 6.12972973 20.87027027],0
s2,1,0.146789,2.105311,[150 191] ; [ 8 19],[146.4076087 194.5923913] ; [11.5923913 15.4076087],0
b1,1,0.166372,1.915334,[120 224] ; [13 14],[123.32075472 220.67924528] ; [ 9.67924528 17.32075472],0
a4,1,0.170379,1.879608,[135 209] ; [ 7 20],[131.66576819 212.33423181] ; [10.33423181 16.66576819],0
v2,1,0.183618,1.768096,[174 148] ; [11 16],[170.68767908 151.31232092] ; [14.31232092 12.68767908],0
s4,1,0.204463,1.610204,[ 57 284] ; [ 2 25],[ 54.67119565 286.32880435] ; [ 4.32880435 22.67119565],0
d4,1,0.21886,1.511829,[271  72] ; [24  3],[273.47297297  69.52702703] ; [21.52702703  5.47297297],0
p8,1,0.219846,1.505376,[118 220] ; [ 6 20],[115.14285714 222.85714286] ; [ 8.85714286 17.14285714],0
a8,1,0.228665,1.449144,[ 44 276] ; [ 6 21],[ 46.10951009 273.89048991] ; [ 3.89048991 23.10951009],0
u2,1,0.252474,1.309563,[59 52] ; [3 6],[57.35 53.65] ; [4.65 4.35],0
s1,1,0.260729,1.264881,[ 11 328] ; [ 2 25],[ 12.04098361 326.95901639] ; [ 0.95901639 26.04098361],0
u4,1,0.270207,1.215695,[  4 340] ; [ 1 26],[  4.6361186 339.3638814] ; [ 0.3638814 26.6361186],0
u3,1,0.275577,1.188772,[59 54] ; [3 6],[57.42622951 55.57377049] ; [4.57377049 4.42622951],0
s8,1,0.311383,1.024802,[122 221] ; [ 7 20],[119.58648649 223.41351351] ; [ 9.41351351 17.58648649],0
b2,1,0.335839,0.926251,[ 65 119] ; [8 9],[ 66.82587065 117.17412935] ; [ 6.17412935 10.82587065],0
b3,1,0.335839,0.926251,[ 65 119] ; [8 9],[ 66.82587065 117.17412935] ; [ 6.17412935 10.82587065],0
b5,1,0.366207,0.816494,[221 123] ; [15 12],[218.82479784 125.17520216] ; [17.17520216  9.82479784],0
n4,1,0.372544,0.795162,[232 111] ; [16 11],[229.9027027 113.0972973] ; [18.0972973  8.9027027],0
n1,1,0.382199,0.763617,[33 69] ; [5 6],[34.30088496 67.69911504] ; [3.69911504 7.30088496],0
s5,1,0.451205,0.567622,[ 85 243] ; [ 5 21],[ 83.38983051 244.61016949] ; [ 6.61016949 19.38983051],0
d2,1,0.463954,0.536339,[140 202] ; [13 14],[141.80487805 200.19512195] ; [11.19512195 15.80487805],0
s3,1,0.464432,0.535192,[177 165] ; [12 15],[175.17073171 166.82926829] ; [13.82926829 13.17073171],0
n3,1,0.502585,0.449473,[72 31] ; [8 2],[72.92035398 30.07964602] ; [7.07964602 2.92035398],0
a7,1,0.508346,0.437471,[237 106] ; [17 10],[235.46486486 107.53513514] ; [18.53513514  8.46486486],0
