Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,75.893571,[373  20] ; [3 8],[365.76237624  27.23762376] ; [10.23762376  0.76237624],1
r2,1,0.0,43.388222,[382   8] ; [7 4],[378.32917706  11.67082294] ; [10.67082294  0.32917706],1
r1,1,8.7e-05,15.403203,[324  67] ; [4 7],[319.02487562  71.97512438] ; [8.97512438 2.02487562],1
d4,1,0.016998,5.696623,[343  47] ; [7 4],[340.39900249  49.60099751] ; [9.60099751 1.39900249],0
s8,1,0.046365,3.968292,[256 135] ; [4 7],[252.88557214 138.11442786] ; [7.11442786 3.88557214],0
b1,1,0.074073,3.190377,[146 247] ; [7 4],[148.83415842 244.16584158] ; [4.16584158 6.83415842],0
s6,1,0.078502,3.095652,[342  45] ; [7 3],[340.20906801  46.79093199] ; [8.79093199 1.20906801],0
p7,1,0.111368,2.534694,[260 121] ; [5 6],[257.56377551 123.43622449] ; [7.43622449 3.56377551],0
p8,1,0.127131,2.327193,[212 178] ; [3 7],[209.625 180.375] ; [5.375 4.625],0
a7,1,0.132605,2.261741,[292  99] ; [6 5],[289.84577114 101.15422886] ; [8.15422886 2.84577114],0
a4,1,0.134839,2.235887,[197 196] ; [3 8],[194.55445545 198.44554455] ; [5.44554455 5.55445545],0
d1,1,0.142724,2.14834,[262 131] ; [5 6],[259.73019802 133.26980198] ; [7.26980198 3.73019802],0
d3,1,0.188979,1.725561,[283 107] ; [6 5],[281.0723192 108.9276808] ; [7.9276808 3.0723192],0
b5,1,0.263216,1.251765,[244 149] ; [5 6],[242.22029703 150.77970297] ; [6.77970297 4.22029703],0
u1,1,0.286587,1.135584,[ 89 304] ; [ 1 10],[ 87.54950495 305.45049505] ; [2.45049505 8.54950495],0
v3,1,0.292585,1.107689,[162 213] ; [3 8],[160.29792746 214.70207254] ; [4.70207254 6.29792746],0
n2,1,0.300553,1.071739,[68 17] ; [1 1],[67.4137931 17.5862069] ; [1.5862069 0.4137931],0
b4,1,0.305559,1.049775,[225 168] ; [8 3],[226.65594059 166.34405941] ; [6.34405941 4.65594059],0
d5,1,0.314946,1.009818,[327  62] ; [8 3],[325.7875  63.2125] ; [9.2125 1.7875],0
v1,1,0.326949,0.960944,[228 151] ; [5 6],[226.42820513 152.57179487] ; [6.57179487 4.42820513],0
u2,1,0.355324,0.854354,[54 36] ; [1 2],[53.22580645 36.77419355] ; [1.77419355 1.22580645],0
v2,1,0.358637,0.842661,[221 154] ; [8 3],[222.47409326 152.52590674] ; [6.52590674 4.47409326],0
p4,1,0.366188,0.816559,[264 127] ; [6 5],[262.6119403 128.3880597] ; [7.3880597 3.6119403],0
n5,1,0.37144,0.798842,[313  78] ; [10  1],[314.16169154  76.83830846] ; [8.83830846 2.16169154],0
a6,1,0.380103,0.77037,[262 128] ; [6 5],[260.64837905 129.35162095] ; [7.35162095 3.64837905],0
s7,1,0.386437,0.750124,[276 105] ; [6 4],[274.78772379 106.21227621] ; [7.21227621 2.78772379],0
n3,1,0.415955,0.661715,[64 21] ; [1 1],[63.50574713 21.49425287] ; [1.49425287 0.50574713],0
s1,1,0.421185,0.647005,[ 16 372] ; [ 1 10],[ 16.53132832 371.46867168] ; [ 0.46867168 10.53132832],0
n6,1,0.432671,0.615643,[343  46] ; [8 2],[342.20300752  46.79699248] ; [8.79699248 1.20300752],0
a2,1,0.463355,0.537778,[111 282] ; [2 9],[109.92326733 283.07673267] ; [3.07673267 7.92326733],0
s3,1,0.494591,0.466524,[347  45] ; [9 2],[346.28287841  45.71712159] ; [9.71712159 1.28287841],0
s5,1,0.505413,0.443553,[189 184] ; [4 6],[187.96083551 185.03916449] ; [5.03916449 4.96083551],0
n4,1,0.550352,0.356687,[313  78] ; [8 3],[312.21641791  78.78358209] ; [8.78358209 2.21641791],0
p6,1,0.558899,0.341614,[178 212] ; [6 5],[178.95261845 211.04738155] ; [5.04738155 5.95261845],0
p11,1,0.559752,0.340134,[314  79] ; [8 3],[313.23267327  79.76732673] ; [8.76732673 2.23267327],0
p3,1,0.563256,0.334097,[215 177] ; [7 4],[215.94044665 176.05955335] ; [6.05955335 4.94044665],0
d2,1,0.588319,0.292977,[210 181] ; [5 6],[209.11691542 181.88308458] ; [5.88308458 5.11691542],0
s4,1,0.633953,0.226739,[ 95 294] ; [2 9],[ 94.3325 294.6675] ; [2.6675 8.3325],0
p5,1,0.647017,0.209682,[ 54 334] ; [ 1 10],[ 53.48370927 334.51629073] ; [1.51629073 9.48370927],0
a1,1,0.685379,0.164133,[ 24 369] ; [ 1 10],[ 24.31930693 368.68069307] ; [ 0.68069307 10.31930693],0
p12,1,0.735163,0.114424,[ 49 343] ; [ 1 10],[ 48.63523573 343.36476427] ; [1.36476427 9.63523573],0
a3,1,0.753588,0.098541,[301  91] ; [8 3],[300.56575682  91.43424318] ; [8.43424318 2.56575682],0
a5,1,0.769282,0.086033,[307  86] ; [9 2],[307.3960396  85.6039604] ; [8.6039604 2.3960396],0
n1,1,0.828818,0.04675,[36 49] ; [1 1],[36.14942529 48.85057471] ; [0.85057471 1.14942529],0
a8,1,0.844443,0.0385,[ 58 305] ; [2 9],[ 58.23529412 304.76470588] ; [1.76470588 9.23529412],0
b3,1,0.88705,0.020175,[ 96 144] ; [3 5],[ 95.80645161 144.19354839] ; [3.19354839 4.80645161],0
b2,1,0.88705,0.020175,[ 96 144] ; [3 5],[ 95.80645161 144.19354839] ; [3.19354839 4.80645161],0
