Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,68.234986,[60 15] ; [12 71],[34.17721519 40.82278481] ; [37.82278481 45.17721519],1
s7,1,0.0,30.299212,[44 27] ; [14 64],[27.63758389 43.36241611] ; [30.36241611 47.63758389],1
s6,1,3e-06,21.561599,[57 17] ; [33 49],[42.69230769 31.30769231] ; [47.30769231 34.69230769],1
v1,1,2.1e-05,18.126393,[43 30] ; [21 62],[29.94871795 43.05128205] ; [34.05128205 48.94871795],1
s8,1,2.8e-05,17.515518,[41 33] ; [19 64],[28.28025478 45.71974522] ; [31.71974522 51.28025478],1
p9,1,0.006558,7.390217,[55 18] ; [44 37],[46.92857143 26.07142857] ; [52.07142857 28.92857143],0
r3,1,0.016339,5.766033,[72  3] ; [71 13],[67.45283019  7.54716981] ; [75.54716981  8.45283019],0
n1,1,0.021258,5.305521,[14 11] ; [ 7 21],[ 9.90566038 15.09433962] ; [11.09433962 16.90566038],0
p10,1,0.030714,4.668876,[53 21] ; [45 37],[46.48717949 27.51282051] ; [51.51282051 30.48717949],0
p7,1,0.072217,3.231889,[30 40] ; [24 59],[24.70588235 45.29411765] ; [29.29411765 53.70588235],0
s5,1,0.08159,3.032934,[24 46] ; [17 62],[19.26174497 50.73825503] ; [21.73825503 57.26174497],0
p8,1,0.104538,2.634906,[14 61] ; [25 59],[18.39622642 56.60377358] ; [20.60377358 63.39622642],0
a4,1,0.107877,2.585055,[39 36] ; [33 51],[33.96226415 41.03773585] ; [38.03773585 45.96226415],0
r1,1,0.125563,2.346521,[59 16] ; [57 27],[54.71698113 20.28301887] ; [61.28301887 22.71698113],0
a8,1,0.127052,2.328161,[ 9 65] ; [ 4 73],[ 6.37086093 67.62913907] ; [ 6.62913907 70.37086093],0
u4,1,0.13511,2.232785,[ 4 71] ; [ 1 83],[ 2.35849057 72.64150943] ; [ 2.64150943 81.35849057],0
n5,1,0.158793,1.985687,[52 22] ; [50 34],[47.7721519 26.2278481] ; [54.2278481 29.7721519],0
p11,1,0.17481,1.841202,[49 26] ; [46 38],[44.81132075 30.18867925] ; [50.18867925 33.81132075],0
v2,1,0.182991,1.773166,[40 30] ; [37 43],[35.93333333 34.06666667] ; [41.06666667 38.93333333],0
r4,1,0.198183,1.655717,[67  8] ; [69 15],[64.1509434 10.8490566] ; [71.8490566 12.1509434],0
s4,1,0.200261,1.640468,[18 57] ; [13 69],[14.8089172 60.1910828] ; [16.1910828 65.8089172],0
n6,1,0.231137,1.433849,[52 22] ; [66 18],[55.26582278 18.73417722] ; [62.73417722 21.26582278],0
u1,1,0.234457,1.413614,[14 61] ; [10 74],[11.32075472 63.67924528] ; [12.67924528 71.32075472],0
p12,1,0.246981,1.340299,[ 7 67] ; [ 4 80],[ 5.15189873 68.84810127] ; [ 5.84810127 78.15189873],0
b5,1,0.279178,1.171086,[50 25] ; [49 35],[46.69811321 28.30188679] ; [52.30188679 31.69811321],0
b2,1,0.285209,1.142099,[15 33] ; [22 31],[17.58415842 30.41584158] ; [19.41584158 33.58415842],0
b3,1,0.285209,1.142099,[15 33] ; [22 31],[17.58415842 30.41584158] ; [19.41584158 33.58415842],0
n2,1,0.315717,1.006606,[21  5] ; [20  9],[19.38181818  6.61818182] ; [21.61818182  7.38181818],0
n4,1,0.352003,0.866223,[50 25] ; [50 34],[47.16981132 27.83018868] ; [52.83018868 31.16981132],0
d2,1,0.361138,0.833931,[37 36] ; [36 47],[34.16025641 38.83974359] ; [38.83974359 44.16025641],0
p5,1,0.364532,0.822221,[ 7 64] ; [ 5 79],[ 5.49677419 65.50322581] ; [ 6.50322581 77.49677419],0
p1,1,0.40114,0.704905,[ 6 69] ; [ 4 80],[ 4.71698113 70.28301887] ; [ 5.28301887 78.71698113],0
u3,1,0.450259,0.57,[18  7] ; [20 12],[16.66666667  8.33333333] ; [21.33333333 10.66666667],0
d1,1,0.460673,0.544258,[41 34] ; [41 43],[38.67924528 36.32075472] ; [43.32075472 40.67924528],0
b1,1,0.482973,0.492143,[39 36] ; [39 45],[36.79245283 38.20754717] ; [41.20754717 42.79245283],0
p4,1,0.489197,0.478292,[27 46] ; [26 56],[24.96129032 48.03870968] ; [28.03870968 53.96129032],0
a3,1,0.531941,0.390683,[50 25] ; [52 32],[48.11320755 26.88679245] ; [53.88679245 30.11320755],0
p3,1,0.535702,0.383563,[26 47] ; [26 58],[24.17834395 48.82165605] ; [27.82165605 56.17834395],0
d3,1,0.58428,0.299367,[44 29] ; [47 37],[42.31210191 30.68789809] ; [48.68789809 35.31210191],0
a6,1,0.591005,0.288777,[43 30] ; [53 31],[44.63694268 28.36305732] ; [51.36305732 32.63694268],0
s1,1,0.595225,0.282258,[ 6 68] ; [ 5 79],[ 5.15189873 68.84810127] ; [ 5.84810127 78.15189873],0
d5,1,0.603301,0.270046,[54 19] ; [59 25],[52.54140127 20.45859873] ; [60.45859873 23.54140127],0
a5,1,0.621527,0.243728,[51 24] ; [54 30],[49.52830189 25.47169811] ; [55.47169811 28.52830189],0
v3,1,0.68318,0.166568,[23 45] ; [30 51],[24.18791946 43.81208054] ; [28.81208054 52.18791946],0
a1,1,0.691248,0.157738,[ 5 70] ; [ 7 77],[ 5.66037736 69.33962264] ; [ 6.33962264 77.66037736],0
u2,1,0.698022,0.150538,[15 10] ; [17 14],[14.28571429 10.71428571] ; [17.71428571 13.28571429],0
a2,1,0.719707,0.128774,[16 59] ; [16 68],[15.09433962 59.90566038] ; [16.90566038 67.09433962],0
p6,1,0.780129,0.077925,[17 56] ; [18 66],[16.27388535 56.72611465] ; [18.72611465 65.27388535],0
a7,1,0.784847,0.074534,[48 27] ; [52 32],[47.16981132 27.83018868] ; [52.83018868 31.16981132],0
d4,1,0.802706,0.062423,[56 17] ; [63 21],[55.33121019 17.66878981] ; [63.66878981 20.33121019],0
n3,1,0.839955,0.040784,[16  9] ; [18  9],[16.34615385  8.65384615] ; [17.65384615  9.34615385],0
b4,1,0.875429,0.024576,[42 33] ; [46 38],[41.50943396 33.49056604] ; [46.49056604 37.50943396],0
r2,1,0.889714,0.019228,[70  5] ; [77  6],[69.77848101  5.22151899] ; [77.22151899  5.77848101],0
