Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.0,30.786448,[ 20 521] ; [ 8 23],[ 26.48251748 514.51748252] ; [ 1.51748252 29.48251748],1
p1,1,0.0,27.601128,[ 27 516] ; [ 9 23],[ 33.99652174 509.00347826] ; [ 2.00347826 29.99652174],1
s7,1,6e-06,20.583239,[190 330] ; [24  7],[201.9600726 318.0399274] ; [12.0399274 18.9600726],1
s1,1,0.000623,11.706089,[ 12 527] ; [ 4 28],[ 15.1033275 523.8966725] ; [ 0.8966725 31.1033275],1
s8,1,0.000726,11.422133,[181 364] ; [20 12],[189.85268631 355.14731369] ; [11.14731369 20.85268631],1
p3,1,0.000854,11.119039,[227 316] ; [23  9],[236.08695652 306.91304348] ; [13.91304348 18.08695652],1
p4,1,0.001417,10.184048,[283 258] ; [26  6],[291.7434555 249.2565445] ; [17.2565445 14.7434555],0
p6,1,0.003475,8.539458,[154 382] ; [17 15],[161.36619718 374.63380282] ; [ 9.63380282 22.36619718],0
p8,1,0.006672,7.35924,[253 283] ; [23  9],[260.45070423 275.54929577] ; [15.54929577 16.45070423],0
s6,1,0.021713,5.268664,[294 248] ; [24  8],[300.271777 241.728223] ; [17.728223 14.271777],0
p9,1,0.039579,4.235849,[423 115] ; [30  2],[427.56842105 110.43157895] ; [25.43157895  6.56842105],0
n5,1,0.039613,4.234388,[382 159] ; [28  4],[387.10296684 153.89703316] ; [22.89703316  9.10296684],0
b3,1,0.041513,4.154959,[102 212] ; [14 13],[106.81524927 207.18475073] ; [ 9.18475073 17.81524927],0
b2,1,0.041513,4.154959,[102 212] ; [14 13],[106.81524927 207.18475073] ; [ 9.18475073 17.81524927],0
n3,1,0.091479,2.848147,[94 38] ; [4 5],[91.74468085 40.25531915] ; [6.25531915 2.74468085],0
r3,1,0.10243,2.66729,[515  30] ; [28  4],[512.88561525  32.11438475] ; [30.11438475  1.88561525],0
p10,1,0.111427,2.533858,[404 134] ; [28  4],[407.74736842 130.25263158] ; [24.25263158  7.74736842],0
s4,1,0.12122,2.401481,[ 66 476] ; [ 1 31],[ 63.26480836 478.73519164] ; [ 3.73519164 28.26480836],0
n1,1,0.124987,2.353686,[41 92] ; [5 4],[43.08450704 89.91549296] ; [2.91549296 6.08450704],0
r2,1,0.135788,2.225053,[509  32] ; [28  4],[507.0104712  33.9895288] ; [29.9895288  2.0104712],0
p7,1,0.168417,1.896974,[311 221] ; [22  9],[314.6642984 217.3357016] ; [18.3357016 12.6642984],0
v1,1,0.174796,1.841325,[252 281] ; [18 12],[255.61278863 277.38721137] ; [14.38721137 15.61278863],0
a6,1,0.200664,1.637536,[382 163] ; [19 13],[378.76083189 166.23916811] ; [22.23916811  9.76083189],0
u1,1,0.212293,1.55572,[ 76 470] ; [ 7 25],[ 78.40484429 467.59515571] ; [ 4.59515571 27.40484429],0
b4,1,0.246127,1.345157,[313 233] ; [15 17],[309.84083045 236.15916955] ; [18.15916955 13.84083045],0
a7,1,0.25815,1.27865,[406 138] ; [21 11],[403.27777778 140.72222222] ; [23.72222222  8.27777778],0
v3,1,0.310997,1.026436,[189 334] ; [14 17],[191.64079422 331.35920578] ; [11.35920578 19.64079422],0
n6,1,0.319784,0.989831,[438 107] ; [28  4],[440.1559792 104.8440208] ; [25.8440208  6.1559792],0
v2,1,0.341403,0.905158,[281 240] ; [14 17],[278.43297101 242.56702899] ; [16.56702899 14.43297101],0
d5,1,0.364365,0.822793,[428 116] ; [23  9],[425.94444444 118.05555556] ; [25.05555556  6.94444444],0
n2,1,0.386519,0.749865,[93 41] ; [5 4],[91.83216783 42.16783217] ; [6.16783217 2.83216783],0
u2,1,0.430223,0.622222,[104  76] ; [4 5],[102.85714286  77.14285714] ; [5.14285714 3.85714286],0
b5,1,0.442768,0.589097,[344 202] ; [18 14],[341.95847751 204.04152249] ; [20.04152249 11.95847751],0
u3,1,0.450355,0.569757,[103  77] ; [4 5],[101.9047619  78.0952381] ; [5.0952381 3.9047619],0
a8,1,0.460167,0.545489,[ 60 436] ; [ 5 25],[ 61.29277567 434.70722433] ; [ 3.70722433 26.29277567],0
s3,1,0.470207,0.521489,[251 288] ; [17 15],[252.98073555 286.01926445] ; [15.01926445 16.98073555],0
a2,1,0.474966,0.5104,[114 432] ; [ 5 27],[112.41176471 433.58823529] ; [ 6.58823529 25.41176471],0
r4,1,0.508034,0.438114,[482  64] ; [27  5],[480.8200692  65.1799308] ; [28.1799308  3.8200692],0
n4,1,0.52637,0.401395,[398 147] ; [25  7],[399.5407279 145.4592721] ; [23.4592721  8.5407279],0
b1,1,0.53658,0.381916,[209 337] ; [14 18],[210.65397924 335.34602076] ; [12.34602076 19.65397924],0
a3,1,0.547287,0.3622,[363 181] ; [23  9],[364.55555556 179.44444444] ; [21.44444444 10.55555556],0
d3,1,0.551055,0.35543,[367 176] ; [20 12],[365.4626087 177.5373913] ; [21.5373913 10.4626087],0
u4,1,0.602721,0.270911,[ 10 536] ; [ 1 31],[ 10.39100346 535.60899654] ; [ 0.60899654 31.39100346],0
d4,1,0.646924,0.2098,[424 121] ; [26  6],[425.04332756 119.95667244] ; [24.95667244  7.04332756],0
p2,1,0.673168,0.177918,[442 101] ; [27  5],[442.89913043 100.10086957] ; [26.10086957  5.89913043],0
a4,1,0.750867,0.100804,[219 324] ; [12 20],[218.14434783 324.85565217] ; [12.85565217 19.14434783],0
a5,1,0.76765,0.087291,[372 174] ; [21 11],[371.24221453 174.75778547] ; [21.75778547 10.24221453],0
a1,1,0.835844,0.042937,[ 21 525] ; [ 1 31],[ 20.78200692 525.21799308] ; [ 1.21799308 30.78200692],0
p11,1,0.931531,0.007382,[423 123] ; [25  7],[423.19723183 122.80276817] ; [24.80276817  7.19723183],0
d1,1,0.936612,0.006325,[294 252] ; [17 15],[293.78200692 252.21799308] ; [17.21799308 14.78200692],0
