Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,65.796974,[194 101] ; [ 40 116],[153.05986696 141.94013304] ; [80.94013304 75.05986696],1
a3,1,0.0,53.379584,[214  81] ; [57 97],[178.05122494 116.94877506] ; [92.94877506 61.05122494],1
a4,1,0.0,47.306547,[147 147] ; [ 26 129],[113.27839644 180.72160356] ; [59.72160356 95.27839644],1
d2,1,0.0,44.331392,[154 139] ; [ 31 124],[120.99330357 172.00669643] ; [64.00669643 90.99330357],1
d5,1,0.0,42.23613,[255  40] ; [92 63],[227.47777778  67.52222222] ; [119.52222222  35.47777778],1
d4,1,0.0,39.791458,[257  38] ; [95 60],[230.75555556  64.24444444] ; [121.24444444  33.75555556],1
a6,1,0.0,30.433232,[228  67] ; [81 75],[202.11751663  92.88248337] ; [106.88248337  49.11751663],1
u1,1,3e-06,21.97491,[ 46 249] ; [  2 154],[ 31.39689579 263.60310421] ; [ 16.60310421 139.39689579],1
r1,1,1.2e-05,19.106246,[240  53] ; [98 57],[221.05803571  71.94196429] ; [116.94196429  38.05803571],1
r4,1,5.5e-05,16.269788,[274  21] ; [125  31],[260.98669623  34.01330377] ; [138.01330377  17.98669623],1
d3,1,0.000124,14.734056,[209  86] ; [81 73],[190.53452116 104.46547884] ; [99.46547884 54.53452116],1
n4,1,0.000141,14.48211,[216  79] ; [86 69],[197.97777778  97.02222222] ; [104.02222222  50.97777778],1
p10,1,0.000354,12.758576,[231  59] ; [98 55],[215.3724605  74.6275395] ; [113.6275395  39.3724605],1
p8,1,0.000696,11.500841,[152 137] ; [55 99],[135.04063205 153.95936795] ; [71.95936795 82.04063205],1
p4,1,0.001118,10.621547,[159 133] ; [58 94],[142.71171171 149.28828829] ; [74.28828829 77.71171171],0
r2,1,0.002788,8.941073,[281  11] ; [138  17],[273.70917226  18.29082774] ; [145.29082774   9.70917226],0
v1,1,0.003376,8.592153,[153 135] ; [58 93],[138.42369021 149.57630979] ; [72.57630979 78.42369021],0
p3,1,0.008045,7.023503,[128 164] ; [ 48 107],[114.97091723 177.02908277] ; [61.02908277 93.97091723],0
s5,1,0.013303,6.128351,[ 73 211] ; [ 23 127],[ 62.8202765 221.1797235] ; [ 33.1797235 116.8202765],0
a7,1,0.014123,6.022663,[225  70] ; [100  53],[214.00669643  80.99330357] ; [110.99330357  42.00669643],0
b3,1,0.015059,5.909598,[ 61 100] ; [17 60],[ 52.76470588 108.23529412] ; [25.23529412 51.76470588],0
b2,1,0.015059,5.909598,[ 61 100] ; [17 60],[ 52.76470588 108.23529412] ; [25.23529412 51.76470588],0
s8,1,0.016591,5.739156,[ 65 229] ; [ 20 136],[ 55.53333333 238.46666667] ; [ 29.46666667 126.53333333],0
n5,1,0.018245,5.572471,[205  88] ; [90 63],[193.80044843  99.19955157] ; [101.19955157  51.80044843],0
v3,1,0.032059,4.595334,[ 99 182] ; [ 38 113],[ 89.11342593 191.88657407] ; [ 47.88657407 103.11342593],0
p2,1,0.032141,4.59097,[240  52] ; [114  41],[231.24832215  60.75167785] ; [122.75167785  32.24832215],0
v2,1,0.0406,4.192646,[152 128] ; [64 82],[141.97183099 138.02816901] ; [74.02816901 71.97183099],0
p9,1,0.043464,4.077273,[235  56] ; [110  42],[226.62528217  64.37471783] ; [118.37471783  33.62528217],0
r3,1,0.105111,2.626232,[280  15] ; [141  14],[275.98888889  19.01111111] ; [145.01111111   9.98888889],0
p12,1,0.187734,1.735308,[ 18 275] ; [  5 149],[ 15.07606264 277.92393736] ; [  7.92393736 146.07606264],0
p11,1,0.205172,1.605167,[233  62] ; [115  41],[227.62749446  67.37250554] ; [120.37250554  35.62749446],0
a8,1,0.266377,1.235308,[ 24 246] ; [ 18 128],[ 27.25961538 242.74038462] ; [ 14.74038462 131.25961538],0
s6,1,0.268906,1.222318,[151 138] ; [71 81],[145.4829932 143.5170068] ; [76.5170068 75.4829932],0
n6,1,0.27355,1.19886,[239  56] ; [118  36],[234.5545657  60.4454343] ; [122.4454343  31.5545657],0
p7,1,0.273639,1.198415,[168 121] ; [79 71],[162.60364465 126.39635535] ; [84.39635535 65.60364465],0
p1,1,0.290178,1.118796,[ 23 271] ; [  8 147],[ 20.29844098 273.70155902] ; [ 10.70155902 144.29844098],0
b5,1,0.295332,1.095156,[180 115] ; [103  53],[185.11086475 109.88913525] ; [97.88913525 58.11086475],0
u3,1,0.321423,0.983147,[47 32] ; [51 47],[43.74011299 35.25988701] ; [54.25988701 43.74011299],0
p5,1,0.328461,0.954957,[ 20 273] ; [  7 148],[ 17.65848214 275.34151786] ; [  9.34151786 145.65848214],0
s3,1,0.374329,0.789245,[105 186] ; [61 90],[109.28959276 181.71040724] ; [56.71040724 94.28959276],0
p6,1,0.37445,0.788844,[ 79 209] ; [ 36 117],[ 75.10204082 212.89795918] ; [ 39.89795918 113.10204082],0
u2,1,0.435101,0.609168,[39 41] ; [53 44],[41.5819209 38.4180791] ; [50.4180791 46.5819209],0
b4,1,0.49325,0.46943,[180 115] ; [90 66],[176.6075388 118.3924612] ; [93.3924612 62.6075388],0
s1,1,0.53117,0.392154,[  5 284] ; [  4 149],[  5.88461538 283.11538462] ; [  3.11538462 149.88461538],0
a1,1,0.647278,0.20935,[ 12 283] ; [  5 151],[ 11.11973392 283.88026608] ; [  5.88026608 150.11973392],0
n2,1,0.65448,0.200299,[52 18] ; [31 13],[50.96491228 19.03508772] ; [32.03508772 11.96491228],0
s2,1,0.66298,0.189924,[ 87 204] ; [ 43 111],[ 85.01123596 205.98876404] ; [ 44.98876404 109.01123596],0
b1,1,0.717475,0.130925,[111 184] ; [ 56 100],[109.23503326 185.76496674] ; [57.76496674 98.23503326],0
n1,1,0.754046,0.098163,[19 48] ; [14 31],[19.74107143 47.25892857] ; [13.25892857 31.74107143],0
s4,1,0.86577,0.028572,[ 40 250] ; [ 22 131],[ 40.58690745 249.41309255] ; [ 21.41309255 131.58690745],0
n3,1,0.946611,0.004484,[51 17] ; [34 11],[51.15044248 16.84955752] ; [33.84955752 11.15044248],0
