Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000485,12.173118,[ 2 26] ; [5 3],[ 5.44444444 22.55555556] ; [1.55555556 6.44444444],1
p8,1,0.015725,5.833333,[ 2 26] ; [3 4],[ 4. 24.] ; [1. 6.],0
p7,1,0.032125,4.591837,[ 4 24] ; [4 4],[ 6.22222222 21.77777778] ; [1.77777778 6.22222222],0
a5,1,0.048595,3.889286,[10 18] ; [6 2],[12.44444444 15.55555556] ; [3.55555556 4.44444444],0
v2,1,0.064078,3.428571,[ 5 23] ; [4 4],[ 7. 21.] ; [2. 6.],0
d3,1,0.074343,3.184432,[11 17] ; [6 2],[13.22222222 14.77777778] ; [3.77777778 4.22222222],0
b5,1,0.074343,3.184432,[11 17] ; [6 2],[13.22222222 14.77777778] ; [3.77777778 4.22222222],0
s6,1,0.111568,2.531868,[ 6 22] ; [4 4],[ 7.77777778 20.22222222] ; [2.22222222 5.77777778],0
r4,1,0.143432,2.140746,[ 4 24] ; [3 5],[ 5.44444444 22.55555556] ; [1.55555556 6.44444444],0
v3,1,0.143432,2.140746,[ 4 24] ; [3 5],[ 5.44444444 22.55555556] ; [1.55555556 6.44444444],0
p2,1,0.143432,2.140746,[ 4 24] ; [3 5],[ 5.44444444 22.55555556] ; [1.55555556 6.44444444],0
s2,1,0.238569,1.389031,[ 5 23] ; [3 5],[ 6.22222222 21.77777778] ; [1.77777778 6.22222222],0
a7,1,0.243878,1.358036,[11 17] ; [5 3],[12.44444444 15.55555556] ; [3.55555556 4.44444444],0
a6,1,0.243878,1.358036,[11 17] ; [5 3],[12.44444444 15.55555556] ; [3.55555556 4.44444444],0
n5,1,0.243878,1.358036,[17 11] ; [3 5],[15.55555556 12.44444444] ; [4.44444444 3.55555556],0
s1,1,0.302816,1.061751,[ 3 25] ; [2 6],[ 3.88888889 24.11111111] ; [1.11111111 6.88888889],0
b1,1,0.326359,0.963291,[16 12] ; [3 5],[14.77777778 13.22222222] ; [4.22222222 3.77777778],0
p11,1,0.354539,0.857143,[ 8 20] ; [1 7],[ 7. 21.] ; [2. 6.],0
b2,1,0.363646,0.825263,[ 8 11] ; [1 4],[ 7.125 11.875] ; [1.875 3.125],0
b3,1,0.363646,0.825263,[ 8 11] ; [1 4],[ 7.125 11.875] ; [1.875 3.125],0
n4,1,0.464795,0.534323,[18 10] ; [4 4],[17.11111111 10.88888889] ; [4.88888889 3.11111111],0
a4,1,0.528708,0.396873,[10 17] ; [2 6],[ 9.25714286 17.74285714] ; [2.74285714 5.25714286],0
n3,1,0.539222,0.376984,[ 5 10] ; [2 2],[5.52631579 9.47368421] ; [1.47368421 2.52631579],0
d4,1,0.57075,0.321429,[18 10] ; [6 2],[18.66666667  9.33333333] ; [5.33333333 2.66666667],0
r3,1,0.587746,0.293878,[11 17] ; [4 4],[11.66666667 16.33333333] ; [3.33333333 4.66666667],0
b4,1,0.587746,0.293878,[17 11] ; [4 4],[16.33333333 11.66666667] ; [4.66666667 3.33333333],0
n1,1,0.639207,0.21978,[ 6 10] ; [1 3],[ 5.6 10.4] ; [1.4 2.6],0
p6,1,0.651325,0.204234,[ 2 25] ; [1 7],[ 2.31428571 24.68571429] ; [0.68571429 7.31428571],0
r1,1,0.654001,0.200893,[13 15] ; [3 5],[12.44444444 15.55555556] ; [3.55555556 4.44444444],0
s3,1,0.673633,0.177381,[ 8 19] ; [3 5],[ 8.48571429 18.51428571] ; [2.51428571 5.48571429],0
n6,1,0.72647,0.122378,[10 18] ; [3 4],[10.4 17.6] ; [2.6 4.4],0
r2,1,0.727383,0.121528,[15 12] ; [5 3],[15.42857143 11.57142857] ; [4.57142857 3.42857143],0
a3,1,0.781745,0.076754,[15 12] ; [4 4],[14.65714286 12.34285714] ; [4.34285714 3.65714286],0
d1,1,0.786351,0.073469,[12 16] ; [3 5],[11.66666667 16.33333333] ; [3.33333333 4.66666667],0
n2,1,0.80725,0.059524,[ 5 11] ; [1 3],[ 4.8 11.2] ; [1.2 2.8],0
v1,1,0.830324,0.045918,[ 6 22] ; [2 6],[ 6.22222222 21.77777778] ; [1.77777778 6.22222222],0
d5,1,0.85837,0.031844,[15 13] ; [4 4],[14.77777778 13.22222222] ; [4.22222222 3.77777778],0
a2,1,0.887288,0.020089,[ 3 25] ; [1 7],[ 3.11111111 24.88888889] ; [0.88888889 7.11111111],0
s5,1,0.897515,0.01659,[ 4 24] ; [1 7],[ 3.88888889 24.11111111] ; [1.11111111 6.88888889],0
d2,1,0.926661,0.008473,[14 13] ; [4 4],[13.88571429 13.11428571] ; [4.11428571 3.88571429],0
u2,1,0.936802,0.006287,[ 3 10] ; [1 3],[3.05882353 9.94117647] ; [0.94117647 3.05882353],0
