Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.710704,[ 6 27] ; [109  32],[21.81034483 11.18965517] ; [93.18965517 47.81034483],1
r3,1,0.0,36.907365,[11 22] ; [119  22],[24.65517241  8.34482759] ; [105.34482759  35.65517241],1
r2,1,0.0,28.294838,[17 14] ; [129  11],[26.46783626  4.53216374] ; [119.53216374  20.46783626],1
n6,1,2e-06,22.303945,[ 8 24] ; [98 42],[19.72093023 12.27906977] ; [86.27906977 53.72093023],1
s6,1,6e-06,20.460551,[ 6 27] ; [86 53],[17.65116279 15.34883721] ; [74.34883721 64.65116279],1
p2,1,1.5e-05,18.706651,[ 7 26] ; [88 52],[18.12138728 14.87861272] ; [76.87861272 63.12138728],1
d5,1,0.000315,12.979333,[16 17] ; [111  29],[24.22543353  8.77456647] ; [102.77456647  37.22543353],1
p9,1,0.00041,12.487684,[ 8 24] ; [80 54],[16.96385542 15.03614458] ; [71.03614458 62.96385542],1
r1,1,0.000563,11.894225,[13 20] ; [99 40],[21.48837209 11.51162791] ; [90.51162791 48.48837209],1
s8,1,0.000706,11.472206,[ 1 32] ; [45 96],[ 8.72413793 24.27586207] ; [ 37.27586207 103.72413793],1
u3,1,0.000937,10.948018,[ 1 14] ; [28 23],[6.59090909 8.40909091] ; [22.40909091 28.59090909],1
a1,1,0.002009,9.541393,[ 7 26] ; [  7 134],[ 2.65517241 30.34482759] ; [ 11.34482759 129.65517241],0
v2,1,0.002656,9.029769,[ 4 28] ; [55 80],[11.30538922 20.69461078] ; [47.69461078 87.30538922],0
p10,1,0.003165,8.709601,[ 7 25] ; [69 67],[14.47619048 17.52380952] ; [61.52380952 74.47619048],0
b5,1,0.008008,7.031639,[13 20] ; [91 50],[19.72413793 13.27586207] ; [84.27586207 56.72413793],0
n2,1,0.009136,6.79607,[ 6 11] ; [42 18],[10.5974026  6.4025974] ; [37.4025974 22.5974026],0
n3,1,0.009513,6.723967,[ 5 12] ; [37 20],[9.64864865 7.35135135] ; [32.35135135 24.64864865],0
d4,1,0.016891,5.707696,[19 14] ; [109  31],[24.41618497  8.58381503] ; [103.58381503  36.41618497],0
s7,1,0.01774,5.621651,[ 4 26] ; [47 85],[ 9.44444444 20.55555556] ; [41.55555556 90.44444444],0
s2,1,0.019442,5.461301,[ 7 26] ; [61 80],[12.89655172 20.10344828] ; [55.10344828 85.89655172],0
s3,1,0.020813,5.342366,[ 9 23] ; [71 69],[14.88372093 17.11627907] ; [65.11627907 74.88372093],0
s5,1,0.023442,5.135477,[ 3 30] ; [38 98],[ 8.00591716 24.99408284] ; [ 32.99408284 103.00591716],0
a7,1,0.02773,4.844752,[16 17] ; [97 44],[21.43103448 11.56896552] ; [91.56896552 49.43103448],0
