Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000747,11.368007,[ 5 28] ; [8 4],[ 9.53333333 23.46666667] ; [3.46666667 8.53333333],1
p3,1,0.011486,6.38859,[ 3 30] ; [5 7],[ 5.86666667 27.13333333] ; [2.13333333 9.86666667],0
r1,1,0.015937,5.809778,[ 9 24] ; [8 4],[12.46666667 20.53333333] ; [4.53333333 7.46666667],0
n6,1,0.019793,5.430032,[11 20] ; [9 3],[14.41860465 16.58139535] ; [5.58139535 6.41860465],0
s2,1,0.022015,5.244595,[ 1 32] ; [3 9],[ 2.93333333 30.06666667] ; [ 1.06666667 10.93333333],0
u2,1,0.02234,5.219118,[ 1 14] ; [3 3],[ 2.85714286 12.14285714] ; [1.14285714 4.85714286],0
a5,1,0.036347,4.380751,[16 17] ; [10  2],[19.06666667 13.93333333] ; [6.93333333 5.06666667],0
d5,1,0.036347,4.380751,[16 17] ; [10  2],[19.06666667 13.93333333] ; [6.93333333 5.06666667],0
v2,1,0.038182,4.296875,[ 6 26] ; [6 6],[ 8.72727273 23.27272727] ; [3.27272727 8.72727273],0
d3,1,0.045282,4.008097,[11 22] ; [8 4],[13.93333333 19.06666667] ; [5.06666667 6.93333333],0
r4,1,0.058495,3.579545,[ 5 28] ; [5 7],[ 7.33333333 25.66666667] ; [2.66666667 9.33333333],0
p2,1,0.063574,3.441592,[ 9 23] ; [7 5],[11.63636364 20.36363636] ; [4.36363636 7.63636364],0
s5,1,0.073818,3.196023,[ 2 31] ; [3 9],[ 3.66666667 29.33333333] ; [ 1.33333333 10.66666667],0
s8,1,0.073818,3.196023,[ 2 31] ; [3 9],[ 3.66666667 29.33333333] ; [ 1.33333333 10.66666667],0
r3,1,0.095188,2.784375,[15 17] ; [9 3],[17.45454545 14.54545455] ; [6.54545455 5.45454545],0
p7,1,0.104999,2.627917,[ 6 27] ; [5 7],[ 8.06666667 24.93333333] ; [2.93333333 9.06666667],0
u3,1,0.114653,2.488889,[ 1 14] ; [2 4],[ 2.14285714 12.85714286] ; [0.85714286 5.14285714],0
p6,1,0.120705,2.408154,[ 1 30] ; [ 2 10],[ 2.1627907 28.8372093] ; [ 0.8372093 11.1627907],0
b5,1,0.15025,2.069709,[14 19] ; [8 4],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
p8,1,0.17753,1.818182,[ 5 28] ; [4 8],[ 6.6 26.4] ; [2.4 9.6],0
d2,1,0.214044,1.54386,[12 20] ; [7 5],[13.81818182 18.18181818] ; [5.18181818 6.81818182],0
n3,1,0.222969,1.48516,[ 7 10] ; [3 1],[8.0952381 8.9047619] ; [1.9047619 2.0952381],0
p10,1,0.249537,1.325893,[10 22] ; [6 6],[11.63636364 20.36363636] ; [4.36363636 7.63636364],0
p11,1,0.258195,1.278409,[13 20] ; [7 5],[14.66666667 18.33333333] ; [5.33333333 6.66666667],0
p5,1,0.268913,1.222284,[ 2 31] ; [ 2 10],[ 2.93333333 30.06666667] ; [ 1.06666667 10.93333333],0
d4,1,0.286371,1.136602,[19 14] ; [9 3],[20.53333333 12.46666667] ; [7.46666667 4.53333333],0
n5,1,0.307841,1.039916,[22 11] ; [6 6],[20.53333333 12.46666667] ; [7.46666667 4.53333333],0
d1,1,0.356354,0.850702,[ 9 24] ; [5 7],[10.26666667 22.73333333] ; [3.73333333 8.26666667],0
a6,1,0.365712,0.818182,[16 17] ; [4 8],[14.66666667 18.33333333] ; [5.33333333 6.66666667],0
n2,1,0.422489,0.643382,[8 9] ; [1 3],[7.28571429 9.71428571] ; [1.71428571 2.28571429],0
b1,1,0.444699,0.584127,[18 15] ; [5 7],[16.86666667 16.13333333] ; [6.13333333 5.86666667],0
a7,1,0.444699,0.584127,[15 18] ; [7 5],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
v3,1,0.444779,0.583922,[ 5 28] ; [3 9],[ 5.86666667 27.13333333] ; [2.13333333 9.86666667],0
n4,1,0.474549,0.511364,[23 10] ; [7 5],[22. 11.] ; [8. 4.],0
v1,1,0.516211,0.421456,[10 22] ; [5 7],[10.90909091 21.09090909] ; [4.09090909 7.90909091],0
a4,1,0.516211,0.421456,[10 22] ; [5 7],[10.90909091 21.09090909] ; [4.09090909 7.90909091],0
s7,1,0.5489,0.359291,[ 6 26] ; [3 8],[ 6.69767442 25.30232558] ; [2.30232558 8.69767442],0
p1,1,0.551846,0.354021,[ 5 28] ; [ 1 11],[ 4.4 28.6] ; [ 1.6 10.4],0
b3,1,0.559305,0.340909,[ 8 14] ; [2 6],[ 7.33333333 14.66666667] ; [2.66666667 5.33333333],0
b2,1,0.559305,0.340909,[ 8 14] ; [2 6],[ 7.33333333 14.66666667] ; [2.66666667 5.33333333],0
b4,1,0.581989,0.30303,[19 14] ; [8 4],[19.8 13.2] ; [7.2 4.8],0
p9,1,0.632906,0.228141,[13 18] ; [6 6],[13.69767442 17.30232558] ; [5.30232558 6.69767442],0
s4,1,0.691615,0.157343,[ 4 29] ; [ 2 10],[ 4.4 28.6] ; [ 1.6 10.4],0
