Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001517,10.057536,[10  9] ; [ 4 29],[ 5.11538462 13.88461538] ; [ 8.88461538 24.11538462],0
v2,1,0.011696,6.356426,[10  9] ; [ 6 26],[ 5.96078431 13.03921569] ; [10.03921569 21.96078431],0
s5,1,0.012946,6.17648,[ 5 14] ; [ 1 31],[ 2.23529412 16.76470588] ; [ 3.76470588 28.23529412],0
n2,1,0.016553,5.743182,[7 2] ; [3 9],[4.28571429 4.71428571] ; [5.71428571 6.28571429],0
r2,1,0.028789,4.780203,[14  5] ; [13 18],[10.26  8.74] ; [16.74 14.26],0
r3,1,0.03779,4.314431,[14  5] ; [14 18],[10.43137255  8.56862745] ; [17.56862745 14.43137255],0
s6,1,0.0446,4.033696,[ 8 10] ; [ 6 27],[ 4.94117647 13.05882353] ; [ 9.05882353 23.94117647],0
p2,1,0.061582,3.494267,[11  8] ; [10 22],[ 7.82352941 11.17647059] ; [13.17647059 18.82352941],0
d4,1,0.078468,3.096358,[15  4] ; [18 15],[12.05769231  6.94230769] ; [20.94230769 12.05769231],0
n5,1,0.086916,2.930589,[10  9] ; [25  8],[12.78846154  6.21153846] ; [22.21153846 10.78846154],0
p6,1,0.119304,2.426429,[ 5 14] ; [ 3 28],[ 3.04 15.96] ; [ 4.96 26.04],0
a5,1,0.14989,2.073365,[12  7] ; [14 19],[9.5 9.5] ; [16.5 16.5],0
d5,1,0.163364,1.942809,[13  6] ; [16 17],[10.59615385  8.40384615] ; [18.40384615 14.59615385],0
u2,1,0.171857,1.866667,[4 6] ; [ 3 15],[2.5 7.5] ; [ 4.5 13.5],0
v3,1,0.188742,1.727409,[ 1 18] ; [ 6 27],[ 2.55769231 16.44230769] ; [ 4.44230769 28.55769231],0
a4,1,0.203076,1.620113,[ 8 11] ; [ 8 24],[ 5.96078431 13.03921569] ; [10.03921569 21.96078431],0
b4,1,0.252875,1.307351,[ 9 10] ; [21 12],[10.96153846  8.03846154] ; [19.03846154 13.96153846],0
v1,1,0.26953,1.219139,[ 6 13] ; [ 6 27],[ 4.38461538 14.61538462] ; [ 7.61538462 25.38461538],0
a7,1,0.282287,1.156047,[11  8] ; [14 19],[9.13461538 9.86538462] ; [15.86538462 17.13461538],0
b5,1,0.282287,1.156047,[ 8 11] ; [19 14],[9.86538462 9.13461538] ; [17.13461538 15.86538462],0
p1,1,0.282489,1.155075,[ 1 18] ; [ 5 28],[ 2.19230769 16.80769231] ; [ 3.80769231 29.19230769],0
n6,1,0.361232,0.833606,[ 7 12] ; [16 16],[ 8.56862745 10.43137255] ; [14.43137255 17.56862745],0
s1,1,0.419207,0.652537,[ 1 18] ; [ 4 29],[ 1.82692308 17.17307692] ; [ 3.17307692 29.82692308],0
p8,1,0.442003,0.591076,[ 6 13] ; [ 7 25],[ 4.84313725 14.15686275] ; [ 8.15686275 23.84313725],0
s8,1,0.466581,0.53006,[ 3 16] ; [ 3 30],[ 2.19230769 16.80769231] ; [ 3.80769231 29.19230769],0
u3,1,0.519536,0.414815,[2 8] ; [ 2 16],[1.42857143 8.57142857] ; [ 2.57142857 15.42857143],0
d3,1,0.544962,0.36642,[ 7 12] ; [15 18],[ 8.03846154 10.96153846] ; [13.96153846 19.03846154],0
a2,1,0.56061,0.33865,[ 2 17] ; [ 2 31],[ 1.46153846 17.53846154] ; [ 2.53846154 30.46153846],0
p5,1,0.582871,0.301617,[ 2 17] ; [ 2 30],[ 1.49019608 17.50980392] ; [ 2.50980392 29.49019608],0
