Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.004574,8.040497,[1 7] ; [6 1],[3.73333333 4.26666667] ; [3.26666667 3.73333333],0
p11,1,0.011743,6.349206,[1 7] ; [6 2],[3.5 4.5] ; [3.5 4.5],0
s7,1,0.012791,6.197846,[1 6] ; [5 1],[3.23076923 3.76923077] ; [2.76923077 3.23076923],0
p2,1,0.038867,4.266667,[1 7] ; [5 3],[3. 5.] ; [3. 5.],0
s3,1,0.07215,3.233418,[2 6] ; [5 2],[3.73333333 4.26666667] ; [3.26666667 3.73333333],0
d5,1,0.105645,2.618182,[4 4] ; [7 1],[5.5 2.5] ; [5.5 2.5],0
p7,1,0.105645,2.618182,[1 7] ; [4 4],[2.5 5.5] ; [2.5 5.5],0
v2,1,0.13057,2.285714,[3 5] ; [6 2],[4.5 3.5] ; [4.5 3.5],0
s6,1,0.18883,1.726722,[3 5] ; [5 2],[4.26666667 3.73333333] ; [3.73333333 3.26666667],0
p9,1,0.18883,1.726722,[3 5] ; [5 2],[4.26666667 3.73333333] ; [3.73333333 3.26666667],0
b4,1,0.248213,1.333333,[5 3] ; [7 1],[6. 2.] ; [6. 2.],0
d4,1,0.248213,1.333333,[5 3] ; [7 1],[6. 2.] ; [6. 2.],0
a3,1,0.248213,1.333333,[5 3] ; [7 1],[6. 2.] ; [6. 2.],0
d1,1,0.3017,1.066667,[2 6] ; [4 4],[3. 5.] ; [3. 5.],0
r1,1,0.3017,1.066667,[2 6] ; [4 4],[3. 5.] ; [3. 5.],0
r2,1,0.3017,1.066667,[6 2] ; [4 4],[5. 3.] ; [5. 3.],0
r4,1,0.3017,1.066667,[2 6] ; [4 4],[3. 5.] ; [3. 5.],0
d2,1,0.317311,1.0,[3 5] ; [5 3],[4. 4.] ; [4. 4.],0
s2,1,0.446798,0.578763,[3 5] ; [4 3],[3.73333333 4.26666667] ; [3.26666667 3.73333333],0
p1,1,0.521839,0.410256,[2 6] ; [1 7],[1.5 6.5] ; [1.5 6.5],0
a2,1,0.589639,0.290909,[2 6] ; [3 5],[2.5 5.5] ; [2.5 5.5],0
p4,1,0.614295,0.253968,[3 5] ; [4 4],[3.5 4.5] ; [3.5 4.5],0
b5,1,0.614295,0.253968,[4 4] ; [5 3],[4.5 3.5] ; [4.5 3.5],0
b1,1,0.614295,0.253968,[5 3] ; [4 4],[4.5 3.5] ; [4.5 3.5],0
v1,1,0.614295,0.253968,[5 3] ; [4 4],[4.5 3.5] ; [4.5 3.5],0
d3,1,0.614295,0.253968,[5 3] ; [4 4],[4.5 3.5] ; [4.5 3.5],0
a7,1,0.614295,0.253968,[4 4] ; [5 3],[4.5 3.5] ; [4.5 3.5],0
a6,1,1.0,0.0,[5 3] ; [5 3],[5. 3.] ; [5. 3.],0
b2,1,1.0,0.0,[1 2] ; [2 4],[1. 2.] ; [2. 4.],0
p3,1,1.0,0.0,[3 5] ; [3 5],[3. 5.] ; [3. 5.],0
a4,1,1.0,0.0,[3 5] ; [3 5],[3. 5.] ; [3. 5.],0
p8,1,1.0,0.0,[3 5] ; [3 5],[3. 5.] ; [3. 5.],0
b3,1,1.0,0.0,[1 2] ; [2 4],[1. 2.] ; [2. 4.],0
a5,1,1.0,0.0,[5 3] ; [5 3],[5. 3.] ; [5. 3.],0
