Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,143.408381,[427  51] ; [38 64],[383.22413793  94.77586207] ; [81.77586207 20.22413793],1
p9,1,0.0,135.050368,[437  41] ; [43 56],[397.64298094  80.35701906] ; [82.35701906 16.64298094],1
r3,1,0.0,124.45505,[468  14] ; [65 39],[438.40614334  43.59385666] ; [94.59385666  9.40614334],1
r4,1,0.0,124.005647,[445  38] ; [51 54],[407.42857143  75.57142857] ; [88.57142857 16.42857143],1
s2,1,0.0,86.292773,[311 168] ; [16 89],[268.20719178 210.79280822] ; [58.79280822 46.20719178],1
n6,1,0.0,83.16711,[423  57] ; [51 52],[390.25728988  89.74271012] ; [83.74271012 19.25728988],1
p2,1,0.0,81.044213,[415  65] ; [49 55],[381.36986301  98.63013699] ; [82.63013699 21.36986301],1
s8,1,0.0,77.349022,[273 207] ; [10 95],[232.20512821 247.79487179] ; [50.79487179 54.20512821],1
v4,1,0.0,73.354371,[464  16] ; [74 29],[442.95025729  37.04974271] ; [95.04974271  7.95025729],1
s3,1,0.0,67.797569,[337 136] ; [29 74],[300.55208333 172.44791667] ; [65.44791667 37.55208333],1
p4,1,0.0,65.509124,[317 163] ; [23 79],[280.41237113 199.58762887] ; [59.58762887 42.41237113],1
s7,1,0.0,62.261199,[285 184] ; [16 80],[249.85663717 219.14336283] ; [51.14336283 44.85663717],1
r1,1,0.0,48.231636,[393  88] ; [51 52],[365.69178082 115.30821918] ; [78.30821918 24.69178082],1
p7,1,0.0,46.177537,[322 143] ; [34 68],[291.95767196 173.04232804] ; [64.04232804 37.95767196],1
s5,1,0.0,44.262696,[201 268] ; [ 8 94],[171.66549912 297.33450088] ; [37.33450088 64.66549912],1
p8,1,0.0,39.017479,[277 196] ; [25 77],[248.42782609 224.57217391] ; [53.57217391 48.42782609],1
v1,1,0.0,35.805217,[272 194] ; [27 77],[244.44561404 221.55438596] ; [54.55438596 49.44561404],1
p3,1,0.0,32.546822,[261 220] ; [24 79],[234.73458904 246.26541096] ; [50.26541096 52.73458904],1
v2,1,0.0,32.504008,[268 194] ; [27 74],[242.07815275 219.92184725] ; [52.92184725 48.07815275],1
r2,1,0.0,31.197281,[448  27] ; [77 23],[433.69565217  41.30434783] ; [91.30434783  8.69565217],1
n5,1,0.0,28.415682,[390  91] ; [59 45],[369.17777778 111.82222222] ; [79.82222222 24.17777778],1
n4,1,0.0,26.611275,[392  91] ; [60 44],[371.91822828 111.08177172] ; [80.08177172 23.91822828],1
a5,1,6e-06,20.532276,[367 115] ; [57 48],[348.15672913 133.84327087] ; [75.84327087 29.15672913],1
d5,1,7e-06,20.127536,[396  85] ; [65 39],[379.04444444 101.95555556] ; [81.95555556 22.04444444],1
p6,1,1.3e-05,18.990721,[199 275] ; [19 82],[179.70782609 294.29217391] ; [38.29217391 62.70782609],1
d4,1,1.4e-05,18.896691,[403  77] ; [68 36],[387.12328767  92.87671233] ; [83.87671233 20.12328767],1
p5,1,0.000143,14.459299,[ 69 410] ; [  1 102],[ 57.61168385 421.38831615] ; [12.38831615 90.61168385],1
d1,1,0.000367,12.692692,[294 189] ; [44 61],[277.64285714 205.35714286] ; [60.35714286 44.64285714],1
u3,1,0.000424,12.422364,[82 48] ; [13 28],[72.22222222 57.77777778] ; [22.77777778 18.22222222],1
u2,1,0.000584,11.827474,[84 46] ; [14 27],[74.50292398 55.49707602] ; [23.49707602 17.50292398],1
p12,1,0.000645,11.641954,[ 58 422] ; [  1 103],[ 48.49315068 431.50684932] ; [10.50684932 93.49315068],1
v3,1,0.001215,10.467673,[193 274] ; [24 76],[178.72839506 288.27160494] ; [38.27160494 61.72839506],0
n2,1,0.001516,10.058464,[70 19] ; [21 20],[62.3 26.7] ; [28.7 12.3],0
b1,1,0.002034,9.518504,[162 321] ; [52 53],[175.78571429 307.21428571] ; [38.21428571 66.78571429],0
d3,1,0.002449,9.17843,[340 141] ; [57 46],[326.98116438 154.01883562] ; [70.01883562 32.98116438],0
a7,1,0.009513,6.723845,[347 134] ; [61 42],[336.04109589 144.95890411] ; [71.95890411 31.04109589],0
n3,1,0.013501,6.102265,[62 26] ; [18 20],[55.87301587 32.12698413] ; [24.12698413 13.87301587],0
s1,1,0.016059,5.796386,[ 16 460] ; [ 9 95],[ 20.51724138 455.48275862] ; [ 4.48275862 99.51724138],0
u1,1,0.023662,5.119203,[ 96 387] ; [11 94],[ 87.89285714 395.10714286] ; [19.10714286 85.89285714],0
a8,1,0.027568,4.854897,[ 65 375] ; [ 6 89],[ 58.39252336 381.60747664] ; [12.60747664 82.39252336],0
a3,1,0.034216,4.483874,[352 129] ; [64 38],[343.21783877 137.78216123] ; [72.78216123 29.21783877],0
a6,1,0.051308,3.798175,[335 145] ; [63 42],[326.56410256 153.43589744] ; [71.43589744 33.56410256],0
s4,1,0.057193,3.616957,[ 97 378] ; [13 92],[ 90.0862069 384.9137931] ; [19.9137931 85.0862069],0
b4,1,0.081212,3.040484,[293 190] ; [54 51],[285.03571429 197.96428571] ; [61.96428571 43.03571429],0
a2,1,0.164715,1.930398,[123 360] ; [20 85],[117.46428571 365.53571429] ; [25.53571429 79.46428571],0
a4,1,0.186294,1.746684,[214 266] ; [39 65],[207.94520548 272.05479452] ; [45.05479452 58.94520548],0
a1,1,0.248124,1.333837,[ 27 456] ; [ 9 96],[ 29.57142857 453.42857143] ; [ 6.42857143 98.57142857],0
p1,1,0.287257,1.132432,[ 37 442] ; [  5 100],[ 34.44863014 444.55136986] ; [ 7.55136986 97.44863014],0
d2,1,0.458649,0.54919,[232 249] ; [46 58],[228.57777778 252.42222222] ; [49.42222222 54.57777778],0
b5,1,0.806862,0.059769,[296 187] ; [63 42],[294.89285714 188.10714286] ; [64.10714286 40.89285714],0
b2,1,0.810485,0.057504,[117 191] ; [23 35],[117.81420765 190.18579235] ; [22.18579235 35.81420765],0
b3,1,0.810485,0.057504,[117 191] ; [23 35],[117.81420765 190.18579235] ; [22.18579235 35.81420765],0
n1,1,0.843927,0.038759,[35 54] ; [15 25],[34.49612403 54.50387597] ; [15.50387597 24.49612403],0
