Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,4e-06,21.208105,[292  80] ; [132  85],[267.78947368 104.21052632] ; [156.21052632  60.78947368],1
p9,1,4.6e-05,16.592255,[294  70] ; [139  73],[273.63194444  90.36805556] ; [159.36805556  52.63194444],1
p2,1,0.001455,10.134875,[292  79] ; [145  72],[275.72619048  95.27380952] ; [161.27380952  55.72619048],0
p10,1,0.006281,7.467905,[279  87] ; [142  74],[264.75257732 101.24742268] ; [156.24742268  59.75257732],0
p8,1,0.067613,3.340046,[151 215] ; [ 73 144],[140.62435678 225.37564322] ; [ 83.37564322 133.62435678],0
p12,1,0.173125,1.855671,[ 19 351] ; [  6 210],[ 15.78498294 354.21501706] ; [  9.21501706 206.78498294],0
p3,1,0.450247,0.570031,[128 244] ; [ 81 135],[132.2244898 239.7755102] ; [ 76.7755102 139.2244898],0
p1,1,0.681022,0.168978,[ 20 350] ; [ 10 206],[ 18.94197952 351.05802048] ; [ 11.05802048 204.94197952],0
p4,1,0.729937,0.119169,[158 210] ; [ 90 127],[156.00683761 211.99316239] ; [ 91.99316239 125.00683761],0
p7,1,0.834153,0.043839,[175 187] ; [102 113],[173.78509532 188.21490468] ; [103.21490468 111.78509532],0
